城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,新街口,161,31,330,95376元/平米,新外大街31号院,1室1厅1厨1卫,中楼层 (共6层),34.6㎡,暂无数据,34.6㎡,板塔结合,西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-21,商品房,2002-09-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,新街口,123,58,445,90447元/平米,红联南村46号院,2室1厅1厨1卫,中楼层 (共22层),49.2㎡,暂无数据,暂无数据,塔楼,东,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-12,已购公房,2006-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,新街口,51,17,996,86934元/平米,索家坟,3室1厅1厨1卫,中楼层 (共14层),114.57㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-29,已购公房,2003-03-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,新街口,23,19,500,87260元/平米,红联南村,2室1厅1厨1卫,中楼层 (共6层),57.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,已购公房,2003-01-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,新街口,26,28,420,87011元/平米,志强南园,2室1厅1厨1卫,低楼层 (共16层),48.27㎡,暂无数据,32.7㎡,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-05,已购公房,2007-12-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,28,null
海淀,新街口,84,28,660,82490元/平米,索家坟,2室1厅1厨1卫,底层 (共15层),80.01㎡,暂无数据,55.6㎡,板塔结合,南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-17,商品房,2013-08-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
海淀,新街口,315,236,946,104994元/平米,西直门内大街,3室1厅1厨1卫,中楼层 (共16层),90.1㎡,暂无数据,暂无数据,塔楼,东南,混合结构,简装,一梯八户,集中供暖,有,70年,null,null,null,2017-03-11,央产房,2003-04-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,新街口,223,43,510,68938元/平米,五月华庭,2室1厅1厨1卫,顶层 (共12层),73.98㎡,暂无数据,54.46㎡,板塔结合,东南,钢混结构,精装,两梯三十三户,自供暖,有,70年,null,null,null,2017-05-22,私产,2004-12-27,普通住宅,满五年,非共有,暂无数据,已上传房本照片,31,null
海淀,新街口,151,34,730,107400元/平米,新街口西里三区,2室1厅1厨1卫,中楼层 (共6层),67.97㎡,平层,58.29㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-08-15,二类经济适用房,2005-07-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,新街口,9,35,980,94204元/平米,文慧园,3室1厅1厨1卫,中楼层 (共6层),104.03㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,2004-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,35,null
海淀,新街口,17,0,646,84888元/平米,索家坟,3室1厅1厨1卫,顶层 (共6层),76.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,商品房,2011-11-04,普通住宅,满五年,非共有,有抵押 50万元 北京银行 客户偿还,已上传房本照片,0,null
海淀,新街口,166,63,360,87591元/平米,索家坟,1室1厅1厨1卫,高楼层 (共6层),41.1㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-25,已购公房,2009-01-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
