城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,杨庄,59,71,500,65462元/平米,建西苑南里,2室1厅1厨1卫,高楼层 (共6层),76.38㎡,暂无数据,暂无数据,板楼,西南,混合结构,毛坯,一梯四户,集中供暖,无,70年,null,null,null,2017-06-25,私产,2003-01-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,杨庄,63,207,570,55496元/平米,西现代城,3室1厅1厨2卫,中楼层 (共22层),102.71㎡,平层,83.06㎡,板塔结合,东 南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-04-04,私产,2006-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
海淀,杨庄,90,23,287,49956元/平米,地铁楼,2室1厅1厨1卫,中楼层 (共6层),57.45㎡,暂无数据,40.3㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2011-08-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,杨庄,36,28,435,49269元/平米,地铁古城家园,2室1厅1厨1卫,低楼层 (共25层),88.29㎡,暂无数据,68.79㎡,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-06,私产,2006-08-17,普通住宅,满五年,共有,无抵押,已上传房本照片,13,null
海淀,杨庄,15,20,588,56160元/平米,御景山,2室2厅1厨1卫,中楼层 (共17层),104.7㎡,暂无数据,83.54㎡,板塔结合,东 南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-13,私产,2008-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,杨庄,57,52,440,52726元/平米,黄南苑,2室1厅1厨1卫,中楼层 (共14层),83.45㎡,平层,56.32㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,2005-06-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
海淀,杨庄,24,47,430,45970元/平米,杨庄北区,2室2厅1厨1卫,低楼层 (共6层),93.54㎡,暂无数据,84.19㎡,板楼,东 西,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-15,商品房,2006-03-06,普通住宅,满五年,共有,暂无数据,已上传房本照片,7,null
海淀,杨庄,67,6,265,49906元/平米,杨庄中区,1室1厅1厨1卫,中楼层 (共6层),53.1㎡,暂无数据,暂无数据,板楼,西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,商品房,2003-08-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,杨庄,71,250,440,53941元/平米,黄南苑,2室1厅1厨1卫,高楼层 (共24层),81.57㎡,暂无数据,57.72㎡,塔楼,东南,钢混结构,其他,三梯十户,集中供暖,有,70年,null,null,null,2017-05-02,商品房,2009-08-20,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,杨庄,20,45,485,54982元/平米,新都丽苑,2室1厅1厨1卫,中楼层 (共18层),88.21㎡,平层,72.33㎡,板塔结合,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,私产,2003-03-19,普通住宅,满五年,非共有,暂无数据,已上传房本照片,16,null
海淀,杨庄,114,75,565,61081元/平米,建西苑北里,2室1厅1厨1卫,中楼层 (共14层),92.5㎡,暂无数据,77.22㎡,板塔结合,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-06-22,一类经济适用房,2008-12-09,普通住宅,满五年,非共有,有抵押 170万元 客户偿还,已上传房本照片,6,null
海淀,杨庄,45,34,436,59964元/平米,八角北路11号院,2室1厅1厨1卫,中楼层 (共7层),72.71㎡,暂无数据,62.64㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-05,私产,2002-08-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,杨庄,42,51,583,53135元/平米,西现代城,2室1厅1厨1卫,低楼层 (共18层),109.72㎡,暂无数据,86.25㎡,板塔结合,南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-08,商品房,2010-08-20,普通住宅,满五年,非共有,有抵押 308万元 业主自还,已上传房本照片,4,null
海淀,杨庄,45,13,490,52256元/平米,新都丽苑,2室1厅1厨1卫,中楼层 (共18层),93.77㎡,暂无数据,76.94㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,已购公房,2003-04-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
