城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,海淀北部新区,162,54,550,61542元/平米,保利西山林语,2室1厅1厨1卫,中楼层 (共8层),89.37㎡,暂无数据,78.56㎡,板塔结合,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-07-20,商品房,2013-01-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
海淀,海淀北部新区,184,34,1080,77104元/平米,冠城大通百旺府,3室2厅1厨2卫,底层 (共6层),140.07㎡,暂无数据,122.29㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-07,商品房,2008-12-25,普通住宅,满五年,非共有,有抵押 600万元 客户偿还,已上传房本照片,3,null
海淀,海淀北部新区,59,61,630,89692元/平米,航天城小区,2室1厅1厨1卫,底层 (共6层),70.24㎡,暂无数据,49.01㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-05-30,已购公房,2009-06-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,海淀北部新区,30,3,380,62326元/平米,上庄家园西区,2室1厅1厨1卫,底层 (共6层),60.97㎡,暂无数据,45.74㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2009-04-07,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
海淀,海淀北部新区,61,43,580,67995元/平米,保利西山林语,2室1厅1厨1卫,顶层 (共8层),85.3㎡,暂无数据,70.01㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-12,商品房,2011-10-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,海淀北部新区,79,21,630,67466元/平米,保利西山林语,3室2厅1厨1卫,中楼层 (共8层),93.38㎡,暂无数据,75.91㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-13,商品房,2010-08-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,海淀北部新区,143,89,585,61657元/平米,保利西山林语,2室1厅1厨1卫,低楼层 (共8层),94.88㎡,平层,77.59㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-03-13,商品房,2011-07-28,普通住宅,满五年,非共有,有抵押 6万元 公积金,已上传房本照片,12,null
海淀,海淀北部新区,80,60,330,61111元/平米,北分厂,2室1厅1厨1卫,中楼层 (共6层),54㎡,暂无数据,37.5㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-09,已购公房,1998-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,海淀北部新区,97,33,625,65220元/平米,保利西山林语,2室1厅1厨1卫,中楼层 (共8层),95.83㎡,暂无数据,78.36㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-06-30,商品房,2012-07-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,海淀北部新区,73,31,550,60854元/平米,保利西山林语,2室1厅1厨1卫,中楼层 (共8层),90.38㎡,平层,79.11㎡,板塔结合,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-06-13,商品房,2014-06-05,普通住宅,满两年,非共有,有抵押 客户偿还,已上传房本照片,2,null
海淀,海淀北部新区,49,6,330,61453元/平米,北分厂,2室1厅1厨1卫,底层 (共5层),53.7㎡,暂无数据,50㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,1998-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,海淀北部新区,46,10,490,57988元/平米,北分厂,3室2厅1厨1卫,中楼层 (共6层),84.5㎡,平层,58.2㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-14,已购公房,2002-02-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,海淀北部新区,54,8,360,54135元/平米,北分厂,2室1厅1厨1卫,高楼层 (共6层),66.5㎡,平层,44.7㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-09-01,已购公房,2002-02-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,海淀北部新区,295,55,360,78210元/平米,保利西山林语,1室1厅1厨1卫,底层 (共8层),46.03㎡,暂无数据,38.25㎡,板塔结合,西,钢混结构,精装,一梯五户,自供暖,有,70年,null,null,null,2017-06-11,商品房,2013-01-11,普通住宅,满两年,非共有,有抵押 60万元 银行 业主自还,已上传房本照片,9,null
海淀,海淀北部新区,117,59,623,69788元/平米,保利西山林语,3室1厅1厨1卫,低楼层 (共8层),89.27㎡,暂无数据,75.04㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-26,商品房,2013-07-30,普通住宅,满两年,共有,有抵押 150万元 业主自还,已上传房本照片,7,null
海淀,海淀北部新区,15,0,335,62384元/平米,北分厂,3室1厅1厨1卫,底层 (共5层),53.7㎡,暂无数据,40.3㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-07,已购公房,1998-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,海淀北部新区,459,41,260,53388元/平米,北分厂,2室1厅1厨1卫,中楼层 (共4层),48.7㎡,暂无数据,36.5㎡,板楼,东 南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-02,已购公房,1998-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,海淀北部新区,198,75,1280,76518元/平米,保利西山林语,4室2厅1厨2卫,顶层 (共7层),167.28㎡,平层,142.8㎡,板楼,东 南 西 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-25,商品房,2012-01-16,普通住宅,满五年,非共有,有抵押 10万元 中信银行 业主自还,已上传房本照片,6,null
海淀,海淀北部新区,220,18,540,59113元/平米,保利西山林语,3室1厅1厨1卫,底层 (共8层),91.35㎡,平层,80.3㎡,板塔结合,东南,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-06-14,商品房,2016-08-11,普通住宅,暂无数据,非共有,有抵押 40万元 公积金管理中心 业主自还,已上传房本照片,2,null
海淀,海淀北部新区,188,24,1100,64562元/平米,保利西山林语,4室2厅1厨2卫,底层 (共8层),170.38㎡,跃层,145.79㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-06-21,商品房,2014-08-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
海淀,海淀北部新区,18,0,505,59763元/平米,北分厂,3室2厅1厨1卫,顶层 (共6层),84.5㎡,平层,83.5㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,2011-03-30,普通住宅,满五年,非共有,有抵押 300万元 担保公司 客户偿还,已上传房本照片,0,null
海淀,海淀北部新区,118,53,570,63067元/平米,保利西山林语,2室1厅1厨1卫,低楼层 (共8层),90.38㎡,平层,79.11㎡,板塔结合,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-05-08,商品房,2012-01-12,普通住宅,满五年,非共有,有抵押 90万元 中信银行 客户偿还,已上传房本照片,7,null
海淀,海淀北部新区,87,12,630,67100元/平米,保利西山林语,3室1厅1厨1卫,中楼层 (共8层),93.89㎡,平层,76.33㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-10,商品房,2010-07-23,普通住宅,满五年,非共有,有抵押 500000万元 公积金管理中心 业主自还,已上传房本照片,2,null
海淀,海淀北部新区,17,36,600,66087元/平米,保利西山林语,2室1厅1厨1卫,中楼层 (共8层),90.79㎡,暂无数据,75.37㎡,板塔结合,南 北,钢混结构,简装,一梯四户,自供暖,有,70年,null,null,null,2017-07-29,商品房,2012-11-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
海淀,海淀北部新区,58,17,310,54770元/平米,北分厂,2室1厅1厨1卫,中楼层 (共5层),56.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-22,已购公房,1998-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,海淀北部新区,8,0,470,61102元/平米,温泉路45号院,2室1厅1厨1卫,中楼层 (共6层),76.92㎡,平层,50.66㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,2001-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,海淀北部新区,84,16,335,58979元/平米,西六砖瓦厂家属楼,2室1厅1厨1卫,中楼层 (共4层),56.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,未知,null,null,null,2017-04-27,已购公房,1994-07-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,海淀北部新区,86,13,799,63342元/平米,冠城大通百旺府,3室1厅1厨2卫,底层 (共11层),126.14㎡,平层,104.21㎡,板楼,南 北,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-07-26,商品房,2012-06-01,普通住宅,满五年,共有,有抵押,已上传房本照片,3,null
海淀,海淀北部新区,40,18,600,62559元/平米,保利西山林语,2室1厅1厨1卫,高楼层 (共8层),95.91㎡,暂无数据,82.13㎡,板楼,西南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-08-09,商品房,2010-08-19,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
海淀,海淀北部新区,149,50,900,68141元/平米,保利西山林语,3室2厅1厨2卫,中楼层 (共8层),132.08㎡,平层,112.94㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-03-22,商品房,2010-08-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,海淀北部新区,119,27,320,59259元/平米,北分厂,2室1厅1厨1卫,中楼层 (共5层),54㎡,暂无数据,38.3㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-05,已购公房,1998-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,海淀北部新区,140,20,420,58496元/平米,北分厂,3室1厅1厨1卫,中楼层 (共6层),71.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-01,已购公房,2000-11-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,海淀北部新区,71,6,1250,83724元/平米,冠城大通百旺府,3室2厅1厨2卫,低楼层 (共6层),149.3㎡,暂无数据,130.57㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-13,商品房,2010-09-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,海淀北部新区,96,20,1120,68623元/平米,保利西山林语,4室2厅1厨2卫,低楼层 (共8层),163.21㎡,平层,143.22㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-05,商品房,2011-04-02,普通住宅,满五年,非共有,有抵押 300000万元 建设银行 业主自还,已上传房本照片,1,null
海淀,海淀北部新区,251,55,1100,69501元/平米,保利西山林语,4室2厅1厨2卫,中楼层 (共8层),158.27㎡,平层,138.88㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2016-12-01,商品房,2010-04-09,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,0,null
海淀,海淀北部新区,19,6,670,63202元/平米,正源尚峰尚水,2室1厅1厨1卫,低楼层 (共9层),106.01㎡,暂无数据,91.3㎡,板楼,东 南,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-08-13,商品房,2014-11-06,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,海淀北部新区,58,15,1300,73384元/平米,冠城大通百旺府,4室2厅1厨2卫,中楼层 (共6层),177.15㎡,暂无数据,153.97㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-24,商品房,2011-02-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,海淀北部新区,29,1,1360,53838元/平米,北辰香麓,4室2厅1厨3卫,顶层 (共6层),252.61㎡,跃层,212.44㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-13,商品房,2015-08-24,普通住宅,满两年,非共有,有抵押 110万元 中国建设银行 客户偿还,已上传房本照片,0,null
海淀,海淀北部新区,103,15,330,58201元/平米,西六砖瓦厂家属楼,2室1厅1厨1卫,中楼层 (共5层),56.7㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,暂无数据,无,70年,null,null,null,2017-07-03,已购公房,2011-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,海淀北部新区,31,8,840,63767元/平米,正源尚峰尚水,3室1厅1厨2卫,中楼层 (共9层),131.73㎡,暂无数据,113.45㎡,板楼,南 北,钢混结构,毛坯,一梯两户,自供暖,有,70年,null,null,null,2017-08-30,商品房,2015-06-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
