城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,清河,128,22,390,64666元/平米,永泰西里,2室1厅1厨1卫,顶层 (共6层),60.31㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-13,已购公房,2004-10-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,清河,128,64,375,64533元/平米,永泰东里,1室1厅1厨1卫,中楼层 (共6层),58.11㎡,平层,48.66㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-29,一类经济适用房,2007-04-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,清河,49,57,400,64031元/平米,宝盛北里,1室1厅1厨1卫,中楼层 (共6层),62.47㎡,平层,53.67㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-14,一类经济适用房,2011-05-27,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,清河,87,70,750,59847元/平米,力度家园,2室2厅1厨2卫,低楼层 (共21层),125.32㎡,暂无数据,98.67㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-03-23,商品房,2010-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
海淀,清河,119,41,365,63767元/平米,宝盛里,1室2厅1厨1卫,顶层 (共5层),57.24㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-28,私产,2007-08-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,清河,58,29,672,68775元/平米,水木天成,2室2厅1厨1卫,高楼层 (共28层),97.71㎡,暂无数据,77.88㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-10,私产,2008-03-28,普通住宅,满五年,非共有,有抵押 40万元 公积金管理中心 业主自还,已上传房本照片,6,null
海淀,清河,117,61,525,68556元/平米,永泰园,2室1厅1厨1卫,中楼层 (共6层),76.58㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-03,私产,2007-09-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,清河,161,66,780,76674元/平米,莱圳家园,3室1厅1厨1卫,中楼层 (共15层),101.73㎡,平层,82.88㎡,板楼,东 西,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-04-04,商品房,2007-07-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,清河,49,47,665,70059元/平米,观澳园,2室1厅1厨1卫,低楼层 (共9层),94.92㎡,暂无数据,83.63㎡,板楼,南 北,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-07-25,商品房,2008-07-31,普通住宅,满五年,非共有,有抵押 200万元,已上传房本照片,5,null
海淀,清河,108,39,830,96143元/平米,橡树湾,2室1厅1厨1卫,高楼层 (共15层),86.33㎡,平层,68.34㎡,板楼,西南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-04-02,商品房,2012-04-16,普通住宅,满五年,共有,无抵押,已上传房本照片,11,null
海淀,清河,185,36,389,72037元/平米,小营东路6号院,2室1厅1厨1卫,中楼层 (共5层),54㎡,暂无数据,38㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-28,商品房,2013-04-18,普通住宅,满两年,共有,无抵押,已上传房本照片,8,null
海淀,清河,135,42,920,89599元/平米,橡树湾,2室2厅1厨1卫,低楼层 (共20层),102.68㎡,暂无数据,80.29㎡,板塔结合,西南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-21,商品房,2015-07-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
海淀,清河,102,3,359.5,72995元/平米,金隅美和园,1室1厅1厨1卫,顶层 (共9层),49.25㎡,暂无数据,42.7㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-25,限价商品房,2010-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,清河,73,4,850,55450元/平米,宝盛里,4室2厅1厨2卫,高楼层 (共6层),153.29㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-01,私产,2004-05-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,清河,76,36,300,83775元/平米,毛纺厂南小区,1室1厅1厨1卫,底层 (共6层),35.81㎡,暂无数据,23.86㎡,板楼,南,混合结构,简装,一梯十七户,集中供暖,无,70年,null,null,null,2017-08-14,已购公房,2002-01-30,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
海淀,清河,188,98,575,68961元/平米,莱圳家园,2室1厅1厨1卫,底层 (共18层),83.38㎡,暂无数据,65.63㎡,板楼,东 西,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-04-08,商品房,2013-11-06,普通住宅,满两年,非共有,有抵押 80万元 业主自还,已上传房本照片,5,null
海淀,清河,28,10,900,93555元/平米,橡树湾,2室1厅1厨1卫,中楼层 (共18层),96.2㎡,暂无数据,78.39㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2014-01-10,普通住宅,满两年,非共有,有抵押 150万元 中信银行 客户偿还,已上传房本照片,5,null
海淀,清河,55,15,550,60935元/平米,力度家园,2室1厅1厨1卫,低楼层 (共15层),90.26㎡,暂无数据,73.28㎡,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2014-03-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
