城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,牡丹园,245,124,650,101563元/平米,塔院小区,3室1厅1厨1卫,底层 (共6层),64㎡,暂无数据,48㎡,板楼,东 南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-27,私产,2004-12-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离10号线健德门站783米
海淀,牡丹园,119,47,530,91696元/平米,塔院小区,2室1厅1厨1卫,低楼层 (共6层),57.8㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-01,商品房,2009-12-14,普通住宅,满五年,共有,无抵押,已上传房本照片,11,null
海淀,牡丹园,80,30,748,94444元/平米,塔院小区,3室1厅1厨1卫,中楼层 (共6层),79.2㎡,暂无数据,56.4㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-24,已购公房,2001-09-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,牡丹园,198,96,645,92819元/平米,花园东路14号院,3室1厅1厨1卫,高楼层 (共6层),69.49㎡,暂无数据,41.35㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-23,已购公房,2003-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,牡丹园,154,111,960,84993元/平米,都景苑,2室2厅1厨1卫,中楼层 (共24层),112.95㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-06-17,私产,2004-08-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,牡丹园,22,24,508,89848元/平米,塔院小区,2室1厅1厨1卫,低楼层 (共18层),56.54㎡,平层,42㎡,塔楼,东南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-24,央产房,2006-06-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,12,null
海淀,牡丹园,29,55,560,95890元/平米,牡丹园西里,2室1厅1厨1卫,高楼层 (共16层),58.4㎡,平层,44.6㎡,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2010-07-13,普通住宅,满五年,共有,无抵押,已上传房本照片,17,null
海淀,牡丹园,29,17,490,90573元/平米,西单宿舍,2室1厅1厨1卫,高楼层 (共6层),54.1㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-27,已购公房,2000-10-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,牡丹园,55,25,735,94961元/平米,塔院小区,3室1厅1厨1卫,顶层 (共6层),77.4㎡,暂无数据,55.3㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-19,已购公房,1999-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,牡丹园,48,82,1160,85476元/平米,华盛家园,3室2厅1厨2卫,低楼层 (共24层),135.71㎡,暂无数据,102㎡,塔楼,东南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-06-24,私产,2002-11-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
