城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,甘家口,234,94,930,86754元/平米,阜光里小区,3室1厅1厨2卫,顶层 (共14层),107.2㎡,暂无数据,74.4㎡,板楼,东 西,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-16,央产房,2005-08-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,30,距离9号线白堆子站382米
海淀,甘家口,94,71,1150,106977元/平米,建设部大院,3室1厅1厨1卫,低楼层 (共24层),107.5㎡,平层,85㎡,塔楼,西 北,钢混结构,简装,一梯九户,集中供暖,暂无数据,70年,null,null,null,2017-06-15,央产房,2003-01-29,普通住宅,满五年,非共有,有抵押 850万元 担保公司,已上传房本照片,9,null
海淀,甘家口,370,120,690,79861元/平米,劳动关系学院,3室1厅1厨1卫,中楼层 (共4层),86.4㎡,暂无数据,64.8㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-12,已购公房,2008-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
海淀,甘家口,21,24,480,88235元/平米,景王坟,1室1厅1厨1卫,中楼层 (共18层),54.4㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,毛坯,一梯九户,集中供暖,暂无数据,40年,null,null,null,2017-07-31,央产房,2009-04-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,甘家口,38,36,1063,104936元/平米,中纺宿舍,3室1厅1厨1卫,顶层 (共11层),101.3㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-07-29,央产房,2002-10-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,甘家口,198,45,485,82624元/平米,阜光里小区,2室1厅1厨1卫,顶层 (共6层),58.7㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-11,已购公房,2002-02-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,甘家口,263,141,675,106821元/平米,建设部大院,2室1厅1厨1卫,低楼层 (共18层),63.19㎡,暂无数据,44.55㎡,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-02,已购公房,2002-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,甘家口,116,95,799,94859元/平米,高第小区,2室1厅1厨1卫,低楼层 (共16层),84.23㎡,暂无数据,66.48㎡,板塔结合,西北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-04-30,商品房,2006-03-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
海淀,甘家口,112,82,1250,76434元/平米,逸升轩,3室2厅1厨2卫,高楼层 (共14层),163.54㎡,跃层,143.33㎡,板楼,南 北,钢混结构,简装,两梯二十户,自供暖,有,70年,null,null,null,2017-04-28,私产,2008-02-29,普通住宅,满五年,共有,无抵押,已上传房本照片,9,null
海淀,甘家口,157,222,560,94118元/平米,彩电宿舍,2室1厅1厨1卫,顶层 (共6层),59.5㎡,暂无数据,41.6㎡,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-22,已购公房,1993-09-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,甘家口,26,2,460,89844元/平米,甘家口小区,1室1厅1厨1卫,低楼层 (共9层),51.2㎡,暂无数据,33.8㎡,板塔结合,西南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2011-04-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,甘家口,135,47,378,87907元/平米,甘家口小区,1室1厅1厨1卫,顶层 (共12层),43㎡,暂无数据,30.1㎡,板塔结合,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-02,商品房,2012-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,甘家口,59,28,415,85567元/平米,甘家口小区,1室1厅1厨1卫,中楼层 (共9层),48.5㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-01,已购公房,2000-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,甘家口,23,14,637,104942元/平米,中纺宿舍,2室1厅1厨1卫,低楼层 (共6层),60.7㎡,暂无数据,54㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,商品房,2011-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,甘家口,51,97,595,109576元/平米,西三环北路82号院,2室1厅1厨1卫,底层 (共5层),54.3㎡,暂无数据,40.7㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,40年,null,null,null,2017-07-09,已购公房,2001-03-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,甘家口,44,34,376,87442元/平米,甘家口小区,1室1厅1厨1卫,中楼层 (共12层),43㎡,暂无数据,暂无数据,板塔结合,西南,钢混结构,其他,两梯十户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2005-06-08,普通住宅,满五年,非共有,暂无数据,已上传房本照片,10,null
