城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,田村,53,52,895,79711元/平米,中国房子,2室1厅1厨1卫,顶层 (共9层),112.28㎡,暂无数据,100.04㎡,板楼,南,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-06-16,商品房,2011-08-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离6号线海淀五路居站369米
海淀,田村,46,23,950,73649元/平米,丹青府,3室1厅1厨2卫,中楼层 (共12层),128.99㎡,暂无数据,103.4㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2012-11-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
海淀,田村,24,26,820,90839元/平米,雅世合金公寓,2室1厅1厨2卫,中楼层 (共9层),90.27㎡,暂无数据,72.39㎡,板塔结合,东 西,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-06-08,商品房,2013-01-14,普通住宅,满两年,非共有,有抵押 业主自还,已上传房本照片,6,null
海淀,田村,40,23,405,69113元/平米,永达逸家,1室1厅1厨1卫,高楼层 (共15层),58.6㎡,暂无数据,46.64㎡,板塔结合,西,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-07-10,商品房,2009-05-31,普通住宅,满五年,非共有,暂无数据,已上传房本照片,3,null
海淀,田村,29,45,430,70608元/平米,田村40号院,2室1厅1厨1卫,中楼层 (共6层),60.9㎡,暂无数据,1㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-05,央产房,2017-07-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,11,null
海淀,田村,77,95,480,77295元/平米,永定路1号院,2室1厅1厨1卫,中楼层 (共6层),62.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-12,已购公房,1998-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,田村,13,12,555,86977元/平米,西木小区,3室1厅1厨1卫,底层 (共5层),63.81㎡,暂无数据,64.34㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,2006-03-20,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
海淀,田村,170,66,390,71038元/平米,永定路1号院,2室1厅1厨1卫,顶层 (共5层),54.9㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-29,私产,2005-06-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,田村,6,22,730,83438元/平米,丹青府,2室1厅1厨1卫,中楼层 (共12层),87.49㎡,暂无数据,70.13㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2011-03-28,普通住宅,满五年,共有,暂无数据,已上传房本照片,6,null
海淀,田村,69,11,1090,120163元/平米,碧森里,3室1厅1厨2卫,底层 (共9层),90.71㎡,暂无数据,76.31㎡,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-07,商品房,2012-07-31,普通住宅,满五年,非共有,有抵押 170万元 花旗银行 客户偿还,已上传房本照片,1,null
海淀,田村,30,27,420,71672元/平米,永达逸家,1室1厅1厨1卫,中楼层 (共15层),58.6㎡,暂无数据,46.64㎡,板塔结合,西,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-07-21,商品房,2012-08-27,普通住宅,满五年,非共有,有抵押 80万元 交通银行 客户偿还,已上传房本照片,5,null
海淀,田村,28,27,410,67881元/平米,田村40号院,2室1厅1厨1卫,中楼层 (共6层),60.4㎡,暂无数据,40.8㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-01,央产房,1998-05-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,田村,119,79,810,98540元/平米,乐府江南,2室1厅1厨2卫,低楼层 (共9层),82.2㎡,暂无数据,70.68㎡,板楼,西北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-03-25,商品房,2009-03-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
