城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,白石桥,42,30,815,105982元/平米,海洋局小区,3室1厅1厨1卫,中楼层 (共18层),76.9㎡,暂无数据,54.7㎡,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-27,央产房,2002-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,距离4号线魏公村站911米
海淀,白石桥,25,33,590,93919元/平米,动物园宿舍,2室1厅1厨1卫,中楼层 (共5层),62.82㎡,暂无数据,暂无数据,板楼,南 西 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,2013-09-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,8,null
海淀,白石桥,24,13,1300,129122元/平米,国家气象局,3室1厅1厨1卫,低楼层 (共6层),100.68㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,央产房,2000-07-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,白石桥,52,8,390,92461元/平米,动物园宿舍,1室1厅1厨1卫,顶层 (共5层),42.18㎡,暂无数据,31.7㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-30,商品房,2010-12-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,白石桥,11,1,550,94340元/平米,中关村南大街24号,2室1厅1厨1卫,中楼层 (共6层),58.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,已购公房,1994-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,白石桥,32,50,930,90414元/平米,汇福轩,2室2厅1厨1卫,低楼层 (共18层),102.86㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-03-15,商品房,2003-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,白石桥,38,41,875,94902元/平米,汇福轩,2室2厅1厨1卫,低楼层 (共18层),92.2㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-05-06,商品房,2005-05-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,白石桥,158,75,395,95781元/平米,大柳树3号院,1室0厅1厨1卫,高楼层 (共6层),41.24㎡,暂无数据,40㎡,板楼,东,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-02,商品房,2010-09-06,普通住宅,满五年,共有,无抵押,已上传房本照片,null,
海淀,白石桥,5,2,1350,92112元/平米,富海中心,3室2厅1厨2卫,高楼层 (共21层),146.56㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,三梯十户,自供暖,有,70年,null,null,null,2017-08-11,私产,2006-05-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,白石桥,2,1,529,100000元/平米,大柳树13号院,1室1厅1厨1卫,低楼层 (共6层),52.9㎡,暂无数据,37㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-06,已购公房,1999-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
