城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,皂君庙,98,72,1085,109929元/平米,农科院,3室1厅1厨1卫,低楼层 (共24层),98.7㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-13,已购公房,2001-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
海淀,皂君庙,37,16,464,91881元/平米,冶金大院,2室1厅1厨1卫,中楼层 (共6层),50.5㎡,暂无数据,35.5㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,2003-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,皂君庙,44,11,525,96863元/平米,皂君东里,2室1厅1厨1卫,高楼层 (共6层),54.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,1995-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,皂君庙,21,9,600,106572元/平米,农科院,2室1厅1厨1卫,顶层 (共5层),56.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-06,已购公房,2001-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,93,42,550,94502元/平米,皂君东里,2室1厅1厨1卫,中楼层 (共6层),58.2㎡,暂无数据,40.2㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-02,已购公房,1999-12-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,皂君庙,68,27,800,104167元/平米,皂君东里,3室1厅1厨1卫,低楼层 (共6层),76.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-18,已购公房,1997-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,皂君庙,21,25,780,106996元/平米,皂君东里,3室1厅1厨1卫,底层 (共5层),72.9㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-13,已购公房,1994-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,皂君庙,26,7,570,98890元/平米,皂君西里,2室1厅1厨1卫,高楼层 (共6层),57.64㎡,暂无数据,44.4㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,私产,2007-05-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,皂君庙,38,16,680,92896元/平米,皂君东里,3室1厅1厨1卫,底层 (共6层),73.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-13,商品房,2011-07-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,皂君庙,4,14,780,100593元/平米,皂君西里,3室1厅1厨1卫,中楼层 (共6层),77.54㎡,平层,54.93㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,1999-11-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
海淀,皂君庙,28,10,1988,147150元/平米,中关村南大街乙8号,4室3厅1厨2卫,顶层 (共6层),135.1㎡,暂无数据,135㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-26,央产房,2015-07-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
海淀,皂君庙,28,24,856,108492元/平米,皂君庙14号院,2室1厅1厨1卫,底层 (共6层),78.9㎡,平层,78.9㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-09,已购公房,2001-02-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,30,10,890,89963元/平米,学院派,2室1厅1厨1卫,顶层 (共21层),98.93㎡,暂无数据,73.34㎡,塔楼,南,钢混结构,精装,四梯二十户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2012-06-27,普通住宅,满五年,非共有,有抵押 70万元 中国银行 客户偿还,已上传房本照片,3,null
海淀,皂君庙,13,10,550,93315元/平米,双榆树南里二区,2室1厅1厨1卫,低楼层 (共18层),58.94㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-22,已购公房,2004-03-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,102,28,488,111010元/平米,农科院,1室1厅1厨1卫,中楼层 (共5层),43.96㎡,暂无数据,28.19㎡,板楼,南,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-20,商品房,2010-01-08,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
海淀,皂君庙,49,26,510,90747元/平米,皂君东里,2室1厅1厨1卫,顶层 (共6层),56.2㎡,平层,暂无数据,板楼,东 南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-03,已购公房,1992-11-23,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
海淀,皂君庙,65,26,1000,97191元/平米,鑫雅苑,2室1厅1厨1卫,高楼层 (共20层),102.89㎡,暂无数据,暂无数据,塔楼,东 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-03-21,商品房,2003-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,10,2,1200,92951元/平米,皂君庙甲16号院,3室1厅1厨1卫,高楼层 (共16层),129.1㎡,暂无数据,暂无数据,板塔结合,西南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-12,央产房,2002-01-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,18,6,550,88695元/平米,明光北里,2室1厅1厨1卫,高楼层 (共16层),62.01㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-18,已购公房,2002-12-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,皂君庙,56,23,700,90556元/平米,皂君东里,3室1厅1厨1卫,顶层 (共6层),77.3㎡,暂无数据,暂无数据,板楼,东 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-14,已购公房,1996-06-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,18,9,598,109926元/平米,农科院,2室1厅1厨1卫,顶层 (共5层),54.4㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-15,已购公房,2001-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,皂君庙,16,4,410,99466元/平米,青年公寓,1室1厅1厨1卫,中楼层 (共17层),41.22㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,八梯六十二户,集中供暖,有,70年,null,null,null,2017-08-30,已购公房,2011-01-13,普通住宅,满五年,非共有,有抵押,已上传房本照片,4,null
海淀,皂君庙,44,23,950,88529元/平米,鑫雅苑,2室1厅1厨1卫,中楼层 (共20层),107.31㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-21,私产,2006-10-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,16,11,1040,97561元/平米,鑫雅苑,2室1厅1厨1卫,中楼层 (共20层),106.6㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-21,私产,2003-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,5,2,930,86665元/平米,鑫雅苑,2室1厅1厨1卫,顶层 (共20层),107.31㎡,暂无数据,79㎡,塔楼,东北,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2012-03-26,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
海淀,皂君庙,45,22,399,100000元/平米,皂君东里,1室1厅1厨1卫,中楼层 (共5层),39.9㎡,暂无数据,39㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-10,商品房,2015-06-24,普通住宅,满两年,非共有,有抵押 60万元 邮政储蓄 业主自还,已上传房本照片,6,null
海淀,皂君庙,15,7,525,84514元/平米,皂君庙7号院,2室1厅1厨1卫,顶层 (共6层),62.12㎡,暂无数据,暂无数据,板楼,东 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-15,已购公房,2013-05-22,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
海淀,皂君庙,6,0,568,93807元/平米,大钟寺甲133号院,2室1厅1厨1卫,顶层 (共6层),60.55㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-01,已购公房,2002-04-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,263,84,520,95764元/平米,皂君东里,2室1厅1厨1卫,顶层 (共6层),54.3㎡,平层,50㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-01,商品房,2011-01-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,27,1,530,86843元/平米,学院派,1室1厅1厨1卫,中楼层 (共21层),61.03㎡,暂无数据,45.24㎡,塔楼,西南,钢混结构,精装,四梯二十户,集中供暖,有,70年,null,null,null,2017-08-15,商品房,2010-11-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,39,24,500,95420元/平米,皂君东里,2室1厅1厨1卫,底层 (共6层),52.4㎡,暂无数据,39.3㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-12,已购公房,2012-09-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,17,2,645,100000元/平米,皂君东里,2室1厅1厨1卫,顶层 (共6层),64.5㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-15,已购公房,2000-10-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,14,4,419,100000元/平米,皂君东里,1室1厅1厨1卫,低楼层 (共6层),41.9㎡,平层,1㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-14,商品房,2012-07-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,皂君庙,77,25,750,87321元/平米,学院派,2室1厅1厨1卫,高楼层 (共21层),85.89㎡,平层,63.67㎡,塔楼,西,钢混结构,精装,四梯二十户,集中供暖,有,70年,null,null,null,2017-05-15,商品房,2012-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,32,4,1481,97943元/平米,鑫雅苑,3室2厅1厨2卫,低楼层 (共20层),151.21㎡,暂无数据,150㎡,塔楼,西南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-03,私产,2006-04-14,普通住宅,满五年,非共有,有抵押 50万元 工行 业主自还,已上传房本照片,0,null
海淀,皂君庙,13,0,520,89655元/平米,皂君庙乙2号院,2室1厅1厨1卫,顶层 (共6层),58㎡,平层,暂无数据,板楼,西北,混合结构,毛坯,一梯五户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,1995-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,8,0,530,91379元/平米,皂君庙乙2号院,2室1厅1厨1卫,顶层 (共6层),58㎡,暂无数据,暂无数据,板楼,西北,砖混结构,简装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-13,已购公房,1995-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,78,5,350,70451元/平米,文林大厦,1室1厅1厨1卫,中楼层 (共13层),49.68㎡,平层,37.26㎡,板塔结合,南,钢混结构,简装,两梯十七户,集中供暖,有,70年,null,null,null,2017-08-23,商品房,2013-01-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,39,9,1061,79979元/平米,大钟寺133号院,3室1厅1厨2卫,中楼层 (共6层),132.66㎡,暂无数据,暂无数据,板楼,西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-23,已购公房,2004-03-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,7,4,630,100639元/平米,皂君东里,2室1厅1厨1卫,低楼层 (共16层),62.6㎡,平层,暂无数据,塔楼,南 西南 西,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2014-12-18,普通住宅,满两年,非共有,有抵押 80万元 工商银行 业主自还,已上传房本照片,4,null
海淀,皂君庙,5,4,1790,114604元/平米,鑫雅苑,3室2厅1厨2卫,中楼层 (共20层),156.19㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-03,私产,2004-05-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,49,19,621,89987元/平米,学院派,1室1厅1厨1卫,顶层 (共18层),69.01㎡,暂无数据,55.39㎡,板塔结合,西,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-21,商品房,2011-12-23,普通住宅,满五年,非共有,有抵押 70万元 客户偿还,已上传房本照片,2,null
海淀,皂君庙,8,3,420,105263元/平米,皂君东里,1室1厅1厨1卫,中楼层 (共5层),39.9㎡,暂无数据,27.5㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,1992-08-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,皂君庙,37,6,535,92225元/平米,双榆树南里二区,2室1厅1厨1卫,顶层 (共6层),58.01㎡,平层,40.04㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-07,已购公房,2001-09-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,32,9,800,78802元/平米,学院派,2室1厅1厨1卫,中楼层 (共21层),101.52㎡,暂无数据,75.26㎡,塔楼,西北,钢混结构,精装,四梯二十户,集中供暖,有,70年,null,null,null,2017-07-17,商品房,2010-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,皂君庙,33,7,550,92593元/平米,皂君东里,2室1厅1厨1卫,中楼层 (共6层),59.4㎡,暂无数据,40.2㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-20,已购公房,1995-07-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,皂君庙,60,14,398,89842元/平米,明光北里,2室0厅1厨1卫,低楼层 (共16层),44.3㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-25,商品房,2014-09-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
海淀,皂君庙,26,16,530,94172元/平米,冶金大院,1室1厅1厨1卫,顶层 (共6层),56.28㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-14,商品房,2011-09-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,51,16,545,102637元/平米,皂君东里,2室1厅1厨1卫,底层 (共6层),53.1㎡,暂无数据,50㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-21,已购公房,1995-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,75,21,540,88048元/平米,明光北里,2室1厅1厨1卫,底层 (共18层),61.33㎡,暂无数据,暂无数据,塔楼,东南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-03,已购公房,2012-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,皂君庙,40,34,580,89094元/平米,双榆树南里二区,3室0厅1厨1卫,中楼层 (共6层),65.1㎡,暂无数据,64㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-02,已购公房,2017-06-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,6,null
海淀,皂君庙,12,3,590,88363元/平米,鑫雅苑,1室1厅1厨1卫,中楼层 (共20层),66.77㎡,暂无数据,暂无数据,塔楼,东,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-18,私产,2002-08-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,3,1,1061.3,110000元/平米,四道口5号院,2室2厅1厨1卫,底层 (共7层),96.48㎡,暂无数据,63.64㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,商品房,2013-03-06,普通住宅,满两年,非共有,暂无数据,已上传房本照片,0,null
海淀,皂君庙,168,15,580,83095元/平米,皂君东里,2室1厅1厨1卫,底层 (共16层),69.8㎡,平层,53.4㎡,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-18,已购公房,2001-04-03,普通住宅,满五年,非共有,有抵押 160万元 客户偿还,已上传房本照片,0,null
海淀,皂君庙,33,2,473,55070元/平米,学院派,3房间1卫,顶层 (共21层),85.89㎡,暂无数据,63.87㎡,塔楼,西,钢混结构,简装,三梯十九户,集中供暖,有,50年,民水,民电,0元/m3,2017-08-17,商品房,2011-08-25,商业办公类,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,36,1,390,89779元/平米,明光北里,1室1厅1厨1卫,高楼层 (共18层),43.44㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2015-03-27,普通住宅,满两年,共有,有抵押 110万元 建设银行 客户偿还,已上传房本照片,0,null
海淀,皂君庙,77,3,480,82616元/平米,皂君东里,2室1厅1厨1卫,顶层 (共6层),58.1㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-06,已购公房,2008-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,19,1,535,99442元/平米,皂君东里,2室1厅1厨1卫,中楼层 (共5层),53.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,商品房,2015-02-12,普通住宅,满两年,非共有,有抵押 60万元 公积金管理中心 业主自还,已上传房本照片,1,null
海淀,皂君庙,33,6,398,97192元/平米,双榆树南里二区,1室1厅1厨1卫,顶层 (共6层),40.95㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-22,商品房,2012-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,27,13,1228,94900元/平米,皂君庙甲16号院,3室1厅1厨1卫,中楼层 (共16层),129.4㎡,暂无数据,暂无数据,板塔结合,西南,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-15,央产房,2002-01-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,59,27,1398,72597元/平米,青云南区,4室2厅1厨2卫,顶层 (共6层),192.57㎡,暂无数据,暂无数据,板楼,东 南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-04,已购公房,2004-09-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离13号线大钟寺站1195米
海淀,皂君庙,11,5,1045,80021元/平米,大钟寺133号院,2室1厅1厨1卫,中楼层 (共6层),130.59㎡,暂无数据,1㎡,板楼,西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-01,私产,2004-03-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,8,1,465,93599元/平米,文林大厦,1室1厅1厨1卫,低楼层 (共13层),49.68㎡,平层,37.26㎡,板塔结合,南,钢混结构,精装,两梯十七户,集中供暖,有,70年,null,null,null,2017-05-29,商品房,2009-12-23,普通住宅,满五年,非共有,有抵押 15万元 华夏银行 业主自还,已上传房本照片,0,null
海淀,皂君庙,10,0,990,90494元/平米,皂君庙14号院,2室2厅1厨1卫,中楼层 (共14层),109.4㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯十四户,集中供暖,有,70年,null,null,null,2017-09-01,私产,2006-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,55,37,580,106814元/平米,皂君西里,2室1厅1厨1卫,中楼层 (共6层),54.3㎡,暂无数据,47㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-05-11,商品房,2012-11-05,普通住宅,满两年,非共有,有抵押 业主自还,已上传房本照片,0,null
海淀,皂君庙,13,4,550,96661元/平米,皂君东里,2室1厅1厨1卫,中楼层 (共6层),56.9㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-25,已购公房,1996-06-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,皂君庙,6,3,1130,103956元/平米,皂君庙甲16号院,2室2厅1厨1卫,顶层 (共16层),108.7㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,其他,两梯三户,集中供暖,有,70年,null,null,null,2017-08-15,央产房,2002-01-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
海淀,皂君庙,4,4,470,91068元/平米,天作国际中心,1室0厅1厨1卫,中楼层 (共15层),51.61㎡,暂无数据,35.93㎡,板塔结合,东,钢混结构,精装,五梯二十三户,自供暖,有,70年,null,null,null,2017-07-22,商品房,2009-12-18,公寓,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,皂君庙,109,13,510,80189元/平米,明光北里,3室1厅1厨1卫,底层 (共16层),63.6㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-12,已购公房,2001-03-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,皂君庙,16,6,980,90156元/平米,皂君庙甲16号院,2室1厅1厨1卫,中楼层 (共16层),108.7㎡,暂无数据,暂无数据,板塔结合,西北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-06,商品房,2009-04-13,普通住宅,满五年,共有,有抵押 20万元 建设 业主自还,已上传房本照片,1,null
海淀,皂君庙,50,19,530,83294元/平米,皂君庙丙4号院,2室1厅1厨1卫,中楼层 (共6层),63.63㎡,暂无数据,57.18㎡,板楼,南,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-04,商品房,2016-06-27,普通住宅,暂无数据,非共有,有抵押 1150000万元 民生银行 客户偿还,已上传房本照片,2,null
海淀,皂君庙,18,0,420,101892元/平米,青年公寓,1室1厅1厨1卫,高楼层 (共17层),41.22㎡,暂无数据,30㎡,板塔结合,南,钢混结构,精装,八梯六十二户,集中供暖,有,70年,null,null,null,2017-08-19,已购公房,2006-12-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
