城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,知春路,13,14,475,79286元/平米,罗庄西里,1室1厅1厨1卫,低楼层 (共18层),59.91㎡,平层,50㎡,塔楼,南,钢混结构,毛坯,两梯十户,集中供暖,有,70年,null,null,null,2017-08-25,一类经济适用房,2007-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,距离10号线知春路站726米
海淀,知春路,136,54,478,87868元/平米,蓟门北里,2室1厅1厨1卫,高楼层 (共6层),54.4㎡,平层,38.6㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-15,央产房,2003-12-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
海淀,知春路,39,14,749,104902元/平米,知春路52号院,3室1厅1厨1卫,中楼层 (共14层),71.4㎡,暂无数据,暂无数据,塔楼,东 南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-15,央产房,2003-04-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,知春路,128,27,636,87894元/平米,蓟门南里,3室1厅1厨1卫,低楼层 (共6层),72.36㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-03,已购公房,2001-01-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,知春路,84,27,586,91850元/平米,罗庄西里,2室1厅1厨1卫,低楼层 (共6层),63.8㎡,暂无数据,55㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-05,私产,2007-09-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,知春路,34,37,1025,109731元/平米,太阳园,2室1厅1厨1卫,低楼层 (共26层),93.41㎡,暂无数据,1㎡,塔楼,东南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-20,私产,2003-07-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,知春路,58,46,1050,104864元/平米,太阳园,2室1厅1厨1卫,高楼层 (共26层),100.13㎡,暂无数据,暂无数据,塔楼,东,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-30,私产,2006-03-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,知春路,97,39,480,86022元/平米,蓟门北里,3室1厅1厨1卫,高楼层 (共6层),55.8㎡,暂无数据,39.7㎡,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,null,null,null,2017-07-15,已购公房,2001-11-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
海淀,知春路,21,8,650,100371元/平米,知春路56号院,2室1厅1厨1卫,底层 (共12层),64.76㎡,暂无数据,暂无数据,板塔结合,东北,钢混结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-07-29,央产房,2006-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,知春路,85,117,840,90713元/平米,太月园,2室1厅1厨1卫,低楼层 (共27层),92.6㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-05-10,私产,2000-07-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
