城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,紫竹桥,387,155,573,84952元/平米,北京气象局宿舍,3室1厅1厨1卫,顶层 (共6层),67.45㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,暂无数据,暂无数据,40年,null,null,null,2017-02-20,商品房,2009-08-24,普通住宅,满五年,非共有,暂无数据,已上传房本照片,8,距离6号线慈寿寺站966米
海淀,紫竹桥,37,12,1500,120260元/平米,主语家园,2室2厅1厨2卫,低楼层 (共18层),124.73㎡,暂无数据,101.25㎡,塔楼,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2009-01-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
海淀,紫竹桥,16,28,1580,90820元/平米,世纪新景,3室2厅1厨2卫,中楼层 (共25层),173.97㎡,暂无数据,147.01㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-17,私产,2004-11-17,普通住宅,满五年,非共有,有抵押 500万元 兴业银行 客户偿还,已上传房本照片,9,null
海淀,紫竹桥,37,20,416,94761元/平米,七贤村,1室1厅1厨1卫,中楼层 (共6层),43.9㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,商品房,2010-01-06,普通住宅,满五年,非共有,有抵押 18万元 中信银行 业主自还,已上传房本照片,10,null
海淀,紫竹桥,97,21,560,80114元/平米,北洼西里,3室1厅1厨1卫,顶层 (共6层),69.9㎡,暂无数据,69.9㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-01,已购公房,2000-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,紫竹桥,45,33,575,94278元/平米,北无宿舍,2室1厅1厨1卫,中楼层 (共6层),60.99㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2016-12-19,商品房,2012-10-23,普通住宅,满两年,共有,有抵押 70万元 公积金管理中心 业主自还,已上传房本照片,8,null
海淀,紫竹桥,111,33,547,89967元/平米,紫竹院南路20号院,2室1厅1厨1卫,低楼层 (共6层),60.8㎡,暂无数据,42.6㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,商品房,2006-03-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,紫竹桥,33,18,500,92421元/平米,车公庄西路45号院,2室1厅1厨1卫,中楼层 (共6层),54.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,已购公房,2004-01-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,紫竹桥,173,53,810,71777元/平米,北洼路28号院,3室2厅1厨1卫,中楼层 (共18层),112.85㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯十一户,集中供暖,有,70年,null,null,null,2017-07-02,商品房,2008-02-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,紫竹桥,28,34,1090,94890元/平米,中海雅园,2室1厅1厨2卫,中楼层 (共19层),114.87㎡,暂无数据,78.79㎡,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-01,已购公房,2004-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
海淀,紫竹桥,31,99,1510,92883元/平米,人济山庄,3室1厅1厨2卫,中楼层 (共26层),162.57㎡,暂无数据,134.39㎡,塔楼,西,钢混结构,简装,三梯九户,集中供暖,有,70年,null,null,null,2017-06-01,商品房,2017-03-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,7,null
海淀,紫竹桥,283,264,1800,90475元/平米,中海雅园,4室2厅1厨2卫,底层 (共10层),198.95㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-02-28,商品房,2007-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
海淀,紫竹桥,30,12,1780,119207元/平米,人济山庄,3室2厅1厨3卫,中楼层 (共26层),149.32㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,三梯九户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2002-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
