城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,苏州桥,124,45,660,93471元/平米,小南庄社区,2室1厅1厨1卫,低楼层 (共18层),70.61㎡,暂无数据,暂无数据,塔楼,东 南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-21,商品房,2011-09-15,普通住宅,满五年,非共有,有抵押 225万元 厦门国际银行 客户偿还,已上传房本照片,11,距离10号线苏州街站784米
海淀,苏州桥,48,100,580,95868元/平米,海淀南路,2室1厅1厨1卫,底层 (共12层),60.5㎡,暂无数据,60㎡,板塔结合,南 北,钢混结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-05-11,已购公房,2000-11-15,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,苏州桥,31,55,666,96971元/平米,海淀南路,3室0厅1厨1卫,高楼层 (共16层),68.68㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-05-12,已购公房,2001-09-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
海淀,苏州桥,28,21,730,97594元/平米,海淀南路,3室1厅1厨1卫,中楼层 (共16层),74.8㎡,暂无数据,74.8㎡,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-17,已购公房,2001-09-25,普通住宅,满五年,非共有,暂无数据,已上传房本照片,13,null
海淀,苏州桥,13,60,485,89815元/平米,三义庙北,2室1厅1厨1卫,中楼层 (共6层),54㎡,暂无数据,暂无数据,塔楼,东 北,砖混结构,毛坯,一梯五户,集中供暖,无,70年,null,null,null,2017-06-10,已购公房,2010-10-18,普通住宅,满五年,共有,无抵押,已上传房本照片,15,null
海淀,苏州桥,20,57,620,94354元/平米,小南庄社区,2室1厅1厨1卫,底层 (共6层),65.71㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-03,已购公房,2017-05-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,14,null
海淀,苏州桥,57,41,1020,80189元/平米,紫金庄园,3室2厅1厨2卫,中楼层 (共22层),127.2㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-19,商品房,2010-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,苏州桥,40,35,950,97516元/平米,稻香园,3室1厅1厨1卫,中楼层 (共10层),97.42㎡,暂无数据,暂无数据,板塔结合,东 西,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-01,商品房,2009-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,苏州桥,17,38,630,113248元/平米,王公坟社区,2室1厅1厨1卫,中楼层 (共10层),55.63㎡,暂无数据,39.05㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-09,已购公房,2001-03-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,苏州桥,216,125,660,93777元/平米,榆树林,2室1厅1厨1卫,底层 (共6层),70.38㎡,暂无数据,暂无数据,板楼,东 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-12,已购公房,2002-10-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,苏州桥,46,109,580,111538元/平米,苏州街77号院,2室1厅1厨1卫,高楼层 (共6层),52㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-09,商品房,2012-09-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
海淀,苏州桥,108,30,550,82200元/平米,紫金庄园,2室1厅1厨1卫,高楼层 (共22层),66.91㎡,平层,56㎡,塔楼,西南,钢混结构,精装,两梯十四户,集中供暖,有,70年,null,null,null,2017-06-28,商品房,2017-06-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,3,null
海淀,苏州桥,94,117,639,105620元/平米,稻香园西里,2室1厅1厨1卫,顶层 (共14层),60.5㎡,暂无数据,42.4㎡,板塔结合,南,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-14,已购公房,1994-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
海淀,苏州桥,64,74,1200,101291元/平米,大河庄苑,2室1厅1厨1卫,中楼层 (共16层),118.47㎡,暂无数据,99.49㎡,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-21,私产,2006-05-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,苏州桥,79,43,570,84607元/平米,紫金庄园,2室1厅1厨1卫,高楼层 (共22层),67.37㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯十四户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2014-05-16,普通住宅,满两年,非共有,有抵押 75万元 客户偿还,已上传房本照片,7,null
海淀,苏州桥,51,75,860,99861元/平米,稻香园,2室1厅1厨1卫,高楼层 (共16层),86.12㎡,暂无数据,暂无数据,板塔结合,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-18,央产房,2001-07-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,苏州桥,5,6,647,105032元/平米,小南庄社区,2室1厅1厨1卫,高楼层 (共6层),61.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,已购公房,1999-01-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,苏州桥,20,7,1300,99282元/平米,苏州街52号院,3室2厅1厨2卫,中楼层 (共20层),130.94㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-26,央产房,2002-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,苏州桥,122,69,1660,115873元/平米,大河庄苑,3室2厅1厨2卫,低楼层 (共11层),143.26㎡,暂无数据,122.51㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-16,私产,2005-09-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,苏州桥,68,50,613,104966元/平米,小南庄社区,2室1厅1厨1卫,底层 (共5层),58.4㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-15,已购公房,1996-02-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,苏州桥,191,74,980,77044元/平米,紫金庄园,3室1厅1厨2卫,高楼层 (共22层),127.2㎡,暂无数据,1㎡,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-04,私产,2004-11-16,普通住宅,满五年,非共有,有抵押 200万元 个人 业主自还,已上传房本照片,3,null
海淀,苏州桥,48,61,630,101695元/平米,稻香园,2室1厅1厨1卫,中楼层 (共6层),61.95㎡,暂无数据,55㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-28,央产房,2011-08-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,苏州桥,39,89,730,88840元/平米,紫金庄园,2室1厅1厨1卫,顶层 (共22层),82.17㎡,暂无数据,65㎡,塔楼,南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-29,央产房,2004-12-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
