城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,西二旗,69,30,880,63828元/平米,博雅德园,3室2厅1厨2卫,中楼层 (共16层),137.87㎡,暂无数据,111.81㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-25,私产,2006-08-18,普通住宅,满五年,非共有,有抵押 200万元 交通银行 客户偿还,已上传房本照片,15,null
海淀,西二旗,155,65,1150,82037元/平米,领秀新硅谷1号院,3室1厅1厨2卫,顶层 (共9层),140.18㎡,暂无数据,123.13㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-21,商品房,2012-05-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西二旗,72,19,520,78172元/平米,领秀新硅谷1号院,1室1厅1厨1卫,顶层 (共11层),66.52㎡,平层,56.84㎡,板楼,南,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-08-17,商品房,2014-10-31,普通住宅,满两年,共有,有抵押 85万元 公积金 业主自还,已上传房本照片,3,null
海淀,西二旗,62,28,645,73790元/平米,领秀新硅谷2号院,1室1厅1厨1卫,中楼层 (共15层),87.41㎡,暂无数据,73.14㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-09,商品房,2009-08-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,西二旗,74,15,480,58224元/平米,智学苑,3室1厅1厨1卫,高楼层 (共6层),82.44㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-20,私产,2006-06-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,西二旗,286,83,805,76001元/平米,领秀新硅谷2号院,2室2厅1厨2卫,顶层 (共5层),105.92㎡,平层,95.09㎡,板楼,东南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-02-04,商品房,2011-06-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,西二旗,43,18,630,62259元/平米,智学苑,3室1厅1厨1卫,中楼层 (共6层),101.19㎡,平层,暂无数据,板楼,东 南 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-12,一类经济适用房,2002-05-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,西二旗,52,43,655,74917元/平米,领秀新硅谷2号院,2室1厅1厨1卫,中楼层 (共15层),87.43㎡,暂无数据,73.14㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-30,商品房,2016-04-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,15,null
海淀,西二旗,56,54,750,84251元/平米,领秀新硅谷1号院,1室1厅1厨2卫,中楼层 (共6层),89.02㎡,暂无数据,72.68㎡,板楼,南 北,钢混结构,毛坯,一梯八户,自供暖,有,70年,null,null,null,2017-08-11,商品房,2011-07-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,西二旗,70,65,780,81641元/平米,领秀新硅谷1号院,2室1厅1厨1卫,低楼层 (共15层),95.54㎡,暂无数据,80.48㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-06,商品房,2015-09-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,12,null
海淀,西二旗,81,52,670,70526元/平米,博雅德园,2室1厅1厨1卫,低楼层 (共10层),95㎡,暂无数据,81.21㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-05-09,商品房,2007-10-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
