城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,西北旺,135,37,1130,92328元/平米,中海枫涟山庄,3室1厅1厨2卫,底层 (共8层),122.39㎡,暂无数据,104.92㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-04-18,私产,2006-05-10,普通住宅,满五年,非共有,暂无数据,已上传房本照片,8,距离16号线西北旺站799米
海淀,西北旺,184,68,620,81035元/平米,百旺新城,2室1厅1厨1卫,中楼层 (共6层),76.51㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-18,二类经济适用房,2011-03-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,西北旺,52,14,860,76710元/平米,百旺新城,3室1厅1厨1卫,顶层 (共9层),112.11㎡,暂无数据,95.93㎡,板楼,南 北,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-08-20,一类经济适用房,2010-01-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,西北旺,29,26,1300,86858元/平米,百旺茉莉园,3室1厅1厨2卫,顶层 (共9层),149.67㎡,暂无数据,128.83㎡,板塔结合,南 西 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-08-15,商品房,2008-10-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,西北旺,52,23,920,84644元/平米,百旺茉莉园,2室1厅1厨2卫,顶层 (共9层),108.69㎡,暂无数据,88.23㎡,板塔结合,南,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-04-19,私产,2008-08-13,普通住宅,满五年,非共有,有抵押,已上传房本照片,2,null
海淀,西北旺,71,63,599,77691元/平米,百旺新城,2室1厅1厨1卫,顶层 (共6层),77.1㎡,暂无数据,65.47㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-22,一类经济适用房,2004-11-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,西北旺,14,22,2400,115668元/平米,西山壹号院,3室2厅1厨3卫,中楼层 (共6层),207.49㎡,暂无数据,170.83㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,null,null,null,2017-08-21,商品房,2017-04-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,4,null
海淀,西北旺,100,34,1350,82624元/平米,百旺茉莉园,3室2厅1厨2卫,中楼层 (共9层),163.39㎡,暂无数据,139.58㎡,板塔结合,南 西 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-06-30,商品房,2011-01-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西北旺,117,59,580,69048元/平米,东馨园,3室1厅1厨1卫,底层 (共6层),84㎡,平层,57.7㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-08,商品房,2010-01-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西北旺,25,14,3850,119919元/平米,西山壹号院,3室3厅1厨4卫,高楼层 (共6层),321.05㎡,暂无数据,264.28㎡,板楼,西南 北,钢混结构,精装,一梯一户,集中供暖,有,70年,null,null,null,2017-07-22,商品房,2012-09-04,普通住宅,满五年,非共有,有抵押 2100万元 工商银行 客户偿还,已上传房本照片,0,null
海淀,西北旺,12,15,510,90377元/平米,百旺新城,1室1厅1厨1卫,顶层 (共6层),56.43㎡,暂无数据,50.87㎡,板楼,南,混合结构,精装,一梯三户,自供暖,无,70年,null,null,null,2017-08-24,二类经济适用房,2010-05-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,西北旺,37,7,1130,92905元/平米,中海枫涟山庄,3室2厅1厨2卫,底层 (共9层),121.63㎡,暂无数据,105.18㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-09-01,私产,2006-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,西北旺,55,42,1230,96124元/平米,润千秋佳苑,3室1厅1厨2卫,底层 (共6层),127.96㎡,平层,111.02㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-02-22,私产,2008-05-16,普通住宅,满五年,非共有,有抵押 340万元 民生银行 客户偿还,已上传房本照片,0,null
海淀,西北旺,58,31,620,81035元/平米,百旺新城,2室1厅1厨1卫,顶层 (共6层),76.51㎡,平层,65.8㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-05-27,商品房,2011-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,西北旺,24,2,620,88609元/平米,西山公馆,2室1厅1厨1卫,低楼层 (共6层),69.97㎡,暂无数据,53.62㎡,板楼,东,钢混结构,精装,两梯十三户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2013-09-23,普通住宅,满两年,共有,有抵押 75万元 客户偿还,已上传房本照片,1,null
海淀,西北旺,119,125,2550,107111元/平米,西山壹号院,4室2厅1厨2卫,中楼层 (共6层),238.07㎡,平层,199.16㎡,板楼,南 西 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,null,null,null,2017-05-02,商品房,2013-10-09,普通住宅,满两年,非共有,有抵押 客户偿还,已上传房本照片,4,null
海淀,西北旺,7,7,930,94053元/平米,润千秋佳苑,2室2厅1厨2卫,中楼层 (共6层),98.88㎡,平层,82.75㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-08-18,私产,2007-10-17,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
海淀,西北旺,55,27,3150,113228元/平米,西山壹号院,3室2厅1厨4卫,顶层 (共6层),278.2㎡,暂无数据,230.06㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-06-14,商品房,2014-10-15,普通住宅,满两年,非共有,有抵押 200万元 中信 业主自还,已上传房本照片,2,null
海淀,西北旺,58,7,1100,90580元/平米,中海枫涟山庄,3室2厅1厨2卫,中楼层 (共11层),121.44㎡,暂无数据,105.03㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-20,商品房,2006-03-14,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
海淀,西北旺,88,37,655,82349元/平米,百旺新城,2室1厅1厨1卫,中楼层 (共6层),79.54㎡,平层,69.06㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-01,二类经济适用房,2010-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,西北旺,87,49,4290,107624元/平米,西山壹号院,4室2厅1厨5卫,中楼层 (共6层),398.61㎡,暂无数据,337.88㎡,板楼,东 南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-09,商品房,2013-11-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,西北旺,50,30,2400,119964元/平米,西山壹号院,3室2厅1厨3卫,中楼层 (共6层),200.06㎡,平层,159.18㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-06,商品房,2014-10-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
海淀,西北旺,80,53,510,91300元/平米,百旺新城,1室1厅1厨1卫,中楼层 (共6层),55.86㎡,平层,49.22㎡,板楼,南,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2017-04-20,商品房,2017-03-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2,null
海淀,西北旺,37,34,925,94775元/平米,润千秋佳苑,2室2厅1厨2卫,低楼层 (共9层),97.6㎡,暂无数据,82.8㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-04,私产,2008-06-23,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
海淀,西北旺,100,19,1235,97683元/平米,百旺茉莉园,3室1厅1厨2卫,顶层 (共9层),126.43㎡,暂无数据,107.22㎡,板塔结合,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-03-09,商品房,2015-06-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
海淀,西北旺,188,88,577,75921元/平米,东馨园,3室1厅1厨1卫,高楼层 (共6层),76㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2016-10-12,商品房,2010-06-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西北旺,76,11,1150,85994元/平米,百旺茉莉园,3室2厅1厨2卫,中楼层 (共9层),133.73㎡,平层,114.57㎡,板塔结合,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-08-01,商品房,2016-10-13,普通住宅,暂无数据,非共有,有抵押 249万元 客户偿还,已上传房本照片,2,null
海淀,西北旺,22,8,525,62204元/平米,东旭园,2室1厅1厨1卫,顶层 (共6层),84.4㎡,暂无数据,80㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-21,已购公房,2002-02-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西北旺,60,3,1450,89656元/平米,百旺茉莉园,3室2厅1厨2卫,低楼层 (共9层),161.73㎡,平层,138.1㎡,板塔结合,东 南 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-05-29,商品房,2008-08-14,普通住宅,满五年,非共有,有抵押 120万元 天津银行 客户偿还,已上传房本照片,0,null
海淀,西北旺,73,2,2150,87684元/平米,百旺茉莉园,4室2厅1厨2卫,中楼层 (共4层),245.2㎡,暂无数据,216.73㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-04-13,商品房,2010-04-01,普通住宅,满五年,非共有,有抵押 620万元 中信银行 客户偿还,已上传房本照片,0,null
海淀,西北旺,50,91,480,70474元/平米,东馨园,2室1厅1厨1卫,低楼层 (共6层),68.11㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-20,已购公房,2001-08-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,距离16号线西北旺站639米
海淀,西北旺,6,3,510,90377元/平米,百旺新城,1室1厅1厨1卫,顶层 (共6层),56.43㎡,平层,50.87㎡,板楼,南,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2017-08-30,二类经济适用房,2010-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,西北旺,46,0,505,89381元/平米,百旺新城,1室1厅1厨1卫,顶层 (共6层),56.5㎡,暂无数据,50.87㎡,板楼,南,混合结构,精装,一梯三户,自供暖,无,70年,null,null,null,2017-08-18,商品房,2006-08-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西北旺,48,15,1520,75095元/平米,润千秋佳苑,5室2厅1厨3卫,顶层 (共6层),202.41㎡,暂无数据,177.97㎡,板楼,东 南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-06,商品房,2014-07-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,西北旺,98,21,1300,86817元/平米,百旺茉莉园,3室2厅1厨2卫,低楼层 (共9层),149.74㎡,平层,128.83㎡,板塔结合,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-04-30,商品房,2010-04-20,普通住宅,满五年,非共有,有抵押 100万元 浦发银行 客户偿还,已上传房本照片,1,null
海淀,西北旺,38,0,1560,88778元/平米,百旺茉莉园,3室2厅1厨3卫,中楼层 (共5层),175.72㎡,暂无数据,156.55㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-06-29,私产,2007-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西北旺,76,15,660,80625元/平米,百旺新城,2室1厅1厨1卫,中楼层 (共6层),81.86㎡,暂无数据,69.46㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-06-23,二类经济适用房,2010-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,西北旺,36,27,600,84650元/平米,景和园,2室1厅1厨1卫,底层 (共6层),70.88㎡,暂无数据,68㎡,板楼,南 北,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2017-06-09,二类经济适用房,2013-12-05,普通住宅,满两年,共有,无抵押,已上传房本照片,0,null
海淀,西北旺,86,77,3200,100648元/平米,西山壹号院,4室3厅1厨4卫,底层 (共6层),317.94㎡,暂无数据,252.97㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-02-26,商品房,2014-01-16,普通住宅,满两年,共有,无抵押,已上传房本照片,1,null
海淀,西北旺,14,23,655,81165元/平米,百草园,4室1厅1厨1卫,底层 (共6层),80.7㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-30,商品房,2013-01-25,普通住宅,满两年,共有,暂无数据,已上传房本照片,3,null
