城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,西山,24,20,1580,93226元/平米,御墅临枫锦园一区,4室2厅2厨2卫,低楼层 (共6层),169.48㎡,暂无数据,149.13㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-17,商品房,2008-11-07,普通住宅,满五年,共有,无抵押,已上传房本照片,6,null
海淀,西山,57,16,1780,88756元/平米,西山美墅馆L区,4室2厅1厨2卫,中楼层 (共4层),200.55㎡,暂无数据,183.13㎡,暂无数据,南 北,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-18,商品房,2009-07-07,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
海淀,西山,150,82,350,58923元/平米,门头馨村,1室1厅1厨1卫,中楼层 (共4层),59.4㎡,平层,52.98㎡,板楼,南,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2016-12-30,二类经济适用房,2015-01-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
海淀,西山,139,109,1800,103472元/平米,西山美墅馆B区,4室2厅1厨2卫,底层 (共4层),173.96㎡,暂无数据,154.6㎡,暂无数据,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-02-05,商品房,2006-07-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,西山,44,21,1380,96020元/平米,西山美墅馆F区,3室2厅1厨2卫,顶层 (共4层),143.72㎡,暂无数据,131.43㎡,暂无数据,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-29,商品房,2016-03-28,普通住宅,暂无数据,共有,有抵押 280万元 农业银行 客户偿还,已上传房本照片,4,null
海淀,西山,116,31,3300,111494元/平米,西山美墅馆E区,4室2厅1厨3卫,独栋 (共1层),295.98㎡,295.98㎡,南 北,砖木结构,精装,独栋,自供暖,70年,null,null,null,null,null,null,2017-05-06,商品房,2008-05-01,别墅,满五年,共有,有抵押 20万元 兴业银行 业主自还,已上传房本照片,0,null
海淀,西山,152,47,360,68311元/平米,香山煤厂街27号院,2室1厅1厨1卫,中楼层 (共4层),52.7㎡,平层,36.6㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-22,已购公房,1996-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,西山,13,0,3050,103048元/平米,西山美墅馆E区,5室2厅1厨4卫,底层 (共3层),295.98㎡,暂无数据,295.98㎡,暂无数据,南 北,混合结构,精装,一梯一户,自供暖,无,70年,null,null,null,2017-08-29,私产,2008-04-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西山,182,30,365,76520元/平米,香山煤厂街27号院,2室1厅1厨1卫,底层 (共4层),47.7㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-05,已购公房,2009-03-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,西山,49,147,610,65606元/平米,门头馨村,2室1厅1厨1卫,中楼层 (共4层),92.98㎡,暂无数据,82.71㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-22,二类经济适用房,2015-12-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2,null
