城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,西直门,51,36,1200,79554元/平米,舒至嘉园,3室2厅1厨2卫,低楼层 (共19层),150.84㎡,暂无数据,119.92㎡,塔楼,南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-16,私产,2005-06-21,普通住宅,满五年,非共有,有抵押 80万元 中国民生,已上传房本照片,0,距离2号线西直门站948米
海淀,西直门,77,59,650,94752元/平米,上园村,3室1厅1厨1卫,低楼层 (共6层),68.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-19,私产,2006-11-07,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
海淀,西直门,54,149,2837,147999元/平米,长河湾,4室1厅1厨2卫,中楼层 (共6层),191.69㎡,暂无数据,167.12㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-02-22,商品房,2012-11-21,普通住宅,满两年,非共有,有抵押 300万元 民生银行 客户偿还,已上传房本照片,5,null
海淀,西直门,165,62,498,98419元/平米,玉桃园三区,1室1厅1厨1卫,高楼层 (共6层),50.6㎡,平层,40㎡,板楼,西,混合结构,简装,一梯三十二户,集中供暖,无,70年,null,null,null,2017-04-06,央产房,2002-05-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,西直门,143,112,525,75856元/平米,舒至嘉园,1室1厅1厨1卫,中楼层 (共19层),69.21㎡,暂无数据,55.02㎡,塔楼,北,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-05-25,私产,2004-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,西直门,41,22,618,102335元/平米,交大嘉园,1室1厅1厨1卫,中楼层 (共19层),60.39㎡,暂无数据,50.6㎡,塔楼,北,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2009-05-20,普通住宅,满五年,非共有,有抵押,已上传房本照片,5,null
海淀,西直门,196,87,430,82613元/平米,文慧园56号公寓,1室1厅1厨1卫,高楼层 (共19层),52.05㎡,暂无数据,38.38㎡,塔楼,南,钢混结构,精装,两梯十三户,集中供暖,有,70年,null,null,null,2017-05-31,商品房,2015-04-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
海淀,西直门,246,227,1671,104975元/平米,远洋风景,3室2厅1厨2卫,中楼层 (共14层),159.18㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-31,私产,2004-11-09,普通住宅,满五年,非共有,有抵押,已上传房本照片,0,null
海淀,西直门,12,24,650,95462元/平米,品阁公寓,1室1厅1厨1卫,高楼层 (共11层),68.09㎡,暂无数据,50.38㎡,板塔结合,南,钢混结构,简装,四梯二十八户,集中供暖,有,70年,null,null,null,2017-09-02,私产,2005-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
海淀,西直门,37,22,1094,100000元/平米,西晴公寓,3室1厅1厨1卫,中楼层 (共21层),109.4㎡,暂无数据,72.1㎡,板塔结合,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2010-04-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,西直门,127,132,765,88933元/平米,远洋风景,2室1厅1厨1卫,中楼层 (共13层),86.02㎡,暂无数据,暂无数据,板塔结合,东 西,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-05-26,私产,2003-12-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,西直门,91,153,470,79932元/平米,明光村小区,2室1厅1厨1卫,底层 (共18层),58.8㎡,平层,41.6㎡,塔楼,西北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-02-22,已购公房,2017-02-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,7,null
海淀,西直门,36,23,720,94044元/平米,铁道部宿舍,2室1厅1厨2卫,高楼层 (共13层),76.56㎡,暂无数据,51.81㎡,板塔结合,西南,钢混结构,简装,四梯二十二户,集中供暖,有,70年,null,null,null,2017-05-03,央产房,2001-10-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
