城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,颐和园,67,78,450,80185元/平米,北坞嘉园北里,1室1厅1厨1卫,底层 (共6层),56.12㎡,平层,45.91㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-07-04,二类经济适用房,2016-02-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,5,null
海淀,颐和园,10,4,440,80498元/平米,骚子营,2室1厅1厨1卫,高楼层 (共6层),54.66㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-06,私产,2005-08-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,颐和园,55,51,520,89194元/平米,燕北园,2室1厅1厨1卫,底层 (共6层),58.3㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-01,央产房,2005-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,颐和园,42,7,571,79972元/平米,邮局宿舍,3室1厅1厨1卫,中楼层 (共6层),71.4㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-14,已购公房,2000-02-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,颐和园,64,32,750,92365元/平米,燕北园,3室1厅1厨1卫,中楼层 (共6层),81.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-06,央产房,1998-11-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,颐和园,93,12,850,68698元/平米,骚子营,3室2厅1厨1卫,中楼层 (共6层),123.73㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-09,已购公房,2002-02-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,颐和园,94,16,620,84469元/平米,燕北园,3室1厅1厨1卫,低楼层 (共6层),73.4㎡,暂无数据,65㎡,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-14,央产房,2006-09-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,颐和园,14,5,1000,97352元/平米,中信所小区,2室2厅1厨1卫,顶层 (共4层),102.72㎡,暂无数据,67.79㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,已购公房,2000-10-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,颐和园,109,16,500,86806元/平米,燕北园,2室1厅1厨1卫,顶层 (共6层),57.6㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-17,央产房,2006-09-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,颐和园,77,42,528,88591元/平米,燕北园,2室1厅1厨1卫,中楼层 (共6层),59.6㎡,平层,59㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-01,央产房,2017-06-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2,null
海淀,颐和园,14,1,680,79374元/平米,邮局宿舍,2室2厅1厨1卫,低楼层 (共6层),85.67㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-24,已购公房,2008-09-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,颐和园,36,6,495,80619元/平米,骚子营,2室1厅1厨1卫,顶层 (共6层),61.4㎡,暂无数据,44㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-20,已购公房,1999-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,颐和园,51,87,500,77724元/平米,北坞嘉园北里,1室1厅1厨1卫,底层 (共6层),64.33㎡,暂无数据,53.14㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-06-07,二类经济适用房,2017-01-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,8,null
海淀,颐和园,44,8,755,92980元/平米,燕北园,3室1厅1厨1卫,中楼层 (共6层),81.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-06-15,央产房,1998-11-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
