城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,马连洼,169,30,420,72066元/平米,菊园,2室1厅1厨1卫,顶层 (共6层),58.28㎡,暂无数据,41㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-09,二类经济适用房,2009-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,马连洼,104,41,482,75549元/平米,梅园,2室1厅1厨1卫,高楼层 (共6层),63.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-19,商品房,2009-07-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
海淀,马连洼,84,25,460,65621元/平米,竹园,2室1厅1厨1卫,顶层 (共6层),70.1㎡,暂无数据,60㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-09,已购公房,2001-12-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,马连洼,145,29,415,68459元/平米,兰园,2室1厅1厨1卫,顶层 (共6层),60.62㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-18,商品房,2015-04-21,普通住宅,满两年,共有,有抵押 142万元 北京银行 客户偿还,已上传房本照片,15,null
海淀,马连洼,31,19,850,89795元/平米,百旺家苑,2室1厅1厨2卫,低楼层 (共9层),94.66㎡,暂无数据,78.93㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-10,私产,2005-06-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,马连洼,68,34,998,69859元/平米,圆明园花园别墅,4室2厅1厨2卫,低楼层 (共6层),142.86㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-06-02,私产,2004-10-20,普通住宅,满五年,共有,有抵押 40万元 中国建设银行 客户偿还,已上传房本照片,4,null
海淀,马连洼,42,53,1160,87179元/平米,紫成嘉园,3室2厅1厨2卫,底层 (共6层),133.06㎡,暂无数据,119.73㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-04-23,商品房,2012-02-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,null,
海淀,马连洼,140,90,535,74648元/平米,兰园,2室1厅1厨1卫,低楼层 (共6层),71.67㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-20,已购公房,2006-03-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,马连洼,67,24,460,70671元/平米,兰园,2室1厅1厨1卫,底层 (共6层),65.09㎡,暂无数据,65.09㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-13,商品房,2009-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,马连洼,191,55,858,67073元/平米,圆明园花园别墅,3室2厅1厨2卫,高楼层 (共6层),127.92㎡,暂无数据,113.42㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-05-30,商品房,2002-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,马连洼,85,68,510,72310元/平米,菊园,2室1厅1厨1卫,中楼层 (共6层),70.53㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-06,已购公房,1999-12-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,马连洼,73,10,358,73511元/平米,菊园,1室1厅1厨1卫,底层 (共6层),48.7㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,商品房,2015-08-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
海淀,马连洼,102,98,1180,84304元/平米,百旺家苑,3室2厅1厨2卫,中楼层 (共5层),139.97㎡,暂无数据,125.45㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-24,私产,2004-02-19,普通住宅,满五年,非共有,暂无数据,已上传房本照片,5,null
海淀,马连洼,68,36,620,77316元/平米,竹园,3室1厅1厨1卫,底层 (共6层),80.19㎡,暂无数据,69㎡,板楼,南 西 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-06,私产,2005-01-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,马连洼,1,11,1480,80518元/平米,天秀花园古月园,4室2厅1厨2卫,中楼层 (共7层),183.81㎡,平层,161㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-19,商品房,2011-08-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,马连洼,173,45,580,67844元/平米,兰园,3室1厅1厨1卫,顶层 (共6层),85.49㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-09,商品房,2011-04-28,普通住宅,满五年,非共有,有抵押 90万元 银行 客户偿还,已上传房本照片,2,null
海淀,马连洼,23,25,1200,75052元/平米,圆明园花园别墅,3室2厅1厨2卫,中楼层 (共4层),159.89㎡,暂无数据,145.04㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-29,商品房,2009-11-18,公寓,满五年,非共有,暂无数据,已上传房本照片,2,null
海淀,马连洼,93,43,1180,71724元/平米,百旺家苑,3室2厅1厨2卫,中楼层 (共5层),164.52㎡,平层,150.14㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-01-09,商品房,2004-04-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,马连洼,137,112,1180,88842元/平米,紫成嘉园,3室2厅1厨2卫,高楼层 (共6层),132.82㎡,平层,119.13㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-01-21,商品房,2007-01-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,马连洼,79,31,1600,83730元/平米,天秀花园古月园,4室2厅1厨2卫,高楼层 (共6层),191.09㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-06-06,商品房,2004-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,马连洼,43,29,635,80502元/平米,竹园,3室1厅1厨1卫,低楼层 (共6层),78.88㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-19,已购公房,2011-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,马连洼,5,3,670,73272元/平米,水利局小区,2室1厅1厨1卫,顶层 (共6层),91.44㎡,平层,85㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-04,商品房,2013-03-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
海淀,马连洼,100,40,735,69787元/平米,梅园甲,2室2厅1厨1卫,高楼层 (共6层),105.32㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-20,已购公房,2005-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,马连洼,28,6,700,82821元/平米,天秀花园安和园,2室2厅1厨1卫,顶层 (共6层),84.52㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-13,私产,2006-04-29,普通住宅,满五年,非共有,有抵押 60万元 工商银行 客户偿还,已上传房本照片,2,null
海淀,马连洼,47,8,580,70065元/平米,菊园,3室1厅1厨1卫,顶层 (共6层),82.78㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-12,商品房,2009-11-13,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
海淀,马连洼,26,6,2000,128766元/平米,万科西山庭院,3室1厅1厨2卫,底层 (共5层),155.32㎡,暂无数据,138.17㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-21,私产,2008-08-04,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
海淀,马连洼,24,3,430,70957元/平米,兰园,2室1厅1厨1卫,高楼层 (共6层),60.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,二类经济适用房,2010-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,马连洼,34,2,700,77220元/平米,天秀花园澄秀园,2室2厅1厨1卫,中楼层 (共6层),90.65㎡,暂无数据,80.58㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-08-28,私产,2008-06-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,马连洼,27,4,450,74038元/平米,兰园,2室1厅1厨1卫,中楼层 (共6层),60.78㎡,暂无数据,60.78㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-08,商品房,2005-04-11,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
海淀,马连洼,16,7,850,88754元/平米,天秀花园安和园,3室1厅1厨1卫,高楼层 (共6层),95.77㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-27,私产,2008-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,马连洼,90,50,1380,88365元/平米,博雅西园,3室2厅1厨2卫,中楼层 (共7层),156.17㎡,暂无数据,140.98㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-03,商品房,2009-05-06,普通住宅,满五年,非共有,有抵押 20万元 业主自还,已上传房本照片,2,距离16号线马连洼站765米
