城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,魏公村,83,55,1880,109787元/平米,航天五院小区,4室1厅1厨2卫,低楼层 (共24层),171.24㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,其他,三梯八户,自供暖,有,70年,null,null,null,2017-06-01,央产房,2017-05-03,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,10,距离4号线国家图书馆站976米
海淀,魏公村,27,39,750,107465元/平米,魏公村8号院,2室1厅1厨1卫,高楼层 (共16层),69.79㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-02,央产房,2002-10-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,魏公村,70,48,718,96765元/平米,民族大学附属中学家属楼,2室1厅1厨1卫,中楼层 (共12层),74.2㎡,暂无数据,51.63㎡,板塔结合,东,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-27,已购公房,2006-09-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,魏公村,41,24,900,97203元/平米,民族大学家属院,3室1厅1厨1卫,低楼层 (共14层),92.59㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,一梯五户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2016-06-27,普通住宅,暂无数据,非共有,有抵押 320万元 中国民生银行 客户偿还,已上传房本照片,0,null
海淀,魏公村,14,36,880,102756元/平米,魏公村8号院,2室1厅1厨1卫,低楼层 (共16层),85.64㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-02,央产房,2004-12-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,魏公村,20,3,500,99305元/平米,民族大学家属院,2室1厅1厨1卫,中楼层 (共5层),50.35㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,央产房,2005-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,魏公村,39,28,760,102426元/平米,韦伯豪家园,1室1厅1厨1卫,高楼层 (共22层),74.2㎡,暂无数据,55.6㎡,塔楼,东,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-07-04,商品房,2011-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,魏公村,58,15,760,98293元/平米,悦园,2室1厅1厨1卫,中楼层 (共11层),77.32㎡,暂无数据,61.75㎡,板塔结合,南 北,钢混结构,其他,一梯两户,自供暖,有,70年,null,null,null,2017-08-16,商品房,2009-09-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,魏公村,18,6,499,88632元/平米,三义庙南1号,2室1厅1厨1卫,底层 (共6层),56.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,2001-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,魏公村,34,2,670,95714元/平米,民族大学南路19号院,2室1厅1厨1卫,顶层 (共15层),70㎡,暂无数据,70㎡,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-24,已购公房,2005-07-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
