城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
石景山,八角,91,72,460,53889元/平米,八角南里,2室1厅1厨1卫,高楼层 (共20层),85.36㎡,暂无数据,55.13㎡,塔楼,东,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-26,已购公房,2010-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
石景山,八角,47,55,456,53850元/平米,八角南里,2室1厅1厨1卫,高楼层 (共20层),84.68㎡,暂无数据,52㎡,塔楼,南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-27,已购公房,2010-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
石景山,八角,46,51,598,58685元/平米,西引力,2室1厅1厨1卫,中楼层 (共18层),101.9㎡,平层,85.64㎡,板塔结合,南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-24,私产,2006-12-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
石景山,八角,79,108,560,64524元/平米,融景城,2室1厅1厨1卫,中楼层 (共16层),86.79㎡,暂无数据,70.13㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-30,商品房,2012-03-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
石景山,八角,18,188,310,65140元/平米,八角北路,2室1厅1厨1卫,底层 (共6层),47.59㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-19,已购公房,2006-02-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
石景山,八角,22,37,310,52180元/平米,八角中里,2室1厅1厨1卫,低楼层 (共6层),59.41㎡,暂无数据,41.42㎡,塔楼,南 北,混合结构,简装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-26,私产,2007-01-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,21,null
石景山,八角,2,16,509,58026元/平米,西引力,2室1厅1厨1卫,高楼层 (共18层),87.72㎡,暂无数据,73.72㎡,板塔结合,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-09,商品房,2012-02-14,普通住宅,满五年,共有,无抵押,已上传房本照片,5,null
石景山,八角,53,41,338,57827元/平米,八角中里,2室1厅1厨1卫,中楼层 (共6层),58.45㎡,暂无数据,40.95㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-23,已购公房,1998-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
石景山,八角,73,37,283,54739元/平米,八角北里,2室1厅1厨1卫,中楼层 (共6层),51.7㎡,暂无数据,35.89㎡,塔楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-25,私产,2003-07-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,22,null
石景山,八角,14,36,585,65834元/平米,融景城,2室1厅1厨1卫,底层 (共16层),88.86㎡,平层,71.8㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-03,商品房,2012-03-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
石景山,八角,81,64,260,58797元/平米,八角南里,1室1厅1厨1卫,中楼层 (共5层),44.22㎡,暂无数据,1㎡,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,2014-01-22,普通住宅,满两年,非共有,无抵押,已上传房本照片,35,null
石景山,八角,60,17,345,44118元/平米,石景嘉园,3室1厅1厨1卫,中楼层 (共21层),78.2㎡,暂无数据,61.2㎡,塔楼,东南,钢混结构,精装,一梯十二户,暂无数据,暂无数据,70年,null,null,null,2017-08-27,一类经济适用房,2012-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
石景山,八角,145,131,320,54201元/平米,八角南里,2室1厅1厨1卫,中楼层 (共6层),59.04㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,2006-04-19,普通住宅,满五年,非共有,暂无数据,已上传房本照片,27,null
石景山,八角,205,34,220,42627元/平米,石景嘉园,1室2厅1厨1卫,底层 (共21层),51.61㎡,暂无数据,40.39㎡,塔楼,西南,钢混结构,简装,一梯十二户,暂无数据,暂无数据,70年,null,null,null,2017-08-09,一类经济适用房,2012-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
石景山,八角,37,46,590,67839元/平米,融景城,2室1厅1厨1卫,高楼层 (共16层),86.97㎡,平层,70.27㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-08,商品房,2012-01-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
石景山,八角,9,8,570,65676元/平米,融景城,2室1厅1厨1卫,低楼层 (共16层),86.79㎡,暂无数据,70.13㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-01,商品房,2012-04-12,普通住宅,满五年,非共有,有抵押 1万元 公积金 业主自还,已上传房本照片,2,null
石景山,八角,24,7,305,59980元/平米,八角北路,2室1厅1厨1卫,底层 (共6层),50.85㎡,暂无数据,50㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-29,已购公房,2003-04-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
石景山,八角,105,52,326,56392元/平米,八角北里,2室1厅1厨1卫,高楼层 (共18层),57.81㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-04-13,已购公房,2002-08-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
石景山,八角,135,28,280,41335元/平米,石景嘉园,2室1厅1厨1卫,中楼层 (共21层),67.74㎡,暂无数据,52.74㎡,板楼,东南,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-26,一类经济适用房,2012-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
