城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
石景山,古城,106,39,300,54725元/平米,古城南路,2室1厅1厨1卫,底层 (共6层),54.82㎡,平层,38.06㎡,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,null,null,null,2017-04-19,已购公房,1996-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,距离1号线古城站226米
石景山,古城,51,36,300,55453元/平米,古城南路,2室1厅1厨1卫,中楼层 (共5层),54.1㎡,暂无数据,38.5㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-08,已购公房,1994-01-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
石景山,古城,13,21,430,55822元/平米,古城北路,3室1厅1厨1卫,低楼层 (共6层),77.03㎡,暂无数据,54.91㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,已购公房,2001-01-07,普通住宅,满五年,非共有,暂无数据,已上传房本照片,14,null
石景山,古城,25,15,980,72830元/平米,中海金石公馆,3室2厅1厨2卫,中楼层 (共18层),134.56㎡,暂无数据,109.04㎡,板楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,70年,null,null,null,2017-08-28,商品房,2015-08-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
石景山,古城,8,4,260,60578元/平米,古城西路,2室0厅1厨1卫,中楼层 (共5层),42.92㎡,平层,30.42㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-09-07,已购公房,2000-06-01,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
石景山,古城,189,80,300,45427元/平米,古城路小区,1室1厅1厨1卫,顶层 (共6层),66.04㎡,暂无数据,55.39㎡,板楼,东南,钢混结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-03-26,商品房,2013-09-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
石景山,古城,31,3,315,54593元/平米,古城北路,2室1厅1厨1卫,顶层 (共6层),57.7㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-01,已购公房,1996-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
石景山,古城,30,3,290,58221元/平米,古城南路,2室1厅1厨1卫,中楼层 (共6层),49.81㎡,暂无数据,35㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-04,已购公房,2008-11-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
石景山,古城,268,10,185,60280元/平米,古城路小区,1室1厅1厨1卫,顶层 (共5层),30.69㎡,暂无数据,20.9㎡,板楼,东,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-08,商品房,2012-11-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
石景山,古城,9,1,680,79347元/平米,中海金石公馆,2室1厅1厨1卫,高楼层 (共18层),85.7㎡,暂无数据,69.18㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2015-06-19,普通住宅,满两年,共有,无抵押,已上传房本照片,1,null
石景山,古城,33,46,265,59205元/平米,古城南里,1室1厅1厨1卫,低楼层 (共16层),44.76㎡,暂无数据,暂无数据,塔楼,北,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-06-24,已购公房,2014-03-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,8,null
石景山,古城,16,0,395,56949元/平米,古城南路,2室1厅1厨1卫,低楼层 (共6层),69.36㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-05,私产,2008-05-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,古城,255,20,230,47639元/平米,古城西路,2室1厅1厨1卫,顶层 (共5层),48.28㎡,暂无数据,39㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-20,商品房,2006-02-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
石景山,古城,105,86,350,56361元/平米,曦景长安,1室0厅1厨1卫,中楼层 (共16层),62.1㎡,平层,48.28㎡,板塔结合,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-02-22,私产,2008-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
石景山,古城,18,14,385,53997元/平米,古城南路,2室1厅1厨1卫,高楼层 (共9层),71.3㎡,暂无数据,暂无数据,板塔结合,东 西,钢混结构,其他,两梯十四户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2011-01-06,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
石景山,古城,11,2,1500,78452元/平米,中海金石公馆,4室2厅1厨3卫,高楼层 (共18层),191.2㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,70年,null,null,null,2017-09-05,商品房,2017-01-16,普通住宅,暂无数据,非共有,有抵押 300万元 中国工商银行 业主自还,已上传房本照片,2,null
石景山,古城,366,18,250,58248元/平米,古城西路,2室1厅1厨1卫,中楼层 (共5层),42.92㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-26,商品房,2000-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,古城,88,42,390,57353元/平米,宏鑫家园,1室1厅1厨1卫,中楼层 (共14层),68㎡,暂无数据,54㎡,板塔结合,南,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-06-11,私产,2007-09-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
石景山,古城,76,30,305,51765元/平米,古城南路,2室1厅1厨1卫,中楼层 (共6层),58.92㎡,暂无数据,41.85㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-06-16,已购公房,2004-02-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
石景山,古城,3,1,300,54348元/平米,古城北路,2室1厅1厨1卫,高楼层 (共6层),55.2㎡,平层,39.3㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-17,已购公房,1995-11-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
石景山,古城,102,3,285,56943元/平米,古城南路,2室1厅1厨1卫,中楼层 (共6层),50.05㎡,暂无数据,35㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-07-06,已购公房,1999-11-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
石景山,古城,249,95,290,49811元/平米,古城北路,2室1厅1厨1卫,高楼层 (共6层),58.22㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-15,已购公房,2002-09-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,古城,48,3,319,65760元/平米,古城路小区,2室1厅1厨1卫,底层 (共6层),48.51㎡,暂无数据,36.39㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-07,已购公房,2001-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,古城,60,11,275,54091元/平米,古城路小区,2室0厅1厨1卫,中楼层 (共4层),50.84㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-04-12,已购公房,2003-04-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,古城,14,1,370,51590元/平米,古城南路,2室1厅1厨1卫,中楼层 (共11层),71.72㎡,暂无数据,44.1㎡,板塔结合,东 西,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2013-03-20,普通住宅,满两年,非共有,暂无数据,已上传房本照片,0,null
石景山,古城,17,6,480,50073元/平米,古城路小区,3室1厅1厨1卫,顶层 (共6层),95.86㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-11,商品房,2012-04-24,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
石景山,古城,20,5,300,59642元/平米,古城特钢楼,2室1厅1厨1卫,底层 (共6层),50.3㎡,暂无数据,42.25㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-30,已购公房,2000-10-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,古城,32,2,240,59128元/平米,古城特钢楼,2室0厅1厨1卫,中楼层 (共5层),40.59㎡,平层,28.8㎡,板楼,东 西,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-06-13,已购公房,2000-10-17,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
石景山,古城,1,2,277,60826元/平米,古城南里,1室1厅1厨1卫,低楼层 (共16层),45.54㎡,暂无数据,40㎡,塔楼,南,钢混结构,其他,两梯九户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2013-04-08,普通住宅,满两年,非共有,暂无数据,已上传房本照片,1,null
石景山,古城,96,107,240,54857元/平米,古城南路,2室0厅1厨1卫,底层 (共5层),43.75㎡,暂无数据,暂无数据,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-07-02,已购公房,2017-07-02,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,12,null
石景山,古城,70,28,286,48393元/平米,古城南路,3室1厅1厨1卫,中楼层 (共5层),59.1㎡,暂无数据,41.96㎡,板楼,东南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-06-19,已购公房,2017-06-15,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,4,距离1号线古城站554米
石景山,古城,75,0,255,59413元/平米,古城西路,2室1厅1厨1卫,顶层 (共5层),42.92㎡,平层,1㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-23,已购公房,2011-12-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,古城,65,30,295,54843元/平米,古城北路,2室1厅1厨1卫,中楼层 (共5层),53.79㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-01-10,商品房,2013-03-17,普通住宅,满两年,共有,有抵押 60万元 公积金 业主自还,已上传房本照片,0,null
石景山,古城,87,15,208,57316元/平米,古城北路,1室1厅1厨1卫,中楼层 (共5层),36.29㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-29,商品房,2017-08-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,5,null
