城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
石景山,石景山其它,147,97,255,43642元/平米,高井,2室1厅1厨1卫,底层 (共6层),58.43㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-03-11,已购公房,2009-03-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
石景山,石景山其它,5,1,620,43121元/平米,西山峻景,4室3厅1厨2卫,顶层 (共6层),143.78㎡,暂无数据,129.37㎡,板楼,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-17,商品房,2014-11-18,普通住宅,满两年,共有,无抵押,已上传房本照片,0,null
石景山,石景山其它,28,5,520,40492元/平米,西山峻景,4室3厅1厨2卫,顶层 (共6层),128.42㎡,暂无数据,117.07㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-06-14,商品房,2009-09-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,石景山其它,63,10,310,40145元/平米,高井,2室1厅1厨1卫,高楼层 (共6层),77.22㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-31,已购公房,2004-05-25,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
石景山,石景山其它,25,6,530,38042元/平米,西山峻景,4室2厅1厨2卫,顶层 (共6层),139.32㎡,跃层,127.01㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-03-04,私产,2008-12-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,石景山其它,5,0,350,41622元/平米,西山峻景,2室2厅1厨1卫,高楼层 (共6层),84.09㎡,暂无数据,75.75㎡,板楼,东 西,钢混结构,简装,一梯三户,暂无数据,暂无数据,40年,null,null,null,2017-09-08,私产,2007-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,石景山其它,19,0,280,45812元/平米,燕山水泥厂,2室1厅1厨1卫,中楼层 (共6层),61.12㎡,平层,42.93㎡,板楼,南,混合结构,其他,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-09-01,已购公房,2010-09-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,石景山其它,33,0,310,42017元/平米,西山峻景,1室1厅1厨1卫,高楼层 (共6层),73.78㎡,暂无数据,66.67㎡,板楼,南,钢混结构,简装,一梯三户,暂无数据,暂无数据,40年,null,null,null,2017-07-29,私产,2007-09-29,普通住宅,满五年,非共有,有抵押 39万元 交通银行 业主自还,已上传房本照片,0,null
石景山,石景山其它,8,0,420,46964元/平米,西山峻景,2室1厅1厨1卫,高楼层 (共6层),89.43㎡,平层,80.47㎡,板楼,南 北,钢混结构,其他,一梯三户,暂无数据,暂无数据,40年,null,null,null,2017-09-02,商品房,2011-07-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
石景山,石景山其它,142,29,580,46714元/平米,西山峻景,3室2厅1厨2卫,低楼层 (共6层),124.16㎡,暂无数据,112.42㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,暂无数据,未知,null,null,null,2017-03-05,商品房,2014-09-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
