城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
石景山,老山,111,224,430,57227元/平米,老山东里,3室1厅1厨1卫,中楼层 (共6层),75.14㎡,暂无数据,58.99㎡,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-05-16,已购公房,2004-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,距离1号线八宝山站1052米
石景山,老山,83,100,345,55342元/平米,老山西里,2室1厅1厨1卫,中楼层 (共16层),62.34㎡,平层,41.89㎡,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-07,已购公房,2010-08-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
石景山,老山,25,101,315,67293元/平米,老山西里,2室1厅1厨1卫,底层 (共6层),46.81㎡,暂无数据,35.38㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,商品房,2012-07-12,普通住宅,满五年,共有,无抵押,已上传房本照片,34,null
石景山,老山,61,113,315,62812元/平米,老山西里,2室1厅1厨1卫,中楼层 (共6层),50.15㎡,平层,1㎡,板楼,东 南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-17,私产,2007-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
石景山,老山,32,67,308,61294元/平米,老山东里,2室1厅1厨1卫,低楼层 (共6层),50.25㎡,平层,50㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-16,已购公房,2017-04-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,40,null
石景山,老山,161,134,380,60346元/平米,老山东里,2室1厅1厨1卫,中楼层 (共16层),62.97㎡,平层,50㎡,塔楼,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-10,已购公房,1998-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
石景山,老山,18,6,305,65366元/平米,老山西里,2室1厅1厨1卫,底层 (共6层),46.66㎡,平层,35㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,已购公房,2000-10-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,老山,21,13,355,59604元/平米,老山东里,2室1厅1厨1卫,顶层 (共6层),59.56㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-13,商品房,2004-09-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
石景山,老山,32,12,378,60029元/平米,老山东里,2室1厅1厨1卫,低楼层 (共16层),62.97㎡,暂无数据,41.91㎡,塔楼,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-14,商品房,2011-12-01,普通住宅,满五年,非共有,有抵押 70万元 交通银行 客户偿还,已上传房本照片,3,null
石景山,老山,13,0,390,63394元/平米,老山西里,3室1厅1厨1卫,顶层 (共6层),61.52㎡,平层,43.99㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,1998-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,老山,31,78,358,59370元/平米,老山东里,2室1厅1厨1卫,中楼层 (共16层),60.3㎡,平层,40.81㎡,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-27,商品房,2011-04-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,老山,23,8,390,66417元/平米,老山西里,3室1厅1厨1卫,底层 (共6层),58.72㎡,暂无数据,44.05㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,2005-01-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,老山,8,7,475,66807元/平米,老山东里,2室1厅1厨1卫,中楼层 (共6层),71.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-22,已购公房,2011-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
石景山,老山,42,24,363,58229元/平米,老山西里,3室1厅1厨1卫,顶层 (共6层),62.34㎡,平层,44.44㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-28,已购公房,1996-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,老山,47,16,330,65803元/平米,老山东里,2室1厅1厨1卫,低楼层 (共6层),50.15㎡,暂无数据,35.38㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-18,已购公房,1998-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
石景山,老山,11,1,360,61570元/平米,老山东里,2室1厅1厨1卫,低楼层 (共16层),58.47㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-17,商品房,2010-09-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
