城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
石景山,苹果园,62,49,670,54520元/平米,西山枫林三期,3室2厅1厨2卫,低楼层 (共10层),122.89㎡,暂无数据,104.97㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-25,一类经济适用房,2007-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
石景山,苹果园,50,29,499,45484元/平米,海特花园小区,2室1厅1厨1卫,中楼层 (共7层),109.71㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-11,已购公房,2007-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
石景山,苹果园,115,32,255,42692元/平米,模式口西里,2室1厅1厨1卫,顶层 (共7层),59.73㎡,暂无数据,40.33㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,1998-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
石景山,苹果园,46,15,328,47633元/平米,苹果园小区三区,2室2厅1厨1卫,底层 (共6层),68.86㎡,暂无数据,46.89㎡,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2014-09-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,14,null
石景山,苹果园,54,22,290,51657元/平米,苹果园小区一区,2室0厅1厨1卫,底层 (共14层),56.14㎡,暂无数据,37㎡,板塔结合,东 西,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,2008-01-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
石景山,苹果园,56,30,265,49821元/平米,科研楼,2室1厅1厨1卫,中楼层 (共5层),53.19㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯一户,集中供暖,暂无数据,70年,null,null,null,2017-08-24,已购公房,2000-07-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
石景山,苹果园,31,32,318,50237元/平米,金顶街四区,1室2厅1厨1卫,中楼层 (共6层),63.3㎡,暂无数据,42.61㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,已购公房,2001-08-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
石景山,苹果园,13,52,620,62538元/平米,雍景四季,2室1厅1厨1卫,低楼层 (共20层),99.14㎡,平层,79.64㎡,塔楼,东北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2011-08-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
石景山,苹果园,27,26,460,51808元/平米,金顶街三区,2室1厅1厨1卫,高楼层 (共24层),88.79㎡,暂无数据,67.97㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-06-20,已购公房,2006-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
石景山,苹果园,43,33,266,44564元/平米,模式口东里,2室1厅1厨1卫,中楼层 (共6层),59.69㎡,暂无数据,59.69㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-27,已购公房,2001-12-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,22,null
