城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
石景山,鲁谷,39,31,470,75941元/平米,远洋山水,1室1厅1厨1卫,中楼层 (共25层),61.89㎡,暂无数据,47.62㎡,塔楼,西,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-20,私产,2007-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
石景山,鲁谷,27,13,320,51646元/平米,永乐东区,2室1厅1厨1卫,中楼层 (共6层),61.96㎡,暂无数据,49㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-06,已购公房,1998-10-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
石景山,鲁谷,80,42,330,52783元/平米,永乐西区,2室1厅1厨1卫,顶层 (共6层),62.52㎡,暂无数据,62.52㎡,板楼,东 南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-17,已购公房,1994-10-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
石景山,鲁谷,89,60,645,69602元/平米,远洋山水,2室1厅1厨1卫,低楼层 (共26层),92.67㎡,暂无数据,75.28㎡,板塔结合,西,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-13,私产,2006-06-22,普通住宅,满五年,非共有,有抵押 2.5万元 中国银行 业主自还,已上传房本照片,16,null
石景山,鲁谷,55,86,820,91682元/平米,远洋沁山水,2室1厅1厨1卫,低楼层 (共21层),89.44㎡,平层,70.77㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-03-30,商品房,2010-12-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
石景山,鲁谷,51,43,1338,89319元/平米,远洋山水,3室1厅1厨2卫,低楼层 (共20层),149.8㎡,平层,121.07㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-26,商品房,2009-02-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
石景山,鲁谷,42,16,603,67852元/平米,京汉旭城,2室1厅1厨1卫,低楼层 (共17层),88.87㎡,暂无数据,73.47㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-28,私产,2007-12-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
石景山,鲁谷,151,102,710,73000元/平米,远洋山水,2室1厅1厨1卫,低楼层 (共26层),97.26㎡,平层,78.24㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-06,商品房,2009-03-22,普通住宅,满五年,非共有,有抵押 30万元 招商银行 业主自还,已上传房本照片,3,null
石景山,鲁谷,187,73,370,59219元/平米,玉泉路甲65号院,2室1厅1厨1卫,顶层 (共6层),62.48㎡,暂无数据,42.41㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-26,已购公房,2001-07-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
石景山,鲁谷,51,25,377,61381元/平米,七星园,2室1厅1厨1卫,顶层 (共6层),61.42㎡,平层,61.42㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-08,商品房,2009-05-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
石景山,鲁谷,60,66,795,75363元/平米,远洋山水,2室1厅1厨1卫,低楼层 (共21层),105.49㎡,暂无数据,80.51㎡,板塔结合,东南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-12,私产,2008-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
石景山,鲁谷,26,3,989,89131元/平米,远洋沁山水,2室2厅1厨1卫,中楼层 (共23层),110.96㎡,暂无数据,89.95㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-01,商品房,2012-03-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
