城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,六铺炕,26,33,1049,144451元/平米,盛晖嘉园,2室1厅1厨1卫,低楼层 (共15层),72.62㎡,暂无数据,56.32㎡,板塔结合,东南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2010-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,六铺炕,52,39,680,130619元/平米,教场口6号院,1室1厅1厨1卫,顶层 (共6层),52.06㎡,暂无数据,37.96㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-08-04,商品房,2005-09-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,六铺炕,28,56,715,139922元/平米,五路通北街3号院,2室1厅1厨1卫,顶层 (共5层),51.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-07-23,已购公房,2003-08-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
西城,六铺炕,16,17,700,134100元/平米,德外大街乙12号院,2室1厅1厨1卫,底层 (共5层),52.2㎡,暂无数据,37.48㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-27,已购公房,2000-02-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
西城,六铺炕,25,27,827,139932元/平米,黄寺大街24号院,2室2厅1厨1卫,底层 (共6层),59.1㎡,平层,40.92㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,2004-10-16,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
西城,六铺炕,13,11,720,133087元/平米,大石桥胡同29号院,2室1厅1厨1卫,顶层 (共6层),54.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-15,已购公房,1999-07-27,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
西城,六铺炕,27,8,1050,119048元/平米,黄寺大街24号院,2室1厅1厨1卫,低楼层 (共18层),88.2㎡,暂无数据,68㎡,塔楼,西,混合结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-15,商品房,2012-08-13,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
西城,六铺炕,50,40,855,130934元/平米,后马厂胡同,3室1厅1厨1卫,底层 (共6层),65.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-05,已购公房,2000-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,null,
西城,六铺炕,56,35,930,119691元/平米,大井胡同,3室1厅1厨1卫,高楼层 (共6层),77.7㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-16,已购公房,2012-11-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,六铺炕,172,65,1530,139982元/平米,安德路,3室1厅1厨2卫,低楼层 (共12层),109.3㎡,暂无数据,75.68㎡,板楼,南 北,混合结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-21,已购公房,2016-03-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,4,null
西城,六铺炕,18,7,770,140768元/平米,黄寺大街24号院,2室1厅1厨1卫,低楼层 (共6层),54.7㎡,暂无数据,37.87㎡,板楼,东 西,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,2007-10-20,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
西城,六铺炕,63,18,705,148734元/平米,六铺炕一区,2室1厅1厨1卫,中楼层 (共5层),47.4㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,商品房,2009-08-27,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
西城,六铺炕,94,37,1050,123254元/平米,教场口9号院,3室1厅1厨1卫,高楼层 (共21层),85.19㎡,平层,1㎡,塔楼,东南,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-07-26,二类经济适用房,2005-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,六铺炕,120,25,800,141093元/平米,大石桥胡同10号院,3室1厅1厨1卫,低楼层 (共6层),56.7㎡,暂无数据,40.42㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-17,已购公房,2001-02-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,六铺炕,3,1,1260,139073元/平米,大井胡同,3室1厅1厨1卫,高楼层 (共6层),90.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,已购公房,2007-07-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,六铺炕,54,33,1130,133208元/平米,教场口9号院,3室1厅1厨1卫,中楼层 (共21层),84.83㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-05-12,商品房,2005-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,六铺炕,18,29,605,125780元/平米,安德路,1室1厅1厨1卫,底层 (共6层),48.1㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-11,商品房,2012-07-23,普通住宅,满五年,非共有,有抵押 59万元 中国工商银行 客户偿还,已上传房本照片,4,null
西城,六铺炕,25,32,658,149886元/平米,小石桥胡同3号院,1室1厅1厨1卫,高楼层 (共6层),43.9㎡,暂无数据,暂无数据,板楼,东 西,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-15,商品房,2009-06-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
西城,六铺炕,26,19,909,143602元/平米,黄寺大街24号院,2室1厅1厨1卫,高楼层 (共6层),63.3㎡,暂无数据,58.1㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-22,已购公房,2004-10-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,六铺炕,29,81,850,137318元/平米,六铺炕一区6号院,2室1厅1厨1卫,中楼层 (共7层),61.9㎡,暂无数据,42.53㎡,板楼,东,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-18,私产,2006-11-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
