城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,右安门内,111,132,568,90316元/平米,右安门内西街甲10号院,2室1厅1厨1卫,低楼层 (共6层),62.89㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-06,已购公房,2013-05-22,普通住宅,满两年,共有,无抵押,已上传房本照片,0,null
西城,右安门内,176,70,1550,102908元/平米,远雄大观,3室2厅1厨2卫,低楼层 (共6层),150.62㎡,暂无数据,122.38㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-12,商品房,2011-05-03,普通住宅,满五年,非共有,暂无数据,已上传房本照片,9,null
西城,右安门内,132,65,1984,102194元/平米,清芷园,4室2厅1厨2卫,中楼层 (共13层),194.14㎡,暂无数据,157.48㎡,板楼,南 西 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2016-04-03,私产,2004-12-09,普通住宅,满五年,共有,有抵押 450万元 客户偿还,已上传房本照片,4,null
西城,右安门内,161,67,438,94990元/平米,新安中里,2室1厅1厨1卫,底层 (共6层),46.11㎡,平层,暂无数据,板楼,东北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-16,商品房,2007-02-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
西城,右安门内,16,14,820,84904元/平米,白纸坊西街,2室1厅1厨1卫,低楼层 (共12层),96.58㎡,平层,暂无数据,板塔结合,西 北,钢混结构,精装,一梯五户,集中供暖,有,70年,null,null,null,2017-08-03,商品房,2014-11-25,普通住宅,满两年,非共有,有抵押 370万元,已上传房本照片,10,null
西城,右安门内,264,131,800,106553元/平米,清芷园,2室1厅1厨1卫,底层 (共18层),75.08㎡,暂无数据,59.4㎡,板塔结合,西北,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-03-02,商品房,2014-03-18,普通住宅,满两年,非共有,有抵押 140万元 大华银行 客户偿还,已上传房本照片,9,null
西城,右安门内,32,34,410,98843元/平米,右安门西街,2室1厅1厨1卫,顶层 (共5层),41.48㎡,暂无数据,31.31㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-14,已购公房,2017-06-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,7,null
西城,右安门内,25,9,469,106688元/平米,信建里小区,1室1厅1厨1卫,中楼层 (共6层),43.96㎡,暂无数据,29.89㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2015-11-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,9,null
西城,右安门内,12,21,829,100790元/平米,信建里小区,2室1厅1厨1卫,中楼层 (共6层),82.25㎡,暂无数据,57.41㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-23,已购公房,2006-01-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
西城,右安门内,164,68,530,95033元/平米,右安门内西街甲10号院,2室1厅1厨1卫,低楼层 (共6层),55.77㎡,平层,43.97㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-08,已购公房,1997-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,右安门内,41,30,705,84644元/平米,白纸坊西街,2室1厅1厨1卫,中楼层 (共18层),83.29㎡,暂无数据,65.64㎡,塔楼,东,钢混结构,其他,三梯十二户,集中供暖,有,70年,null,null,null,2017-07-26,二类经济适用房,2011-07-19,普通住宅,满五年,非共有,有抵押 540万元 担保公司 业主自还,已上传房本照片,3,null
西城,右安门内,48,12,510,88327元/平米,右安胡同乙7号院,2室1厅1厨1卫,顶层 (共6层),57.74㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,暂无数据,暂无数据,40年,null,null,null,2017-08-28,商品房,2010-12-07,普通住宅,满五年,非共有,有抵押 85万元 交通银行 客户偿还,已上传房本照片,2,null
