城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,天宁寺,46,50,520,89240元/平米,天宁寺西里,2室1厅1厨1卫,低楼层 (共6层),58.27㎡,暂无数据,44.46㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-14,央产房,1998-05-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,天宁寺,254,84,699,72413元/平米,广安门外南街,3室1厅1厨1卫,中楼层 (共12层),96.53㎡,暂无数据,61.54㎡,板塔结合,东 西 北,钢混结构,简装,两梯十一户,集中供暖,有,70年,null,null,null,2017-06-03,已购公房,2014-06-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,天宁寺,136,39,430,82820元/平米,广安门外南街,2室1厅1厨1卫,顶层 (共6层),51.92㎡,暂无数据,39.7㎡,板楼,西南,混合结构,简装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-14,已购公房,2011-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
西城,天宁寺,11,8,540,99539元/平米,白菜湾四巷17号院,2室1厅1厨1卫,中楼层 (共6层),54.25㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,已购公房,2000-10-30,普通住宅,满五年,非共有,暂无数据,已上传房本照片,8,null
西城,天宁寺,207,37,465,80884元/平米,南滨河路,2室1厅1厨1卫,中楼层 (共6层),57.49㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-07-27,商品房,2016-08-09,普通住宅,暂无数据,非共有,有抵押 210万元 兴业银行股份有限公司北京分行 客户偿还,已上传房本照片,8,null
西城,天宁寺,51,46,550,95536元/平米,车站东街15号院,2室1厅1厨1卫,底层 (共6层),57.57㎡,暂无数据,44.34㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-18,已购公房,2008-09-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
西城,天宁寺,30,50,515,88382元/平米,天宁寺西里,2室1厅1厨1卫,高楼层 (共6层),58.27㎡,暂无数据,44046㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-13,央产房,1998-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
西城,天宁寺,35,49,640,90014元/平米,车站东街甲5号院,3室1厅1厨1卫,顶层 (共6层),71.1㎡,暂无数据,50.05㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-03-21,已购公房,2002-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,天宁寺,59,72,1100,62429元/平米,立恒名苑,3室1厅1厨2卫,高楼层 (共25层),176.2㎡,平层,144.03㎡,塔楼,南 西,钢混结构,简装,三梯六户,自供暖,有,70年,null,null,null,2017-06-18,商品房,2011-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
西城,天宁寺,74,12,868,89053元/平米,天宁寺前街南里,3室1厅1厨1卫,高楼层 (共6层),97.47㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-02,商品房,2014-01-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
西城,天宁寺,44,23,750,99787元/平米,天宁寺前街北里,3室1厅1厨1卫,底层 (共5层),75.16㎡,暂无数据,57.37㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-14,商品房,2012-11-06,普通住宅,满两年,非共有,有抵押 70万元 建行 业主自还,已上传房本照片,8,null
西城,天宁寺,387,198,520,89240元/平米,天宁寺西里,2室1厅1厨1卫,顶层 (共6层),58.27㎡,暂无数据,44.46㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-31,央产房,1998-05-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,天宁寺,55,29,615,94456元/平米,天宁寺前街北里,2室1厅1厨1卫,中楼层 (共6层),65.11㎡,暂无数据,49.8㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-11,央产房,2001-03-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
