城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,官园,179,64,923,109881元/平米,冠英园小区,3室1厅1厨1卫,高楼层 (共6层),84㎡,暂无数据,1㎡,板楼,东 南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,2001-08-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,26,距离2号线西直门站584米
西城,官园,137,105,640,107383元/平米,北礼士路,2室1厅1厨1卫,中楼层 (共12层),59.6㎡,平层,41.84㎡,板塔结合,东,钢混结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-08-15,央产房,2015-04-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,43,null
西城,官园,60,44,495,107375元/平米,小后仓,1室1厅1厨1卫,低楼层 (共9层),46.1㎡,暂无数据,29.98㎡,板楼,西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-24,商品房,2014-11-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,9,null
西城,官园,143,23,845,104064元/平米,北礼士路,3室1厅1厨1卫,高楼层 (共12层),81.2㎡,暂无数据,62.7㎡,板楼,东 西,混合结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-05-20,已购公房,2001-02-19,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
西城,官园,233,49,590,109462元/平米,冠英园小区,1室1厅1厨1卫,中楼层 (共10层),53.9㎡,平层,35.54㎡,板塔结合,东,混合结构,简装,四梯三十四户,集中供暖,有,70年,null,null,null,2017-06-04,商品房,2012-03-16,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
西城,官园,175,98,828,106564元/平米,北礼士路,3室1厅1厨1卫,中楼层 (共16层),77.7㎡,平层,55.34㎡,板楼,东 西,混合结构,简装,两梯十四户,集中供暖,有,70年,null,null,null,2017-04-25,央产房,2016-08-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,4,null
西城,官园,215,100,740,101788元/平米,前半壁街,3室1厅1厨1卫,高楼层 (共6层),72.7㎡,暂无数据,50.98㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-27,商品房,2015-10-12,普通住宅,暂无数据,非共有,有抵押 100万元 客户偿还,已上传房本照片,0,null
西城,官园,126,16,1085,54976元/平米,国英一号,3室2厅1厨1卫,高楼层 (共14层),197.36㎡,暂无数据,152.27㎡,板塔结合,东南,钢混结构,精装,五梯三十五户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2011-05-11,普通住宅,满五年,非共有,有抵押 1100万元 担保公司 公司垫资,已上传房本照片,3,null
西城,官园,93,56,665,101994元/平米,北礼士路,2室1厅1厨1卫,中楼层 (共13层),65.2㎡,暂无数据,46㎡,板楼,东 西,钢混结构,简装,一梯七户,集中供暖,有,70年,null,null,null,2017-08-10,已购公房,2016-03-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,16,null
西城,官园,118,106,485,105664元/平米,北礼士路,1室1厅1厨1卫,低楼层 (共14层),45.9㎡,平层,暂无数据,板塔结合,西,混合结构,毛坯,两梯十五户,集中供暖,有,70年,null,null,null,2017-04-19,央产房,2016-06-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,7,null
西城,官园,72,29,1900,97087元/平米,官园公寓,5室2厅1厨2卫,顶层 (共4层),195.7㎡,暂无数据,142.03㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2005-03-24,普通住宅,满五年,非共有,暂无数据,已上传房本照片,3,null
西城,官园,117,45,810,100000元/平米,西直门南大街,3室1厅1厨1卫,中楼层 (共14层),81㎡,平层,暂无数据,板塔结合,东 西 北,混合结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-15,已购公房,2017-03-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1,null
西城,官园,20,3,535,127990元/平米,西直门南小街,1室1厅1厨1卫,低楼层 (共16层),41.8㎡,暂无数据,28.26㎡,塔楼,西,钢混结构,其他,两梯十户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2013-01-18,普通住宅,满两年,非共有,暂无数据,已上传房本照片,2,null
