城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,宣武门,98,19,824,104901元/平米,椿树园,2室1厅1厨1卫,中楼层 (共18层),78.55㎡,暂无数据,55.35㎡,塔楼,东,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-07-09,已购公房,2002-03-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,距离2号线宣武门站544米
西城,宣武门,57,149,950,108053元/平米,椿树园,2室1厅1厨1卫,低楼层 (共17层),87.92㎡,平层,暂无数据,塔楼,东北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-28,央产房,2001-11-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,23,null
西城,宣武门,64,15,610,99365元/平米,宣武门外西里,2室1厅1厨1卫,底层 (共6层),61.39㎡,暂无数据,44.32㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-16,已购公房,2001-08-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,宣武门,91,33,2495,149913元/平米,庄胜二期,4室2厅1厨2卫,底层 (共12层),166.43㎡,暂无数据,127.22㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-06-07,商品房,2009-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,宣武门,34,43,1582,139605元/平米,富卓花园,2室1厅1厨1卫,低楼层 (共21层),113.32㎡,暂无数据,92.45㎡,塔楼,东,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-02,私产,2007-04-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,宣武门,25,2,731,144810元/平米,庄胜二期,1室1厅1厨1卫,中楼层 (共12层),50.48㎡,暂无数据,38.59㎡,板塔结合,北,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2010-02-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,宣武门,53,60,1130,139180元/平米,庄胜二期,2室1厅1厨1卫,中楼层 (共12层),81.19㎡,平层,62.35㎡,板塔结合,东 西北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-29,商品房,2014-03-17,普通住宅,满两年,共有,有抵押 167万元 大华银行中国有限公司北京东城支行 客户偿还,已上传房本照片,7,null
西城,宣武门,12,7,1290,111834元/平米,椿树园,3室2厅1厨1卫,顶层 (共14层),115.35㎡,暂无数据,93.56㎡,板塔结合,东 西,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2009-07-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,宣武门,50,20,1250,138596元/平米,庄胜二期,2室1厅1厨1卫,高楼层 (共12层),90.19㎡,暂无数据,69.59㎡,板塔结合,西南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-26,商品房,2008-10-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,宣武门,28,10,1010,120152元/平米,椿树园,2室1厅1厨1卫,中楼层 (共18层),84.06㎡,暂无数据,56.76㎡,塔楼,南 西 北,钢混结构,精装,两梯十四户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2013-06-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
西城,宣武门,72,134,1443,134935元/平米,庄胜二期,2室1厅1厨2卫,顶层 (共12层),106.94㎡,暂无数据,82.52㎡,板塔结合,东,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-23,商品房,2016-04-21,普通住宅,暂无数据,共有,有抵押 305万元,已上传房本照片,12,null
西城,宣武门,196,22,1298,144898元/平米,庄胜二期,2室2厅1厨1卫,中楼层 (共12层),89.58㎡,平层,69.12㎡,板塔结合,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-02-20,商品房,2011-02-16,普通住宅,满五年,共有,有抵押 业主自还,已上传房本照片,0,null
西城,宣武门,17,15,1490,142666元/平米,庄胜二期,2室1厅1厨2卫,中楼层 (共12层),104.44㎡,平层,81.04㎡,板塔结合,西北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-21,商品房,2009-04-11,普通住宅,满五年,共有,有抵押 54万元 中国民生银行股份有限公司北京广安门支行 业主自还,已上传房本照片,1,null
西城,宣武门,0,7,750,136712元/平米,庄胜二期,1室1厅1厨1卫,中楼层 (共10层),54.86㎡,暂无数据,42.34㎡,板塔结合,北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-09-08,商品房,2010-09-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
