城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,德胜门,13,22,820,137353元/平米,新德街20号,2室1厅1厨1卫,高楼层 (共19层),59.7㎡,暂无数据,1㎡,塔楼,南,混合结构,精装,一梯六户,集中供暖,暂无数据,70年,null,null,null,2017-08-27,已购公房,2007-03-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
西城,德胜门,55,41,850,128399元/平米,德胜里西街3号院,3室0厅1厨1卫,低楼层 (共6层),66.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-31,已购公房,2001-06-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
西城,德胜门,107,46,970,126302元/平米,德胜里一区,3室1厅1厨1卫,底层 (共5层),76.8㎡,暂无数据,55.3㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-31,已购公房,2000-05-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,德胜门,87,102,770,136767元/平米,德胜里一区,3室1厅1厨1卫,顶层 (共5层),56.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-02-28,商品房,2015-05-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
西城,德胜门,3,6,820,148551元/平米,新外大街28号院,2室1厅1厨1卫,中楼层 (共6层),55.2㎡,暂无数据,38.39㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,2009-10-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,德胜门,11,3,750,129088元/平米,新街口东街,2室1厅1厨1卫,顶层 (共6层),58.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-08,央产房,2001-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,德胜门,134,189,910,127273元/平米,德胜里一区,3室1厅1厨1卫,底层 (共6层),71.5㎡,暂无数据,50.82㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-11,已购公房,1997-09-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
西城,德胜门,166,58,2900,124806元/平米,观河锦苑,5室2厅1厨3卫,顶层 (共7层),232.36㎡,暂无数据,198.48㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-01,商品房,2011-06-27,普通住宅,满五年,非共有,有抵押 1000万元 业主自还,已上传房本照片,7,null
西城,德胜门,34,76,700,144928元/平米,德胜里一区,1室1厅1厨1卫,顶层 (共18层),48.3㎡,暂无数据,48.3㎡,塔楼,东,混合结构,精装,一梯七户,集中供暖,有,70年,null,null,null,2017-08-07,私产,2007-10-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
西城,德胜门,66,51,1470,131839元/平米,新德街35号院,3室1厅1厨1卫,高楼层 (共10层),111.5㎡,暂无数据,暂无数据,板塔结合,西南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-17,已购公房,2002-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
西城,德胜门,224,62,2160,138284元/平米,新外大街28号院,3室2厅1厨2卫,中楼层 (共8层),156.2㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-15,已购公房,2001-06-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,德胜门,49,25,1100,132371元/平米,新外大街28号院,3室1厅1厨1卫,中楼层 (共6层),83.1㎡,暂无数据,57.83㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-05,已购公房,2000-06-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
西城,德胜门,114,104,1174,144938元/平米,新外大街28号院,2室1厅1厨1卫,中楼层 (共8层),81㎡,平层,暂无数据,板塔结合,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2016-10-14,已购公房,2000-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,德胜门,63,62,950,135908元/平米,新外大街28号院,3室1厅1厨1卫,低楼层 (共6层),69.9㎡,暂无数据,49.45㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-06,商品房,2010-09-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
西城,德胜门,115,25,1150,134660元/平米,新德街35号院,2室2厅1厨1卫,低楼层 (共10层),85.4㎡,平层,暂无数据,板塔结合,西北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2016-09-16,已购公房,2002-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,德胜门,106,47,1100,131108元/平米,新外大街28号院,2室1厅1厨1卫,中楼层 (共8层),83.9㎡,暂无数据,60.86㎡,板塔结合,西,混合结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-03-12,已购公房,2001-06-15,普通住宅,满五年,非共有,有抵押 500万元 包商银行 客户偿还,已上传房本照片,5,null
西城,德胜门,37,2,830,133871元/平米,冰窖口胡同73号院,2室1厅1厨1卫,顶层 (共6层),62㎡,暂无数据,60㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-14,已购公房,2003-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,德胜门,68,13,2023,148032元/平米,德胜佳苑,3室1厅1厨2卫,中楼层 (共7层),136.66㎡,平层,109.84㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-05-28,商品房,2011-03-17,普通住宅,满五年,共有,有抵押 500万元 民生银行 客户偿还,已上传房本照片,0,null
西城,德胜门,214,9,750,114329元/平米,新德街35号院,3室1厅1厨1卫,底层 (共7层),65.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-15,私产,2006-07-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,德胜门,17,20,970,143704元/平米,新外大街28号院,2室1厅1厨1卫,中楼层 (共6层),67.5㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-03-02,商品房,2009-05-15,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
西城,德胜门,217,64,750,138889元/平米,新德街35号院,2室1厅1厨1卫,底层 (共7层),54㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2016-12-05,已购公房,2002-08-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,德胜门,78,21,920,134111元/平米,新德街35号院,3室1厅1厨1卫,顶层 (共7层),68.6㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-01-04,已购公房,2008-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,德胜门,52,14,1160,134259元/平米,新德街35号院,1室1厅1厨1卫,顶层 (共5层),86.4㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-22,已购公房,2002-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,德胜门,48,9,1200,139697元/平米,新德街35号院,4室1厅1厨1卫,顶层 (共5层),85.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-19,已购公房,2002-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,德胜门,6,1,1200,143027元/平米,新外大街28号院,2室1厅1厨1卫,中楼层 (共8层),83.9㎡,暂无数据,暂无数据,板塔结合,东,混合结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-06-21,已购公房,2001-06-15,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
西城,德胜门,53,28,1450,134135元/平米,新德街35号院,3室2厅1厨1卫,中楼层 (共10层),108.1㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-07-13,已购公房,2002-08-07,普通住宅,满五年,非共有,暂无数据,已上传房本照片,3,null
