城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,月坛,46,25,870,138756元/平米,月坛北街,3室1厅1厨1卫,中楼层 (共5层),62.7㎡,暂无数据,45.67㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-06,已购公房,2008-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,25,距离1号线木樨地站750米
西城,月坛,36,16,650,112457元/平米,铁二区,2室1厅1厨1卫,低楼层 (共6层),57.8㎡,暂无数据,39.95㎡,板楼,东 西,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,央产房,2002-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
西城,月坛,50,24,1385,117772元/平米,三里河二区A区,3室1厅1厨2卫,底层 (共20层),117.6㎡,暂无数据,78.19㎡,塔楼,西北,混合结构,其他,两梯十户,集中供暖,有,70年,null,null,null,2017-08-19,已购公房,2005-01-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
西城,月坛,129,21,655,111205元/平米,二七剧场路,2室1厅1厨1卫,高楼层 (共6层),58.9㎡,暂无数据,38㎡,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-24,商品房,2012-04-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,月坛,47,44,862,117921元/平米,月坛南街北里,3室1厅1厨1卫,顶层 (共16层),73.1㎡,暂无数据,51㎡,板塔结合,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-26,已购公房,2003-12-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
西城,月坛,444,435,1095,108847元/平米,月坛南街19号院,3室1厅1厨1卫,中楼层 (共13层),100.6㎡,平层,87㎡,板塔结合,东 西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-01-10,已购公房,2001-07-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,月坛,120,93,692,114988元/平米,月坛南街小四道口,2室1厅1厨1卫,中楼层 (共6层),60.18㎡,暂无数据,40.35㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-13,已购公房,2008-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
西城,月坛,79,24,1110,132506元/平米,三里河二区B区,3室1厅1厨1卫,高楼层 (共18层),83.77㎡,平层,暂无数据,塔楼,东,钢混结构,简装,四梯十八户,集中供暖,有,70年,null,null,null,2017-08-26,已购公房,2008-10-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
西城,月坛,70,25,956,114904元/平米,月坛北街25号院,3室1厅1厨1卫,底层 (共5层),83.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,商品房,2009-05-15,普通住宅,满五年,非共有,暂无数据,已上传房本照片,11,null
西城,月坛,43,83,820,109479元/平米,地藏庵,2室1厅1厨1卫,中楼层 (共5层),74.9㎡,暂无数据,56.3㎡,板楼,东 南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-02,已购公房,2008-01-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,21,null
