城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,木樨地,87,56,890,124825元/平米,复兴门外大街,3室1厅1厨1卫,中楼层 (共12层),71.3㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,简装,两梯十八户,集中供暖,有,70年,null,null,null,2017-08-13,已购公房,2007-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,木樨地,192,50,755,97925元/平米,西便门西里,3室1厅1厨1卫,高楼层 (共20层),77.1㎡,暂无数据,58.86㎡,塔楼,西南,混合结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-20,商品房,2011-01-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,木樨地,19,30,793,130000元/平米,真武庙,2室1厅1厨1卫,中楼层 (共6层),61㎡,暂无数据,40.38㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-27,央产房,2011-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
西城,木樨地,18,6,683.1,115000元/平米,汽南小区,2室1厅1厨1卫,顶层 (共6层),59.4㎡,暂无数据,48㎡,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-01,已购公房,2002-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,木樨地,55,78,750,112108元/平米,汽南小区,3室1厅1厨1卫,中楼层 (共6层),66.9㎡,暂无数据,47.26㎡,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-09,商品房,2009-12-03,普通住宅,满五年,共有,无抵押,已上传房本照片,17,null
西城,木樨地,33,9,900,119522元/平米,真武庙六里,2室1厅1厨1卫,高楼层 (共18层),75.3㎡,暂无数据,暂无数据,塔楼,东,钢混结构,精装,两梯十一户,集中供暖,有,70年,null,null,null,2017-08-08,央产房,2000-11-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,木樨地,92,49,780,122066元/平米,复兴门外大街,2室1厅1厨1卫,中楼层 (共12层),63.9㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,精装,两梯十八户,集中供暖,有,70年,null,null,null,2017-08-06,私产,2008-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
西城,木樨地,21,74,1255,144919元/平米,北滨河路2号院,3室1厅1厨1卫,低楼层 (共16层),86.6㎡,平层,暂无数据,塔楼,东南,混合结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-03-01,已购公房,2003-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
西城,木樨地,20,28,775,134222元/平米,复兴门南大街,2室1厅1厨1卫,高楼层 (共12层),57.74㎡,平层,41.14㎡,塔楼,东,钢混结构,简装,一梯八户,集中供暖,有,70年,null,null,null,2017-08-26,央产房,2011-05-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
西城,木樨地,18,6,1089,119934元/平米,汽南小区,2室1厅1厨1卫,低楼层 (共14层),90.8㎡,暂无数据,暂无数据,板塔结合,南,混合结构,简装,两梯十五户,集中供暖,有,70年,null,null,null,2017-09-03,央产房,2002-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
