城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,牛街,103,15,397,92844元/平米,春风胡同社区,1室1厅1厨1卫,顶层 (共4层),42.76㎡,暂无数据,28.7㎡,板楼,南,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-09-02,商品房,2010-04-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,距离4号线菜市口站658米
西城,牛街,161,154,588,80515元/平米,南线里小区,2室1厅1厨1卫,低楼层 (共22层),73.03㎡,暂无数据,暂无数据,塔楼,东 西 北,钢混结构,其他,两梯十二户,集中供暖,有,70年,null,null,null,2017-06-24,已购公房,2009-12-17,普通住宅,满五年,非共有,暂无数据,已上传房本照片,23,null
西城,牛街,63,16,597,82928元/平米,牛街东里,2室1厅1厨1卫,中楼层 (共19层),71.99㎡,暂无数据,53㎡,塔楼,西南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-07,已购公房,2011-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
西城,牛街,37,15,1150,95937元/平米,白纸坊东街,3室2厅1厨2卫,中楼层 (共9层),119.87㎡,暂无数据,119.87㎡,板塔结合,东 西 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-27,央产房,2000-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,牛街,118,23,980,74918元/平米,陶然居,2室2厅1厨2卫,中楼层 (共20层),130.81㎡,暂无数据,100.5㎡,塔楼,东 西,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-05-05,商品房,2009-08-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,牛街,288,65,385,93583元/平米,白广路7号院,1室1厅1厨1卫,顶层 (共6层),41.14㎡,暂无数据,33㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,暂无数据,40年,null,null,null,2017-06-27,商品房,2015-07-10,普通住宅,满两年,非共有,暂无数据,已上传房本照片,7,null
西城,牛街,43,23,690,97293元/平米,平原里小区,2室1厅1厨1卫,低楼层 (共12层),70.92㎡,暂无数据,暂无数据,板楼,东 南,钢混结构,毛坯,两梯两户,集中供暖,有,70年,null,null,null,2017-08-15,已购公房,2004-08-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,牛街,45,56,620,107490元/平米,双槐里,2室1厅1厨1卫,低楼层 (共6层),57.68㎡,暂无数据,39.39㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-15,已购公房,2011-08-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
西城,牛街,54,12,945,109948元/平米,凯迪尚府,2室1厅1厨1卫,中楼层 (共14层),85.95㎡,暂无数据,69.97㎡,板塔结合,西南,钢混结构,其他,两梯五户,自供暖,有,70年,null,null,null,2017-08-31,商品房,2014-04-14,普通住宅,满两年,非共有,暂无数据,已上传房本照片,6,null
西城,牛街,10,4,610,87719元/平米,法源寺西里小区,2室1厅1厨1卫,中楼层 (共6层),69.54㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,2003-06-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
