城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,白纸坊,211,68,462,84864元/平米,恬心家园,1室0厅1厨1卫,高楼层 (共18层),54.44㎡,暂无数据,41.93㎡,板塔结合,北,钢混结构,简装,三梯十八户,自供暖,有,70年,null,null,null,2017-06-10,商品房,2011-12-26,普通住宅,满五年,共有,有抵押 1400000万元 业主自还,已上传房本照片,12,null
西城,白纸坊,276,97,443,89876元/平米,建功南里,1室1厅1厨1卫,高楼层 (共16层),49.29㎡,暂无数据,29.27㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-19,已购公房,2004-03-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
西城,白纸坊,72,29,480,88300元/平米,南运巷,2室1厅1厨1卫,高楼层 (共18层),54.36㎡,暂无数据,37.81㎡,塔楼,东 北,钢混结构,其他,两梯九户,集中供暖,有,70年,null,null,null,2017-08-25,已购公房,2003-08-08,普通住宅,满五年,非共有,暂无数据,已上传房本照片,17,null
西城,白纸坊,99,56,475,94810元/平米,樱桃头条,2室1厅1厨1卫,低楼层 (共6层),50.1㎡,暂无数据,37.33㎡,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,null,null,null,2017-07-18,已购公房,2000-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
西城,白纸坊,12,16,450,93458元/平米,建功北里,1室1厅1厨1卫,中楼层 (共14层),48.15㎡,暂无数据,36.61㎡,板楼,东,钢混结构,其他,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-29,已购公房,2001-09-01,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
西城,白纸坊,160,56,501,84958元/平米,南运巷,2室1厅1厨1卫,低楼层 (共18层),58.97㎡,暂无数据,40.73㎡,塔楼,北,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-04-20,商品房,2010-12-09,普通住宅,满五年,共有,有抵押 99万元 中国银行 客户偿还,已上传房本照片,5,null
西城,白纸坊,88,57,790,92897元/平米,恬心家园,2室1厅1厨1卫,中楼层 (共19层),85.04㎡,暂无数据,68.33㎡,板塔结合,西,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-04-19,商品房,2009-09-03,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
西城,白纸坊,138,48,480,79880元/平米,南运巷,2室1厅1厨1卫,低楼层 (共16层),60.09㎡,暂无数据,39.35㎡,塔楼,东,混合结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2013-11-25,普通住宅,满两年,共有,有抵押 1290000万元 中国银行 业主自还,已上传房本照片,7,null
西城,白纸坊,129,47,420,86903元/平米,建功北里,1室1厅1厨1卫,高楼层 (共6层),48.33㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-07,商品房,2013-04-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
西城,白纸坊,19,16,650,89829元/平米,恬心家园,1室1厅1厨1卫,中楼层 (共18层),72.36㎡,暂无数据,55.73㎡,板塔结合,南,钢混结构,简装,三梯十八户,自供暖,有,70年,null,null,null,2017-07-20,商品房,2011-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
西城,白纸坊,4,5,820,98416元/平米,广安门南街,2室1厅1厨1卫,低楼层 (共18层),83.32㎡,暂无数据,59.77㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-13,央产房,2001-04-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,白纸坊,35,14,1534,89992元/平米,荣宁园,3室1厅1厨2卫,低楼层 (共22层),170.46㎡,暂无数据,137.86㎡,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-27,商品房,2012-06-12,普通住宅,满五年,非共有,有抵押 300万元 中信银行 业主自还,已上传房本照片,3,null
西城,白纸坊,10,0,510,88174元/平米,恬心家园,1室1厅1厨1卫,高楼层 (共18层),57.84㎡,暂无数据,44.55㎡,板塔结合,西,钢混结构,精装,三梯十八户,自供暖,有,70年,null,null,null,2017-09-09,商品房,2012-05-24,普通住宅,满五年,非共有,有抵押 88万元 交通银行 业主自还,已上传房本照片,0,null
西城,白纸坊,161,11,640,89888元/平米,建功南里,2室1厅1厨1卫,高楼层 (共16层),71.2㎡,暂无数据,41.62㎡,塔楼,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-08,商品房,2009-07-08,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
西城,白纸坊,77,20,673,64911元/平米,中加大厦,2室1厅1厨1卫,高楼层 (共23层),103.68㎡,暂无数据,79.22㎡,塔楼,西,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-09,商品房,2015-08-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,12,null
西城,白纸坊,41,17,510,85671元/平米,樱桃二条8号院,1室1厅1厨1卫,高楼层 (共14层),59.53㎡,暂无数据,50.99㎡,板塔结合,南,钢混结构,简装,三梯三户,集中供暖,有,70年,null,null,null,2017-08-23,二类经济适用房,2007-07-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
西城,白纸坊,62,7,620,89350元/平米,建功北里,3室1厅1厨1卫,顶层 (共6层),69.39㎡,暂无数据,68.91㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,2000-07-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,白纸坊,274,55,920,84863元/平米,建功北里,4室1厅1厨1卫,顶层 (共17层),108.41㎡,平层,84.18㎡,板塔结合,东南,钢混结构,简装,四梯十六户,集中供暖,有,70年,null,null,null,2017-02-16,商品房,2009-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,白纸坊,39,3,880,83515元/平米,恬心家园,3室1厅1厨1卫,低楼层 (共19层),105.37㎡,暂无数据,84.66㎡,板塔结合,西北,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-14,商品房,2010-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,白纸坊,9,5,525,96224元/平米,中胜巷,2室1厅1厨1卫,高楼层 (共6层),54.56㎡,暂无数据,41.49㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,暂无数据,40年,null,null,null,2017-08-22,商品房,2014-12-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
西城,白纸坊,40,8,505,87310元/平米,恬心家园,1室1厅1厨1卫,中楼层 (共18层),57.84㎡,暂无数据,44.55㎡,板塔结合,东,钢混结构,简装,三梯十八户,自供暖,有,70年,null,null,null,2017-08-18,商品房,2009-04-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
