城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,西单,28,7,921.5,95770元/平米,西绒线,3室1厅1厨2卫,顶层 (共6层),96.22㎡,跃层,87.11㎡,板楼,东 西,钢混结构,精装,一梯四户,自供暖,无,70年,null,null,null,2017-09-08,商品房,2007-03-06,普通住宅,满五年,非共有,有抵押 14万元 建设银行 业主自还,已上传房本照片,7,距离4号线灵境胡同站666米
西城,西单,74,40,1166,109793元/平米,前门西大街,3室1厅1厨1卫,中楼层 (共10层),106.2㎡,暂无数据,77.32㎡,板塔结合,东 西南,混合结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-14,已购公房,2006-12-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,西单,377,194,1650,121951元/平米,罗贤胡同,3室1厅1厨1卫,高楼层 (共6层),135.3㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯八户,集中供暖,无,70年,null,null,null,2016-09-18,商品房,2009-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,西单,20,13,835,138245元/平米,灵境胡同,2室1厅1厨1卫,中楼层 (共6层),60.4㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-02,已购公房,2017-03-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,7,null
西城,西单,66,2,1062.9,145000元/平米,灵境胡同,3室1厅1厨1卫,中楼层 (共6层),73.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-27,已购公房,2010-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,西单,23,0,1010,138736元/平米,灵境胡同,3室1厅1厨1卫,高楼层 (共6层),72.8㎡,暂无数据,72㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-22,私产,1998-05-13,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
西城,西单,9,0,760,125206元/平米,西交民巷62号院,2室1厅1厨1卫,低楼层 (共12层),60.7㎡,平层,43.59㎡,板塔结合,东北,混合结构,简装,两梯八户,自供暖,有,70年,null,null,null,2017-08-29,商品房,2015-04-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,西单,36,1,2700,94740元/平米,天安国汇,2室2厅1厨1卫,中楼层 (共18层),284.99㎡,暂无数据,219.04㎡,塔楼,南,钢混结构,其他,六梯十四户,自供暖,有,70年,null,null,null,2017-06-19,商品房,2012-03-12,公寓,满五年,非共有,无抵押,已上传房本照片,0,null
西城,西单,53,5,679,149890元/平米,西黄城根南街一区,1室1厅1厨1卫,中楼层 (共6层),45.3㎡,暂无数据,32㎡,板楼,南,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-10,私产,2003-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,西单,63,24,799,132945元/平米,东斜街,2室1厅1厨1卫,中楼层 (共6层),60.1㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-07-23,商品房,2015-11-17,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,2,null
西城,西单,25,0,1766,109956元/平米,天安国汇,1室0厅1厨2卫,低楼层 (共18层),160.61㎡,平层,123.48㎡,塔楼,北,钢混结构,精装,六梯十四户,自供暖,有,70年,null,null,null,2017-06-01,商品房,2011-03-28,公寓,满五年,非共有,无抵押,已上传房本照片,0,null
西城,西单,165,33,1211,89970元/平米,新壁街,3室1厅1厨2卫,高楼层 (共6层),134.6㎡,暂无数据,122.78㎡,板楼,东 西,钢混结构,其他,一梯五户,自供暖,无,70年,null,null,null,2017-05-12,二类经济适用房,2009-09-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,5,null
西城,西单,95,13,3700,103877元/平米,复地西绒线26号,4室2厅1厨2卫,低楼层 (共15层),356.19㎡,暂无数据,282.89㎡,塔楼,东南,钢混结构,精装,四梯五户,集中供暖,有,70年,null,null,null,2017-06-22,商品房,2014-12-22,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,西单,34,4,780,121875元/平米,大六部口,2室1厅1厨1卫,顶层 (共6层),64㎡,暂无数据,45.06㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2014-02-17,普通住宅,满两年,共有,无抵押,已上传房本照片,0,null
西城,西单,14,0,670,148559元/平米,西黄城根南街一区,1室1厅1厨1卫,底层 (共6层),45.1㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-26,已购公房,1993-12-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
