城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,西四,59,38,870,143802元/平米,大拐棒胡同,2室1厅1厨1卫,中楼层 (共6层),60.5㎡,暂无数据,暂无数据,板楼,西 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-04,已购公房,2004-08-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,距离4号线西四站455米
西城,西四,86,29,862,149913元/平米,爱民里小区,2室1厅1厨1卫,中楼层 (共6层),57.5㎡,平层,44.5㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-15,已购公房,2000-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,西四,107,15,990,114319元/平米,航空胡同40号院,3室1厅1厨1卫,中楼层 (共8层),86.6㎡,暂无数据,58.34㎡,板塔结合,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-06-29,央产房,2008-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
西城,西四,10,9,836,144887元/平米,爱民里小区,2室1厅1厨1卫,中楼层 (共6层),57.7㎡,暂无数据,39.78㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,2000-10-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,西四,74,42,860,149306元/平米,爱民里小区,2室1厅1厨1卫,高楼层 (共6层),57.6㎡,暂无数据,37.37㎡,板楼,南,混合结构,其他,一梯四户,集中供暖,无,70年,null,null,null,2017-08-04,已购公房,2001-02-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,12,null
西城,西四,46,0,976.2,129987元/平米,爱民里小区,2室1厅1厨1卫,顶层 (共6层),75.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,商品房,2010-04-08,普通住宅,满五年,非共有,有抵押 88.6万元 中信银行 业主自还,已上传房本照片,0,null
西城,西四,76,26,1060,144218元/平米,大拐棒胡同,3室1厅1厨1卫,中楼层 (共6层),73.5㎡,暂无数据,55.26㎡,板塔结合,东,混合结构,简装,一梯十六户,集中供暖,无,70年,null,null,null,2017-06-25,央产房,2001-02-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,西四,51,33,2035,149853元/平米,大红罗厂3号院,3室1厅1厨2卫,顶层 (共6层),135.8㎡,暂无数据,99.5㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-03-13,商品房,2007-05-25,普通住宅,满五年,共有,无抵押,已上传房本照片,7,null
西城,西四,67,16,903,149751元/平米,大拐棒胡同,2室1厅1厨1卫,中楼层 (共6层),60.3㎡,平层,42.38㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-19,商品房,2012-07-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,西四,33,2,653.3,134979元/平米,爱民里小区,1室1厅1厨1卫,高楼层 (共7层),48.4㎡,暂无数据,33.33㎡,板楼,东 西,混合结构,精装,一梯六户,集中供暖,无,70年,null,null,null,2017-09-05,商品房,2013-08-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
