城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,车公庄,201,40,562,104851元/平米,车公庄大街,2室1厅1厨1卫,顶层 (共5层),53.6㎡,暂无数据,37.97㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-12,央产房,2009-11-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
西城,车公庄,,,,,,,,,,,,,,,,,,,null,null,null,,,,,,,,,,null
西城,车公庄,206,108,1060,106963元/平米,车公庄北里,3室1厅1厨1卫,高楼层 (共18层),99.1㎡,暂无数据,暂无数据,塔楼,西南 北,混合结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2011-04-15,普通住宅,满五年,共有,无抵押,已上传房本照片,10,null
西城,车公庄,32,14,950,105661元/平米,新华里12号院,3室1厅1厨1卫,顶层 (共18层),89.91㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-10,央产房,2008-07-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
西城,车公庄,173,66,738,104979元/平米,车公庄北里,3室1厅1厨1卫,高楼层 (共18层),70.3㎡,暂无数据,50.2㎡,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-08,已购公房,2000-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,44,null
西城,车公庄,81,41,700,107643元/平米,车公庄中里,1室1厅1厨1卫,高楼层 (共6层),65.03㎡,暂无数据,48.65㎡,板楼,南,混合结构,其他,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-01,央产房,2004-12-16,普通住宅,满五年,非共有,暂无数据,已上传房本照片,11,null
西城,车公庄,30,9,670,100601元/平米,西直门外南路,2室1厅1厨1卫,高楼层 (共18层),66.6㎡,暂无数据,44.07㎡,塔楼,南,混合结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-29,央产房,2001-08-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,车公庄,118,63,670,100149元/平米,榆树馆西里,2室1厅1厨1卫,高楼层 (共18层),66.9㎡,暂无数据,暂无数据,塔楼,南,混合结构,其他,两梯六户,集中供暖,有,70年,null,null,null,2017-06-26,已购公房,1994-02-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
西城,车公庄,86,60,860,111732元/平米,五栋大楼,1室1厅1厨1卫,低楼层 (共16层),76.97㎡,暂无数据,61.58㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2012-12-20,普通住宅,满两年,非共有,有抵押 100万元 工商银行 业主自还,已上传房本照片,11,null
西城,车公庄,226,16,420,109948元/平米,车公庄北里,1室1厅1厨1卫,底层 (共6层),38.2㎡,暂无数据,28.67㎡,板楼,南,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-26,商品房,2016-09-28,普通住宅,暂无数据,共有,有抵押 200万元 平安银行 客户偿还,已上传房本照片,5,null
西城,车公庄,147,156,1060,107396元/平米,车公庄北里,3室1厅1厨1卫,中楼层 (共18层),98.7㎡,暂无数据,68㎡,塔楼,西南 北,钢混结构,其他,两梯六户,集中供暖,有,70年,null,null,null,2017-04-26,已购公房,2017-03-09,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,0,null
西城,车公庄,15,4,486,109955元/平米,西直门外大街,1室1厅1厨1卫,低楼层 (共16层),44.2㎡,平层,30.45㎡,塔楼,南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-09-12,商品房,2014-12-18,普通住宅,满两年,非共有,有抵押 87万元,已上传房本照片,4,null
西城,车公庄,219,68,580,97973元/平米,团结大院,2室1厅1厨1卫,中楼层 (共6层),59.2㎡,暂无数据,1㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-12,商品房,2012-05-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
西城,车公庄,146,5,880,105973元/平米,车公庄北里,2室1厅1厨1卫,高楼层 (共22层),83.04㎡,平层,66.36㎡,塔楼,西,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-05-12,二类经济适用房,2007-01-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,车公庄,86,5,660,103286元/平米,西直门外南路24号院,2室1厅1厨1卫,顶层 (共6层),63.9㎡,平层,45.08㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-18,央产房,2002-06-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
