城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,金融街,53,23,530,105180元/平米,宣武门西大街,2室1厅1厨1卫,高楼层 (共12层),50.39㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯二十七户,集中供暖,有,70年,null,null,null,2017-09-02,私产,2003-12-17,普通住宅,满五年,非共有,有抵押 300万元 哈尔滨银行 客户偿还,已上传房本照片,23,null
西城,金融街,179,72,1650,141534元/平米,西城晶华,2室1厅1厨1卫,底层 (共11层),116.58㎡,暂无数据,88.46㎡,板塔结合,东南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-05-21,商品房,2011-02-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
西城,金融街,376,154,950,110081元/平米,新文化街,3室1厅1厨1卫,底层 (共18层),86.3㎡,暂无数据,暂无数据,塔楼,西南,混合结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-07,央产房,2009-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
西城,金融街,42,15,1120,158640元/平米,中京几道,3室1厅1厨1卫,中楼层 (共14层),70.6㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯八户,暂无数据,暂无数据,70年,null,null,null,2017-08-28,已购公房,2006-06-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,11,null
西城,金融街,52,68,960,138929元/平米,石灯胡同6号院,3室1厅1厨1卫,低楼层 (共6层),69.1㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-08,已购公房,2013-06-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,14,null
西城,金融街,12,4,730,125000元/平米,民康胡同30号院,2室1厅1厨1卫,高楼层 (共19层),58.4㎡,暂无数据,40.93㎡,塔楼,东北,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-09-04,已购公房,2017-07-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,4,null
西城,金融街,16,10,790,138112元/平米,华远北街,1室1厅1厨1卫,中楼层 (共17层),57.2㎡,暂无数据,39.71㎡,板塔结合,西,混合结构,其他,两梯十四户,集中供暖,有,70年,null,null,null,2017-08-27,商品房,2015-04-27,普通住宅,满两年,非共有,暂无数据,已上传房本照片,4,null
西城,金融街,85,19,543,100092元/平米,宣武门西大街,2室1厅1厨1卫,中楼层 (共12层),54.25㎡,暂无数据,暂无数据,板楼,东,钢混结构,简装,三梯二十八户,集中供暖,有,70年,null,null,null,2017-08-04,商品房,2015-03-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
西城,金融街,5,0,630,107472元/平米,宣武门西大街,2室0厅1厨1卫,低楼层 (共12层),58.62㎡,平层,暂无数据,板楼,西南,钢混结构,毛坯,三梯二十八户,集中供暖,有,70年,null,null,null,2017-08-13,已购公房,2001-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,金融街,41,0,1076,129952元/平米,华远北街,3室1厅1厨1卫,低楼层 (共17层),82.8㎡,暂无数据,57.6㎡,板塔结合,东 西,混合结构,精装,两梯十四户,集中供暖,有,70年,null,null,null,2017-08-19,已购公房,2004-04-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
