城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,长椿街,42,40,900,105683元/平米,长椿街12号院,2室2厅1厨1卫,高楼层 (共12层),85.16㎡,暂无数据,57.15㎡,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-15,已购公房,2015-03-26,普通住宅,满两年,共有,无抵押,已上传房本照片,12,距离7号线广安门内站657米
西城,长椿街,39,47,570,100387元/平米,广义街甲6号院,2室1厅1厨1卫,中楼层 (共6层),56.78㎡,暂无数据,43.35㎡,板楼,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-02,已购公房,2000-02-16,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
西城,长椿街,67,31,470,109890元/平米,长椿街,1室1厅1厨1卫,中楼层 (共6层),42.77㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-07,已购公房,2000-05-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,长椿街,20,16,710,102424元/平米,三庙大院,2室1厅1厨1卫,中楼层 (共6层),69.32㎡,暂无数据,暂无数据,板楼,西,混合结构,其他,一梯四户,集中供暖,暂无数据,70年,null,null,null,2017-08-21,已购公房,2002-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
西城,长椿街,34,14,670,99896元/平米,感化胡同14号院,3室1厅1厨1卫,中楼层 (共6层),67.07㎡,暂无数据,50.43㎡,板楼,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-09-02,已购公房,1994-05-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
西城,长椿街,168,39,465,98852元/平米,长椿街东里,2室1厅1厨1卫,中楼层 (共5层),47.04㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯十一户,集中供暖,无,70年,null,null,null,2017-08-04,私产,2007-07-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
西城,长椿街,3,1,1180,99519元/平米,广义街10号院,3室1厅1厨1卫,中楼层 (共6层),118.57㎡,暂无数据,90.92㎡,板楼,东 西,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-09,商品房,2015-07-10,普通住宅,满两年,非共有,有抵押 2000000万元 中国光大银行 客户偿还,已上传房本照片,1,null
西城,长椿街,51,27,713,114852元/平米,感化胡同3号院,2室1厅1厨1卫,高楼层 (共6层),62.08㎡,暂无数据,47.85㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-04,私产,2002-07-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,长椿街,359,78,1160,89210元/平米,广信嘉园,3室1厅1厨1卫,低楼层 (共22层),130.03㎡,平层,104.72㎡,塔楼,西北,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2015-09-14,私产,2005-08-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,长椿街,54,39,630,104948元/平米,槐柏树街南里,2室1厅1厨1卫,底层 (共6层),60.03㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-21,已购公房,1999-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,长椿街,18,13,655,97181元/平米,广义街甲8号院,3室1厅1厨1卫,低楼层 (共6层),67.4㎡,暂无数据,50.73㎡,板楼,东 北,混合结构,简装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-05-13,已购公房,2008-05-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,长椿街,22,3,650,108460元/平米,感化胡同3号院,2室1厅1厨1卫,顶层 (共6层),59.93㎡,暂无数据,46.31㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-22,商品房,2011-01-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,长椿街,125,13,1282,109779元/平米,长椿街12号院,3室1厅1厨1卫,高楼层 (共12层),116.78㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-11,已购公房,2006-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
西城,长椿街,149,50,672,89900元/平米,西便门内大街79号院,3室1厅1厨1卫,底层 (共4层),74.75㎡,暂无数据,55.8㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-27,央产房,2002-01-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,长椿街,109,47,829,101893元/平米,广义街10号院,2室1厅1厨1卫,顶层 (共6层),81.36㎡,暂无数据,71.22㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-30,央产房,2007-08-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,63,7,690,84517元/平米,西便门内大街79号院,2室1厅1厨1卫,顶层 (共6层),81.64㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-20,央产房,2002-11-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,4,0,624,109995元/平米,长椿街,2室1厅1厨1卫,高楼层 (共6层),56.73㎡,暂无数据,43.24㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,商品房,2013-08-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,34,16,980,75367元/平米,广信嘉园,2室1厅1厨1卫,中楼层 (共22层),130.03㎡,暂无数据,104.72㎡,塔楼,西北,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-07-21,商品房,2004-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,长椿街,4,1,820,94853元/平米,长椿里,3室1厅1厨1卫,中楼层 (共4层),86.45㎡,暂无数据,64.86㎡,板楼,东 西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-19,已购公房,2011-01-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,13,6,520,117914元/平米,感化胡同3号院,1室1厅1厨1卫,中楼层 (共6层),44.1㎡,暂无数据,33.6㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-24,商品房,2011-07-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,216,64,860,89761元/平米,天泽园,2室1厅1厨1卫,高楼层 (共6层),95.81㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-02-21,商品房,2003-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,112,0,570,84009元/平米,核桃园,3室1厅1厨1卫,底层 (共6层),67.85㎡,暂无数据,48.35㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,2008-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,48,10,1191,119988元/平米,相来家园,2室1厅1厨1卫,低楼层 (共15层),99.26㎡,暂无数据,81.62㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2015-09-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,4,null
西城,长椿街,47,7,620,99887元/平米,长椿里,2室1厅1厨1卫,中楼层 (共5层),62.07㎡,暂无数据,暂无数据,板楼,西北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-04,已购公房,2008-09-27,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
西城,长椿街,43,7,837,94973元/平米,广益大厦,2室1厅1厨2卫,中楼层 (共16层),88.13㎡,跃层,62.37㎡,板塔结合,南 北,钢混结构,精装,两梯三十二户,集中供暖,有,70年,null,null,null,2017-08-07,商品房,2011-04-26,普通住宅,满五年,非共有,有抵押 50万元 工商银行 业主自还,已上传房本照片,2,null
西城,长椿街,51,23,760,99437元/平米,广义街甲6号院,3室1厅1厨1卫,高楼层 (共6层),76.43㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-07-01,已购公房,2017-08-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,3,null
西城,长椿街,8,7,542,99853元/平米,报国寺西夹道32号院,2室1厅1厨1卫,中楼层 (共5层),54.28㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-06,商品房,2013-11-01,普通住宅,满两年,非共有,暂无数据,已上传房本照片,3,null
西城,长椿街,30,8,620,88609元/平米,锦上国际公寓,1室1厅1厨1卫,中楼层 (共16层),69.97㎡,平层,50.13㎡,塔楼,北,钢混结构,精装,五梯二十五户,集中供暖,有,70年,null,null,null,2017-07-28,商品房,2013-12-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,25,0,1830,109943元/平米,长椿苑,3室2厅1厨2卫,中楼层 (共9层),166.45㎡,暂无数据,101.14㎡,板楼,南 西 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-29,商品房,2017-02-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,98,53,1650,119669元/平米,康乐里小区,3室2厅1厨2卫,中楼层 (共16层),137.88㎡,平层,暂无数据,塔楼,东北,钢混结构,简装,一梯七户,集中供暖,有,70年,null,null,null,2016-11-13,央产房,2003-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
西城,长椿街,163,40,1000,78052元/平米,广益大厦,2室2厅1厨2卫,高楼层 (共16层),128.12㎡,跃层,90.67㎡,板塔结合,南 北,钢混结构,精装,两梯三十二户,集中供暖,有,70年,null,null,null,2016-12-05,商品房,2010-04-13,普通住宅,满五年,共有,无抵押,已上传房本照片,0,距离7号线广安门内站193米
西城,长椿街,45,1,450,94142元/平米,槐柏树街北里,1室1厅1厨1卫,顶层 (共6层),47.8㎡,暂无数据,暂无数据,板楼,西南,混合结构,精装,一梯三十五户,集中供暖,无,70年,null,null,null,2017-07-24,已购公房,2013-05-06,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,118,6,560,80034元/平米,锦上国际公寓,1室1厅1厨1卫,中楼层 (共16层),69.97㎡,平层,50.13㎡,塔楼,北,钢混结构,精装,五梯二十五户,集中供暖,有,70年,null,null,null,2017-03-06,商品房,2014-03-03,普通住宅,满两年,共有,无抵押,已上传房本照片,0,null
西城,长椿街,59,4,583,94843元/平米,锦上国际公寓,1室1厅1厨1卫,顶层 (共16层),61.47㎡,平层,44.04㎡,塔楼,南,钢混结构,精装,五梯二十五户,集中供暖,有,70年,null,null,null,2017-04-18,商品房,2014-07-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,31,5,608,86894元/平米,锦上国际公寓,1室1厅1厨1卫,中楼层 (共16层),69.97㎡,平层,50.13㎡,塔楼,北,钢混结构,精装,五梯二十五户,集中供暖,有,70年,null,null,null,2017-05-21,商品房,2013-11-20,普通住宅,满两年,非共有,有抵押 1040000万元 建设银行 客户偿还,已上传房本照片,0,null
西城,长椿街,5,2,630,104686元/平米,槐柏树街南里,2室1厅1厨1卫,中楼层 (共6层),60.18㎡,平层,暂无数据,板楼,东 西,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-02,已购公房,2012-05-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
西城,长椿街,13,0,559,93463元/平米,锦上国际公寓,1室1厅1厨1卫,中楼层 (共16层),59.81㎡,平层,42.85㎡,塔楼,南,钢混结构,简装,五梯二十五户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2014-11-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
西城,长椿街,6,20,648,111686元/平米,槐柏树街南里,2室1厅1厨1卫,中楼层 (共5层),58.02㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-08,商品房,2016-11-03,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,2,null
西城,长椿街,120,14,750,88747元/平米,槐柏树后街,3室1厅1厨1卫,底层 (共18层),84.51㎡,暂无数据,63.4㎡,塔楼,东南,钢混结构,毛坯,一梯八户,暂无数据,暂无数据,70年,null,null,null,2017-04-07,已购公房,2017-04-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,1,null
