城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
西城,阜成门,86,66,785,105369元/平米,北露园,3室1厅1厨1卫,底层 (共6层),74.5㎡,暂无数据,52.7㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-13,商品房,2009-10-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,阜成门,91,35,960,121827元/平米,侨办大院,2室1厅1厨1卫,低楼层 (共17层),78.8㎡,暂无数据,暂无数据,塔楼,南,混合结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-02,商品房,2011-04-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
西城,阜成门,99,97,768,104775元/平米,黄瓜园,2室1厅1厨1卫,低楼层 (共6层),73.3㎡,暂无数据,56㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,央产房,2000-09-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,阜成门,22,16,928,123899元/平米,侨办大院,3室1厅1厨1卫,高楼层 (共17层),74.9㎡,平层,暂无数据,塔楼,东北,混合结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-02,央产房,1997-03-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
西城,阜成门,41,9,818,105006元/平米,北营房东里,3室1厅1厨1卫,高楼层 (共20层),77.9㎡,暂无数据,58㎡,塔楼,东 西 北,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-09-01,已购公房,2003-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
西城,阜成门,26,23,635,104959元/平米,百万庄未区,2室1厅1厨1卫,低楼层 (共3层),60.5㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-26,已购公房,2017-08-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,5,null
西城,阜成门,23,28,550,107004元/平米,北礼士路70号院,2室0厅1厨1卫,顶层 (共6层),51.4㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-05,商品房,2009-06-15,普通住宅,满五年,共有,无抵押,已上传房本照片,15,null
西城,阜成门,125,26,725,104920元/平米,展览路,3室1厅1厨1卫,中楼层 (共7层),69.1㎡,平层,69.1㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-25,商品房,2013-06-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,8,null
西城,阜成门,305,106,678,106940元/平米,阜成门外北街,2室1厅1厨1卫,高楼层 (共18层),63.4㎡,平层,50㎡,板塔结合,南 北,混合结构,精装,两梯十一户,集中供暖,有,70年,null,null,null,2017-07-30,商品房,2010-12-09,普通住宅,满五年,非共有,有抵押 70万元 客户偿还,已上传房本照片,0,null
西城,阜成门,40,7,640,100000元/平米,展览路,2室1厅1厨1卫,低楼层 (共18层),64㎡,平层,50㎡,塔楼,西 北,混合结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-09-01,央产房,2000-06-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
西城,阜成门,27,13,666,104882元/平米,北礼士路64号院,3室1厅1厨1卫,顶层 (共5层),63.5㎡,平层,暂无数据,暂无数据,南 北,混合结构,精装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-09-03,已购公房,2017-08-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,13,null
西城,阜成门,323,59,520,99237元/平米,北营房东里,2室1厅1厨1卫,高楼层 (共20层),52.4㎡,暂无数据,36.51㎡,塔楼,南,混合结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-11,已购公房,2017-06-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,9,null
西城,阜成门,49,38,653,106874元/平米,北礼士路60号院,2室1厅1厨1卫,高楼层 (共12层),61.1㎡,平层,43.01㎡,板塔结合,南 北,混合结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-09-05,央产房,2017-04-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,0,null
西城,阜成门,19,15,898,119893元/平米,侨办大院,3室1厅1厨1卫,中楼层 (共17层),74.9㎡,暂无数据,65㎡,塔楼,东北,混合结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-20,央产房,1997-03-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
西城,阜成门,68,38,1085,107960元/平米,百万庄中里,3室1厅1厨1卫,顶层 (共5层),100.5㎡,平层,67㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,已购公房,2017-07-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,6,null
西城,阜成门,136,14,750,105042元/平米,北营房东里,3室1厅1厨1卫,低楼层 (共20层),71.4㎡,暂无数据,暂无数据,塔楼,西南,混合结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-04-07,私产,2005-04-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,阜成门,152,60,715,103774元/平米,百万庄1号院,3室1厅1厨1卫,低楼层 (共6层),68.9㎡,暂无数据,52㎡,板楼,东 西,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-03-24,已购公房,2013-10-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
西城,阜成门,55,12,624,101961元/平米,展览路,2室1厅1厨1卫,低楼层 (共18层),61.2㎡,暂无数据,40.54㎡,塔楼,东,混合结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-30,央产房,2007-03-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
西城,阜成门,49,17,788,116224元/平米,侨办大院,2室1厅1厨1卫,顶层 (共6层),67.8㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-17,央产房,2004-06-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
西城,阜成门,9,2,646,104870元/平米,百万庄南街,2室1厅1厨1卫,高楼层 (共6层),61.6㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-01,央产房,2012-09-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
