城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
通州,北关,45,22,390,42318元/平米,富河园,2室1厅1厨1卫,中楼层 (共6层),92.16㎡,平层,82.64㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-30,私产,2002-04-25,普通住宅,满五年,非共有,有抵押 250万元 公司垫资,已上传房本照片,7,null
通州,北关,46,61,325,41758元/平米,金地格林格林,2室1厅1厨1卫,低楼层 (共18层),77.83㎡,暂无数据,58.27㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-08,商品房,2015-06-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,26,null
通州,北关,58,57,390,43830元/平米,金地格林格林,3室1厅1厨1卫,顶层 (共18层),88.98㎡,平层,68.75㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2017-01-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,17,null
通州,北关,12,27,450,45377元/平米,财富东方,2室1厅1厨1卫,中楼层 (共26层),99.17㎡,平层,82.64㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2010-03-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
通州,北关,139,155,406,46538元/平米,富河园,3室1厅1厨1卫,中楼层 (共6层),87.24㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-10,已购公房,1997-08-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
通州,北关,137,34,420,49140元/平米,天赐良园西三期,2室1厅1厨1卫,中楼层 (共6层),85.47㎡,暂无数据,74.3㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-19,商品房,2015-04-13,普通住宅,满两年,非共有,有抵押 78万元,已上传房本照片,0,null
通州,北关,73,63,345,41342元/平米,西潞苑小区,2室1厅1厨1卫,低楼层 (共6层),83.45㎡,暂无数据,73.78㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-08,私产,2003-01-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
通州,北关,37,9,366,49918元/平米,天赐良园一期,2室1厅1厨1卫,高楼层 (共7层),73.32㎡,平层,61.12㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-09,商品房,2011-05-18,普通住宅,满五年,非共有,有抵押 30万元 建设银行 业主自还,已上传房本照片,9,null
通州,北关,30,11,425,49871元/平米,天赐良园西三期,2室1厅1厨1卫,高楼层 (共6层),85.22㎡,平层,74.07㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-27,私产,2008-09-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
通州,北关,14,3,387,49968元/平米,天赐良园东三期,2室1厅1厨1卫,中楼层 (共5层),77.45㎡,平层,67.07㎡,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-09,商品房,2009-12-18,普通住宅,满五年,共有,有抵押 30万元 北京银行 客户偿还,已上传房本照片,3,null
