城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
通州,新华大街,27,19,310,47988元/平米,后南仓,2室1厅1厨1卫,中楼层 (共4层),64.6㎡,暂无数据,60㎡,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-28,私产,2006-04-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
通州,新华大街,12,24,305,45038元/平米,通惠小区,2室1厅1厨1卫,低楼层 (共6层),67.72㎡,平层,46.59㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-10,私产,2007-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
通州,新华大街,211,61,350,40406元/平米,民政局家属楼,3室1厅1厨1卫,顶层 (共6层),86.62㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,暂无数据,暂无数据,40年,null,null,null,2017-03-16,已购公房,1997-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
通州,新华大街,25,10,433,47835元/平米,皓月苑,2室1厅1厨1卫,低楼层 (共6层),90.52㎡,暂无数据,82.47㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-19,私产,2002-11-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
通州,新华大街,90,159,300,46033元/平米,中仓小区,2室1厅1厨1卫,高楼层 (共6层),65.17㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-02,私产,2006-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,新华大街,43,15,280,49698元/平米,世图印刷厂家属院,2室1厅1厨1卫,底层 (共6层),56.34㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-23,已购公房,2015-02-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
通州,新华大街,59,63,610,47772元/平米,鼎晟国际,3室1厅1厨2卫,低楼层 (共11层),127.69㎡,平层,106.79㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-24,商品房,2010-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
通州,新华大街,39,0,539,59982元/平米,富力金禧花园,2室1厅1厨1卫,高楼层 (共24层),89.86㎡,暂无数据,68.26㎡,板塔结合,东北,钢混结构,其他,两梯四户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2015-01-22,普通住宅,满两年,非共有,暂无数据,已上传房本照片,0,null
通州,新华大街,10,7,486,44967元/平米,车站路,3室1厅1厨1卫,低楼层 (共6层),108.08㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-04,已购公房,2010-03-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
通州,新华大街,58,109,328,49094元/平米,后南仓,2室1厅1厨1卫,高楼层 (共6层),66.81㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-26,已购公房,2007-04-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
