城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
通州,果园,139,30,695,59038元/平米,新华联家园南区,3室1厅1厨2卫,顶层 (共6层),117.72㎡,暂无数据,100.23㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-21,私产,2004-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,距离八通线果园站671米
通州,果园,37,36,409,44207元/平米,翠屏北里西区,2室2厅1厨2卫,高楼层 (共7层),92.52㎡,平层,80.32㎡,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,私产,2003-06-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
通州,果园,35,28,279,48649元/平米,运河西大街8号院,2室1厅1厨1卫,高楼层 (共6层),57.35㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,已购公房,1996-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,28,null
通州,果园,60,81,515,49278元/平米,新华联家园北区,2室1厅1厨2卫,中楼层 (共11层),104.51㎡,平层,84.6㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-06,私产,2005-05-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
通州,果园,29,15,560,50615元/平米,新华联家园南区,3室1厅1厨1卫,高楼层 (共6层),110.64㎡,暂无数据,95.99㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,私产,2006-07-26,普通住宅,满五年,共有,无抵押,已上传房本照片,6,null
通州,果园,29,18,480,47013元/平米,新华联家园南区,2室2厅1厨2卫,高楼层 (共6层),102.1㎡,暂无数据,90.8㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,商品房,2004-04-23,普通住宅,满五年,非共有,有抵押 280万元 中兴 客户偿还,已上传房本照片,5,null
通州,果园,19,17,625,50892元/平米,日光清城,3室1厅1厨2卫,低楼层 (共7层),122.81㎡,暂无数据,104.94㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-01,私产,2005-08-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
通州,果园,28,36,450,46069元/平米,翠屏北里西区,2室1厅1厨1卫,中楼层 (共7层),97.68㎡,暂无数据,84.47㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,商品房,2003-09-27,普通住宅,满五年,非共有,有抵押 58万元,已上传房本照片,13,null
通州,果园,147,121,420,42364元/平米,雅丽世居,2室2厅1厨1卫,中楼层 (共18层),99.14㎡,平层,72.9㎡,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-04-09,私产,2012-07-13,普通住宅,满五年,非共有,有抵押 40万元 银行 客户偿还,已上传房本照片,0,null
通州,果园,84,73,455,47859元/平米,新华联家园南区,2室1厅1厨1卫,中楼层 (共6层),95.07㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-04,商品房,2009-03-31,普通住宅,满五年,非共有,有抵押 90万元 南京银行 客户偿还,已上传房本照片,12,null
通州,果园,104,144,530,48830元/平米,日光清城,2室2厅1厨2卫,中楼层 (共11层),108.54㎡,暂无数据,91.76㎡,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-06-07,私产,2005-07-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
