城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
通州,玉桥,342,17,215,42574元/平米,玉桥东里,1室1厅1厨1卫,中楼层 (共21层),50.5㎡,平层,39.74㎡,板楼,南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-21,一类经济适用房,2012-08-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
通州,玉桥,81,21,365,41762元/平米,玉桥东里,3室1厅1厨1卫,高楼层 (共22层),87.4㎡,暂无数据,65.46㎡,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-28,一类经济适用房,2011-03-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
通州,玉桥,33,26,1100,61070元/平米,远洋东方公馆,3室2厅1厨2卫,高楼层 (共26层),180.12㎡,暂无数据,141.57㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-15,商品房,2013-12-02,普通住宅,满两年,非共有,有抵押 100万元 建设银行 业主自还,已上传房本照片,7,null
通州,玉桥,25,24,514,53028元/平米,格兰晴天,2室2厅1厨1卫,低楼层 (共6层),96.93㎡,暂无数据,86.02㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,商品房,2016-12-12,普通住宅,暂无数据,非共有,有抵押 410万元 个人 客户偿还,已上传房本照片,7,null
通州,玉桥,104,68,555,54642元/平米,格兰晴天,3室2厅1厨1卫,高楼层 (共6层),101.57㎡,暂无数据,89.66㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-03,私产,2005-03-29,普通住宅,满五年,共有,无抵押,已上传房本照片,9,null
通州,玉桥,102,109,273,59040元/平米,柳岸方园,1室1厅1厨1卫,顶层 (共11层),46.24㎡,暂无数据,39.02㎡,板塔结合,北,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-06-04,私产,2009-04-17,普通住宅,满五年,非共有,有抵押 14万元 中国银行 业主自还,已上传房本照片,0,null
通州,玉桥,149,56,270,52714元/平米,幸福艺居,1室1厅1厨1卫,顶层 (共6层),51.22㎡,暂无数据,43.57㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-19,商品房,2010-01-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
通州,玉桥,104,50,400,50518元/平米,格兰晴天,2室1厅1厨1卫,低楼层 (共9层),79.18㎡,平层,63.72㎡,板塔结合,西 北,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-03-31,商品房,2009-07-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
通州,玉桥,94,58,429,54894元/平米,格兰晴天,2室1厅1厨1卫,底层 (共9层),78.15㎡,平层,66.48㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-04-03,商品房,2010-02-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
通州,玉桥,128,223,1190,61876元/平米,远洋东方公馆,3室2厅1厨2卫,低楼层 (共26层),192.32㎡,暂无数据,151.53㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2016-11-23,商品房,2013-11-18,普通住宅,满两年,非共有,有抵押 790万元 包商银行 业主自还,已上传房本照片,0,null
通州,玉桥,17,4,340,48330元/平米,源泉苑,2室1厅1厨1卫,底层 (共6层),70.35㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,2001-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,12,3,320,57658元/平米,柳岸方园,1室1厅1厨1卫,底层 (共12层),55.5㎡,暂无数据,46.87㎡,板楼,南,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-09-01,私产,2006-12-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
通州,玉桥,75,4,207,39954元/平米,玉桥东里,1室1厅1厨1卫,中楼层 (共24层),51.81㎡,暂无数据,38.86㎡,板楼,东 南,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-01,一类经济适用房,2011-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
通州,玉桥,94,36,520,46923元/平米,景馨家园,2室1厅1厨2卫,中楼层 (共8层),110.82㎡,平层,87.99㎡,板塔结合,东 南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-03-06,商品房,2010-10-19,普通住宅,满五年,非共有,有抵押 20万元 建行 业主自还,已上传房本照片,0,null
通州,玉桥,316,33,315,40877元/平米,玉桥东里,2室1厅1厨1卫,低楼层 (共24层),77.06㎡,平层,60.8㎡,板楼,南 北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2016-12-09,一类经济适用房,2010-07-26,普通住宅,满五年,非共有,有抵押 客户偿还,已上传房本照片,0,null
通州,玉桥,25,10,343,42656元/平米,玉桥南里,2室1厅1厨1卫,顶层 (共6层),80.41㎡,暂无数据,67.63㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-12,私产,2001-01-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
通州,玉桥,23,2,305,39580元/平米,玉桥东里,3室1厅1厨1卫,低楼层 (共24层),77.06㎡,暂无数据,60.8㎡,板楼,东 南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-16,一类经济适用房,2011-12-20,普通住宅,满五年,非共有,有抵押 8万元 华夏银行 业主自还,已上传房本照片,0,null
通州,玉桥,33,41,940,62897元/平米,远洋东方公馆,3室1厅1厨2卫,低楼层 (共18层),149.45㎡,平层,118.62㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-06-26,商品房,2014-02-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
通州,玉桥,4,5,500,42974元/平米,玉桥南里,3室2厅1厨1卫,高楼层 (共6层),116.35㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-30,已购公房,1999-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
通州,玉桥,64,38,456,50320元/平米,玉桥东路19号院,2室1厅1厨1卫,高楼层 (共6层),90.62㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2016-12-31,已购公房,2004-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,79,49,760,49993元/平米,美然百度城,3室2厅1厨2卫,中楼层 (共5层),152.02㎡,暂无数据,138.79㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-21,商品房,2002-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,20,6,1150,60329元/平米,远洋东方公馆,3室2厅1厨2卫,中楼层 (共26层),190.62㎡,暂无数据,150.19㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-10,商品房,2013-11-27,普通住宅,满两年,非共有,有抵押 800万元 银行 客户偿还,已上传房本照片,3,null
通州,玉桥,54,4,360,47053元/平米,幸福艺居,1室1厅1厨1卫,高楼层 (共6层),76.51㎡,暂无数据,67.18㎡,板楼,西南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-13,商品房,2012-03-19,普通住宅,满五年,非共有,有抵押 100万元 业主自还,已上传房本照片,1,null
通州,玉桥,72,40,980,62002元/平米,远洋东方公馆,3室2厅1厨2卫,低楼层 (共18层),158.06㎡,平层,125.45㎡,板楼,东 南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2016-11-12,商品房,2013-09-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
通州,玉桥,55,37,1050,59312元/平米,远洋东方公馆,3室2厅1厨2卫,顶层 (共26层),177.03㎡,暂无数据,139.48㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-03,商品房,2013-11-26,普通住宅,满两年,非共有,有抵押 445万元 兴业银行 客户偿还,已上传房本照片,2,null
通州,玉桥,44,26,1099,62987元/平米,远洋东方公馆,3室2厅1厨2卫,底层 (共15层),174.48㎡,平层,139.4㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2016-11-12,商品房,2014-07-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
通州,玉桥,48,3,435,51553元/平米,格兰晴天,2室2厅1厨1卫,顶层 (共6层),84.38㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-25,商品房,2010-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,15,3,420,47880元/平米,源泉苑,3室1厅1厨1卫,顶层 (共6层),87.72㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-15,已购公房,2004-09-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,12,17,695,53972元/平米,柳岸方园,3室1厅1厨2卫,顶层 (共11层),128.77㎡,平层,105.58㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2009-08-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
通州,玉桥,9,1,300,38931元/平米,玉桥东里,2室1厅1厨1卫,低楼层 (共24层),77.06㎡,暂无数据,60.8㎡,板楼,西北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-12,一类经济适用房,2011-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
通州,玉桥,9,1,300,38931元/平米,玉桥东里,2室1厅1厨1卫,低楼层 (共24层),77.06㎡,暂无数据,60.8㎡,板楼,西北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-12,一类经济适用房,2011-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
通州,玉桥,36,7,231,41833元/平米,玉桥东里,1室1厅1厨1卫,中楼层 (共21层),55.22㎡,暂无数据,36.88㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-11,一类经济适用房,2011-07-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
通州,玉桥,6,0,329,52347元/平米,柳岸方园,2室1厅1厨1卫,底层 (共11层),62.85㎡,暂无数据,53.08㎡,板楼,西北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-09-01,私产,2006-12-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,98,0,210,40486元/平米,玉桥东里,1室1厅1厨1卫,顶层 (共22层),51.87㎡,平层,38.85㎡,板楼,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-22,一类经济适用房,2011-03-03,普通住宅,满五年,非共有,有抵押 17万元 华夏银行 业主自还,已上传房本照片,0,null
通州,玉桥,69,4,1120,48802元/平米,美然百度城,4室2厅1厨4卫,中楼层 (共4层),229.5㎡,暂无数据,210.4㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-06,商品房,2014-05-06,普通住宅,满两年,非共有,有抵押 100万元 中国邮政储蓄银行 客户偿还,已上传房本照片,0,null
通州,玉桥,18,4,650,48634元/平米,京艺天朗,3室1厅1厨2卫,高楼层 (共6层),133.65㎡,暂无数据,119.33㎡,板楼,东 南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-05-13,商品房,2015-07-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,19,10,275,53120元/平米,京艺天朗,1室1厅1厨1卫,高楼层 (共12层),51.77㎡,暂无数据,43.14㎡,板塔结合,北,钢混结构,简装,一梯六户,自供暖,有,70年,null,null,null,2017-05-03,商品房,2014-04-23,普通住宅,满两年,非共有,有抵押 25万元,已上传房本照片,0,null
通州,玉桥,7,0,285,41126元/平米,玉桥东里,2室2厅1厨1卫,中楼层 (共21层),69.3㎡,暂无数据,54.53㎡,板楼,南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-20,一类经济适用房,2011-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,34,5,300,50616元/平米,京艺天朗,1室1厅1厨1卫,中楼层 (共12层),59.27㎡,暂无数据,49.39㎡,板塔结合,南,钢混结构,简装,一梯六户,自供暖,有,70年,null,null,null,2017-07-06,私产,2005-10-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,5,2,335,47565元/平米,源泉苑,2室1厅1厨1卫,底层 (共6层),70.43㎡,平层,60.73㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-19,商品房,2013-07-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
通州,玉桥,46,9,587,46370元/平米,幸福艺居,3室2厅1厨2卫,高楼层 (共7层),126.59㎡,暂无数据,109.43㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-14,商品房,2009-05-13,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
通州,玉桥,40,5,290,50095元/平米,源泉苑,1室1厅1厨1卫,底层 (共6层),57.89㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-13,商品房,2014-09-22,普通住宅,满两年,非共有,有抵押 客户偿还,已上传房本照片,0,null
