城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
通州,通州其它,46,81,410,46433元/平米,润枫领尚,2室1厅1厨1卫,高楼层 (共18层),88.3㎡,平层,68.87㎡,板楼,南 北,钢混结构,毛坯,一梯两户,自供暖,有,70年,null,null,null,2017-06-02,商品房,2017-05-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,6,null
通州,通州其它,251,17,251,33467元/平米,定海园三里,1室1厅1厨1卫,底层 (共11层),75㎡,暂无数据,62.21㎡,板塔结合,南 北,钢混结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-05-08,商品房,2014-11-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
通州,通州其它,46,14,435,49325元/平米,润枫领尚,3室1厅1厨1卫,中楼层 (共11层),88.19㎡,暂无数据,68.41㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-14,商品房,2015-07-08,普通住宅,满两年,非共有,有抵押 98万元 中国建设银行 客户偿还,已上传房本照片,3,null
通州,通州其它,45,8,290,38309元/平米,首开国风美仑,2室1厅1厨1卫,顶层 (共16层),75.7㎡,暂无数据,60.54㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-08-28,商品房,2014-12-18,普通住宅,满两年,共有,有抵押 83万元 中国银行 客户偿还,已上传房本照片,2,null
通州,通州其它,115,154,595,49703元/平米,润枫领尚,3室1厅1厨2卫,中楼层 (共11层),119.71㎡,平层,99.15㎡,板楼,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-03-30,商品房,2015-08-06,普通住宅,满两年,共有,有抵押 100万元 农行 客户偿还,已上传房本照片,0,null
通州,通州其它,44,26,808,47947元/平米,旭辉御锦,4室3厅1厨3卫,高楼层 (共6层),168.52㎡,暂无数据,135.02㎡,暂无数据,南 北,钢混结构,毛坯,一梯两户,自供暖,有,70年,null,null,null,2017-05-25,商品房,2016-04-26,普通住宅,暂无数据,非共有,有抵押 80万元 工商银行 业主自还,已上传房本照片,0,null
通州,通州其它,101,29,410,46427元/平米,润枫领尚,3室1厅1厨1卫,中楼层 (共16层),88.31㎡,暂无数据,68.55㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-05-19,商品房,2015-06-01,普通住宅,满两年,非共有,有抵押 200万元 建设 业主自还,已上传房本照片,2,null
通州,通州其它,43,35,950,47866元/平米,旭辉御锦,4室2厅1厨2卫,中楼层 (共6层),198.47㎡,暂无数据,159.53㎡,板楼,南 北,钢混结构,毛坯,一梯两户,自供暖,有,70年,null,null,null,2016-12-28,商品房,2016-10-24,普通住宅,暂无数据,非共有,有抵押 311万元 银行,已上传房本照片,0,null
通州,通州其它,96,6,270,30323元/平米,漷县镇商业广场,2室1厅1厨1卫,中楼层 (共4层),89.04㎡,暂无数据,77.74㎡,板楼,东 西,钢混结构,简装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-02-21,私产,2006-05-22,普通住宅,满五年,非共有,有抵押 5万元 农业银行 业主自还,已上传房本照片,0,null
通州,通州其它,33,4,1400,54820元/平米,融科千章墅,4室2厅1厨4卫,中楼层 (共6层),255.38㎡,跃层,224.29㎡,暂无数据,南 北,钢混结构,精装,四梯一户,自供暖,有,70年,null,null,null,2017-05-06,商品房,2015-07-09,普通住宅,满两年,非共有,有抵押 400万元 交通银行 客户偿还,已上传房本照片,0,null
通州,通州其它,83,168,600,50125元/平米,润枫领尚,3室2厅1厨2卫,底层 (共11层),119.7㎡,平层,99.11㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-04-13,商品房,2015-09-17,普通住宅,暂无数据,非共有,有抵押 110万元 建设银行 客户偿还,已上传房本照片,2,null
通州,通州其它,27,5,346,38715元/平米,首开国风美仑,3室1厅1厨1卫,高楼层 (共16层),89.37㎡,平层,71.21㎡,板楼,南 北,钢混结构,精装,一梯六户,集中供暖,暂无数据,70年,null,null,null,2017-08-30,商品房,2014-10-22,普通住宅,满两年,非共有,有抵押,已上传房本照片,1,null
通州,通州其它,55,10,345,38029元/平米,首开国风美仑,3室1厅1厨1卫,低楼层 (共16层),90.72㎡,暂无数据,70.96㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-07-25,商品房,2014-08-12,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
通州,通州其它,34,2,320,45500元/平米,徐辛庄,2室1厅1厨1卫,中楼层 (共6层),70.33㎡,暂无数据,70.33㎡,板楼,东 西,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-30,私产,2006-12-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,通州其它,141,30,345,38257元/平米,首开国风美仑,3室2厅1厨1卫,中楼层 (共16层),90.18㎡,平层,71.31㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-03-12,商品房,2015-01-12,普通住宅,满两年,共有,无抵押,已上传房本照片,3,null
通州,通州其它,28,21,1240,47679元/平米,旭辉御锦,4室3厅1厨3卫,底层 (共6层),260.07㎡,跃层,暂无数据,暂无数据,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-01-14,商品房,2016-10-24,普通住宅,暂无数据,共有,有抵押 170万元 中信银行 客户偿还,已上传房本照片,3,null
