城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
门头沟,冯村,21,27,510,46179元/平米,冯村嘉园一区,3室1厅1厨1卫,低楼层 (共11层),110.44㎡,暂无数据,90.3㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-03-31,商品房,2012-02-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
门头沟,冯村,8,8,1500,60961元/平米,华润西山墅,4室2厅2厨3卫,顶层 (共2层),246.06㎡,暂无数据,235.79㎡,暂无数据,南 北,钢混结构,精装,一梯一户,自供暖,有,70年,null,null,null,2017-09-02,商品房,2017-08-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,7,null
门头沟,冯村,10,6,430,49386元/平米,丽景长安,2室1厅1厨1卫,低楼层 (共23层),87.07㎡,暂无数据,65.01㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-10,商品房,2017-05-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,6,null
门头沟,冯村,12,10,434,41916元/平米,冯村嘉园二区,3室1厅1厨1卫,低楼层 (共6层),103.54㎡,暂无数据,91.66㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,商品房,2015-12-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2,null
门头沟,冯村,8,9,700,54623元/平米,润西山苑,3室1厅1厨2卫,中楼层 (共10层),128.15㎡,暂无数据,106.3㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-08-14,商品房,2017-08-28,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,7,null
门头沟,冯村,31,49,671.1,60000元/平米,润西山苑,2室1厅1厨2卫,底层 (共10层),111.85㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-05-01,商品房,2016-01-25,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,6,null
门头沟,冯村,5,0,459,49940元/平米,丽景长安,2室1厅1厨1卫,低楼层 (共23层),91.91㎡,暂无数据,68.62㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-12,商品房,2016-10-13,普通住宅,暂无数据,非共有,有抵押 120万元 建设银行 客户偿还,已上传房本照片,0,null
门头沟,冯村,24,37,496,44911元/平米,冯村嘉园一区,2室1厅1厨1卫,顶层 (共11层),110.44㎡,暂无数据,90.3㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-03-05,商品房,2010-07-13,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
门头沟,冯村,82,114,405,43103元/平米,冯村嘉园二区,3室1厅1厨1卫,顶层 (共6层),93.96㎡,暂无数据,81.66㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2016-10-01,商品房,2011-03-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,冯村,34,13,530,52947元/平米,润景公馆,2室1厅1厨1卫,低楼层 (共20层),100.1㎡,平层,80.78㎡,板楼,西北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-02-05,商品房,2013-12-25,普通住宅,满两年,非共有,暂无数据,已上传房本照片,0,null
