城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
门头沟,城子,60,59,249,45747元/平米,向阳东里,2室1厅1厨1卫,底层 (共6层),54.43㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-22,私产,2007-05-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
门头沟,城子,15,1,435,42493元/平米,绿岛家园,2室1厅1厨1卫,中楼层 (共6层),102.37㎡,暂无数据,88.54㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-09-06,私产,2004-09-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
门头沟,城子,37,50,350,40092元/平米,滨河路87号院,2室1厅1厨1卫,中楼层 (共6层),87.3㎡,暂无数据,74.27㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-14,商品房,2011-06-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
门头沟,城子,33,35,569,47259元/平米,阁外山水,2室2厅1厨1卫,中楼层 (共12层),120.4㎡,平层,100㎡,板楼,东 南 北,混合结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-01-08,商品房,2012-08-03,普通住宅,满五年,非共有,有抵押 80万元 建设银行 业主自还,已上传房本照片,0,null
门头沟,城子,56,44,345,45853元/平米,城子西街1号院,2室1厅1厨1卫,中楼层 (共6层),75.24㎡,平层,66.7㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-03-17,二类经济适用房,2006-09-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,城子,34,19,270,41615元/平米,向阳楼,3室1厅1厨1卫,中楼层 (共5层),64.88㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-22,已购公房,2003-11-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,城子,49,72,340,38198元/平米,三家店老宿舍17号院,2室1厅1厨1卫,中楼层 (共6层),89.01㎡,暂无数据,77.04㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-04-08,商品房,2013-12-10,普通住宅,满两年,非共有,有抵押 10万元,已上传房本照片,2,null
门头沟,城子,14,3,260,43793元/平米,龙泉花园,1室1厅1厨1卫,中楼层 (共7层),59.37㎡,暂无数据,49.35㎡,板楼,西,混合结构,精装,一梯八户,集中供暖,无,70年,null,null,null,2017-09-01,商品房,2010-10-29,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
门头沟,城子,24,19,410,42731元/平米,绿岛家园,2室1厅1厨1卫,顶层 (共6层),95.95㎡,暂无数据,86.54㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-08-05,私产,2004-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
门头沟,城子,69,29,446,43764元/平米,绿岛家园,2室1厅1厨1卫,高楼层 (共6层),101.91㎡,平层,87.81㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2016-12-03,商品房,2010-07-30,普通住宅,满五年,非共有,有抵押 23万元 公积金 客户偿还,已上传房本照片,0,null
门头沟,城子,68,9,410,40051元/平米,绿岛家园,2室1厅1厨1卫,顶层 (共6层),102.37㎡,暂无数据,88.54㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-02-18,商品房,2008-08-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,城子,49,23,395,49313元/平米,城子西街1号院,2室1厅1厨1卫,底层 (共6层),80.1㎡,平层,70.53㎡,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2016-11-15,二类经济适用房,2008-04-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,城子,31,30,458,39691元/平米,城子大街132号院,3室1厅1厨2卫,高楼层 (共6层),115.39㎡,复式,103.37㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2016-10-18,商品房,2012-07-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,城子,46,75,350,40669元/平米,三家店老宿舍17号院,2室1厅1厨1卫,底层 (共6层),86.06㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-03-25,二类经济适用房,2009-08-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
门头沟,城子,14,3,210,42683元/平米,剧场东街,2室1厅1厨1卫,中楼层 (共5层),49.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,2012-06-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
门头沟,城子,13,3,250,36900元/平米,和平路33号院,2室1厅1厨1卫,高楼层 (共6层),67.75㎡,暂无数据,58.91㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-01,已购公房,2011-04-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
门头沟,城子,10,12,240,41110元/平米,向阳东里,2室1厅1厨1卫,顶层 (共6层),58.38㎡,平层,51㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-14,已购公房,2014-11-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
门头沟,城子,65,12,570,40837元/平米,绿岛家园,3室2厅1厨2卫,顶层 (共6层),139.58㎡,暂无数据,126.44㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-03-14,商品房,2005-03-03,普通住宅,满五年,非共有,有抵押 29万元 北京住房贷款担保中心 客户偿还,已上传房本照片,0,null
门头沟,城子,48,23,450,45436元/平米,绿岛家园,2室1厅1厨2卫,中楼层 (共6层),99.04㎡,平层,89.69㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-05-25,商品房,2010-09-10,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
门头沟,城子,7,4,226,44868元/平米,剧场东街,2室1厅1厨1卫,底层 (共5层),50.37㎡,暂无数据,37.79㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-07,已购公房,2009-06-02,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
门头沟,城子,6,0,310,46090元/平米,桥东街小区,2室1厅1厨1卫,低楼层 (共6层),67.26㎡,暂无数据,45.79㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-04,已购公房,1994-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,城子,197,14,296,38678元/平米,三家店东街8号院,2室1厅1厨1卫,高楼层 (共6层),76.53㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-25,商品房,2011-11-24,普通住宅,满五年,共有,暂无数据,已上传房本照片,0,null
门头沟,城子,21,45,330,40254元/平米,三家店老宿舍17号院,2室1厅1厨1卫,中楼层 (共6层),81.98㎡,暂无数据,1㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-05-14,私产,2004-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
门头沟,城子,16,33,208,38533元/平米,城子二斜井,2室1厅1厨1卫,中楼层 (共6层),53.98㎡,暂无数据,37.58㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-23,已购公房,2017-06-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
门头沟,城子,2,4,350,46629元/平米,城子西街,2室1厅1厨1卫,中楼层 (共6层),75.06㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-06-03,商品房,2009-08-25,普通住宅,满五年,非共有,有抵押 35万元 中国农业银行 业主自还,已上传房本照片,0,null
门头沟,城子,6,20,420,47191元/平米,绿岛家园,2室1厅1厨1卫,低楼层 (共12层),89㎡,暂无数据,74.07㎡,板楼,东 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-07-11,商品房,2012-09-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
门头沟,城子,10,2,660,45199元/平米,阁外山水,3室2厅1厨2卫,高楼层 (共12层),146.02㎡,暂无数据,117.51㎡,板楼,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-05-20,商品房,2009-07-30,普通住宅,满五年,非共有,有抵押 90万元 南京银行 客户偿还,已上传房本照片,0,null
