城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
门头沟,大峪,63,47,220,42727元/平米,惠民家园,1室1厅1厨1卫,底层 (共11层),51.49㎡,暂无数据,43.46㎡,板楼,西北,钢混结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-07-18,二类经济适用房,2011-07-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
门头沟,大峪,68,52,288,39226元/平米,峪园小区,3室1厅1厨1卫,顶层 (共6层),73.42㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-06,已购公房,2000-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
门头沟,大峪,59,52,260,46940元/平米,大峪南路,2室1厅1厨1卫,低楼层 (共6层),55.39㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-11,已购公房,1993-02-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
门头沟,大峪,40,43,410,39814元/平米,峪园小区,3室1厅1厨1卫,顶层 (共6层),102.98㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-05,商品房,2010-02-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
门头沟,大峪,57,76,249,43815元/平米,黑山东街,2室1厅1厨1卫,低楼层 (共7层),56.83㎡,暂无数据,50㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-07-01,已购公房,1997-10-17,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
门头沟,大峪,15,2,390,44163元/平米,惠民家园,3室1厅1厨1卫,中楼层 (共11层),88.31㎡,暂无数据,74.59㎡,板楼,南 北,钢混结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-08-24,二类经济适用房,2011-08-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,大峪,6,1,650,38624元/平米,新桥家园,4室1厅1厨2卫,中楼层 (共24层),168.29㎡,暂无数据,134.46㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-16,私产,2006-04-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,大峪,162,91,252,45072元/平米,黑山东街,2室1厅1厨1卫,中楼层 (共6层),55.91㎡,暂无数据,39.73㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-06,已购公房,1996-02-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
门头沟,大峪,60,21,245,51406元/平米,惠民家园,1室1厅1厨1卫,中楼层 (共15层),47.66㎡,平层,38.14㎡,板塔结合,南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-04-29,二类经济适用房,2011-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
门头沟,大峪,30,44,420,37797元/平米,峪园小区,3室1厅1厨1卫,低楼层 (共6层),111.12㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-09,商品房,2014-03-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
门头沟,大峪,41,3,246,35808元/平米,大峪南路,3室1厅1厨1卫,中楼层 (共4层),68.7㎡,平层,50㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-10,已购公房,1997-07-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,大峪,32,13,286,46755元/平米,大峪南路,3室1厅1厨1卫,底层 (共6层),61.17㎡,暂无数据,43.6㎡,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-01,商品房,2010-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
门头沟,大峪,28,30,295,43782元/平米,惠民家园,2室1厅1厨1卫,高楼层 (共6层),67.38㎡,暂无数据,57.85㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-29,商品房,2013-03-20,普通住宅,满两年,非共有,有抵押 40万元 农行 业主自还,已上传房本照片,6,null
门头沟,大峪,1,0,260,41224元/平米,新桥路小区,2室1厅1厨1卫,顶层 (共6层),63.07㎡,暂无数据,42.97㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,2000-09-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,大峪,16,0,300,44150元/平米,惠民家园,2室1厅1厨1卫,中楼层 (共9层),67.95㎡,暂无数据,56.49㎡,板楼,南,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-09-01,商品房,2012-08-16,普通住宅,满五年,非共有,有抵押 40万元 客户偿还,已上传房本照片,0,null
门头沟,大峪,11,2,455,49967元/平米,黑山东街,2室1厅1厨1卫,中楼层 (共6层),91.06㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-01,二类经济适用房,2008-06-02,普通住宅,满五年,非共有,有抵押 90万元 中国工商银行 客户偿还,已上传房本照片,0,null
门头沟,大峪,8,1,240,44919元/平米,惠民家园,1室1厅1厨1卫,顶层 (共9层),53.43㎡,暂无数据,42.76㎡,板塔结合,东,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-31,二类经济适用房,2014-01-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
门头沟,大峪,76,27,288,37830元/平米,桃园小区,2室1厅1厨1卫,中楼层 (共6层),76.13㎡,暂无数据,66.01㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-24,私产,2008-12-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
