城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
门头沟,门头沟其它,51,34,285,37362元/平米,中门寺街67号院,2室1厅1厨1卫,高楼层 (共6层),76.28㎡,平层,67.27㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-11,商品房,2002-11-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
门头沟,门头沟其它,94,155,455,50838元/平米,梧桐苑清露园,3室2厅1厨1卫,底层 (共28层),89.5㎡,暂无数据,69.76㎡,板楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,70年,null,null,null,2017-05-03,商品房,2015-05-21,普通住宅,满两年,非共有,有抵押 83万元 农业银行 客户偿还,已上传房本照片,0,null
门头沟,门头沟其它,90,152,420,47069元/平米,梧桐苑清露园,3室1厅1厨1卫,中楼层 (共26层),89.23㎡,平层,69.73㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-21,商品房,2014-11-06,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
门头沟,门头沟其它,40,15,298,34944元/平米,中门寺街67号院,2室1厅1厨1卫,高楼层 (共6层),85.28㎡,暂无数据,76.14㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,私产,2004-03-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
门头沟,门头沟其它,54,108,580,48548元/平米,梧桐苑清露园,3室1厅1厨2卫,中楼层 (共28层),119.47㎡,平层,93.29㎡,板楼,南 北,钢混结构,毛坯,两梯四户,集中供暖,有,70年,null,null,null,2017-07-30,商品房,2014-12-08,普通住宅,满两年,非共有,有抵押 50万元 建设银行 客户偿还,已上传房本照片,14,null
门头沟,门头沟其它,44,123,390,45796元/平米,梧桐苑栖凤园,2室1厅1厨1卫,中楼层 (共27层),85.16㎡,暂无数据,65.82㎡,板楼,南,钢混结构,毛坯,两梯三户,集中供暖,有,70年,null,null,null,2017-06-20,商品房,2015-06-29,普通住宅,满两年,非共有,有抵押 45万元 建设银行 客户偿还,已上传房本照片,13,null
门头沟,门头沟其它,33,33,600,50155元/平米,梧桐苑栖凤园,3室1厅1厨2卫,高楼层 (共27层),119.63㎡,暂无数据,92.46㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-06-02,商品房,2015-01-07,普通住宅,满两年,非共有,有抵押 80万元 建设银行 客户偿还,已上传房本照片,5,null
门头沟,门头沟其它,12,2,500,43527元/平米,潭墅苑,3室1厅1厨2卫,底层 (共4层),114.87㎡,暂无数据,109.3㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-09-08,私产,2008-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
门头沟,门头沟其它,453,64,230,36433元/平米,门矿西山楼,2室1厅1厨1卫,中楼层 (共6层),63.13㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-09,已购公房,2007-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
门头沟,门头沟其它,55,78,575,48121元/平米,梧桐苑知秋园,3室1厅1厨2卫,低楼层 (共24层),119.49㎡,平层,95.19㎡,板楼,南 北,钢混结构,毛坯,两梯四户,集中供暖,有,70年,null,null,null,2017-06-24,商品房,2015-03-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
