城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
顺义,后沙峪,109,52,630,43677元/平米,万科城市花园,3室1厅1厨2卫,中楼层 (共5层),144.24㎡,暂无数据,98.08㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,私产,2001-12-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,32,null
顺义,后沙峪,112,55,385,53711元/平米,空港吉祥花园,2室1厅1厨1卫,低楼层 (共10层),71.68㎡,平层,61.38㎡,板塔结合,南,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2010-12-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
顺义,后沙峪,105,71,720,50898元/平米,香花畦家园,3室2厅1厨2卫,中楼层 (共7层),141.46㎡,平层,123.75㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2016-09-22,私产,2008-01-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
顺义,后沙峪,98,96,600,53140元/平米,空港吉祥花园,3室1厅1厨2卫,中楼层 (共11层),112.91㎡,暂无数据,97.22㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-03-10,商品房,2010-06-28,普通住宅,满五年,非共有,有抵押 55万元 客户偿还,已上传房本照片,5,null
顺义,后沙峪,98,32,395,56566元/平米,空港吉祥花园,2室1厅1厨1卫,中楼层 (共9层),69.83㎡,平层,60.54㎡,板塔结合,南,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2012-05-07,普通住宅,满五年,共有,有抵押 30万元 客户偿还,已上传房本照片,9,null
顺义,后沙峪,38,33,430,48266元/平米,万科城市花园,2室2厅1厨1卫,中楼层 (共6层),89.09㎡,暂无数据,61.03㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-23,商品房,2011-11-07,普通住宅,满五年,非共有,有抵押 168万元 中信银行 客户偿还,已上传房本照片,13,null
顺义,后沙峪,66,24,398,44266元/平米,裕祥花园,3室1厅1厨1卫,中楼层 (共6层),89.91㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-12,商品房,2010-07-20,普通住宅,满五年,非共有,有抵押 20万元 公积金 业主自还,已上传房本照片,3,null
顺义,后沙峪,75,44,720,50930元/平米,香花畦家园,3室2厅1厨2卫,中楼层 (共8层),141.37㎡,暂无数据,123.74㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2016-12-29,私产,2008-06-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
顺义,后沙峪,48,61,440,52387元/平米,后街花园,2室1厅1厨1卫,顶层 (共6层),83.99㎡,暂无数据,70.61㎡,板楼,南 北,混合结构,精装,一梯四户,暂无数据,暂无数据,70年,null,null,null,2017-06-15,商品房,2011-04-20,普通住宅,满五年,非共有,有抵押 48万元 北京银行空港支行 业主自还,已上传房本照片,2,null
顺义,后沙峪,32,54,1100,72901元/平米,中粮祥云国际生活区,3室2厅1厨2卫,中楼层 (共14层),150.89㎡,暂无数据,118.4㎡,板楼,东 南 西,钢混结构,精装,两梯三户,自供暖,有,70年,null,null,null,2017-07-19,商品房,2015-01-14,普通住宅,满两年,非共有,有抵押 90万元 中国银行 客户偿还,已上传房本照片,10,null
顺义,后沙峪,49,18,590,47604元/平米,万科城市花园,4室2厅1厨2卫,顶层 (共6层),123.94㎡,暂无数据,106㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-09,私产,2005-06-28,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
顺义,后沙峪,40,29,545,59930元/平米,阿凯笛亚别院,2室2厅1厨1卫,高楼层 (共6层),90.94㎡,暂无数据,70.94㎡,板楼,西南 北,混合结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-05-08,商品房,2012-04-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
顺义,后沙峪,90,30,445,53332元/平米,空港吉祥花园,2室1厅1厨1卫,低楼层 (共11层),83.44㎡,暂无数据,70.03㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-04-08,商品房,2010-11-10,普通住宅,满五年,非共有,有抵押 28万元 北京工商银行 客户偿还,已上传房本照片,4,null
顺义,后沙峪,107,157,730,62904元/平米,江山赋,3室2厅1厨2卫,低楼层 (共9层),116.05㎡,暂无数据,93.42㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-06-03,商品房,2015-07-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,13,null
顺义,后沙峪,39,69,1099,65871元/平米,中粮祥云国际生活区,3室2厅1厨2卫,中楼层 (共14层),166.84㎡,暂无数据,132.76㎡,板楼,南 北,钢混结构,毛坯,两梯两户,自供暖,有,70年,null,null,null,2017-06-21,商品房,2015-04-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,8,null
顺义,后沙峪,43,45,480,49566元/平米,双裕花园西区,2室1厅1厨1卫,中楼层 (共4层),96.84㎡,暂无数据,88.07㎡,板楼,南 北,混合结构,精装,一梯三户,自供暖,无,70年,null,null,null,2017-03-25,商品房,2010-04-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
