城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
顺义,天竺,42,30,590,38785元/平米,希望家园,3室2厅1厨2卫,中楼层 (共6层),152.12㎡,平层,124.61㎡,板楼,南 北,混合结构,毛坯,一梯一户,自供暖,无,70年,null,null,null,2017-03-12,商品房,2005-10-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
顺义,天竺,40,30,500,32695元/平米,希望家园,3室2厅1厨2卫,中楼层 (共6层),152.93㎡,平层,132㎡,板楼,南 北,混合结构,简装,一梯一户,自供暖,无,70年,null,null,null,2016-06-02,私产,2003-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
顺义,天竺,8,0,530,34765元/平米,希望家园,3室2厅1厨2卫,中楼层 (共6层),152.45㎡,暂无数据,124.61㎡,板楼,东 南 北,混合结构,精装,一梯一户,自供暖,无,70年,null,null,null,2017-07-26,私产,2004-03-10,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片,0,null
顺义,天竺,3,1,470,43131元/平米,天竺花园,3室2厅1厨1卫,中楼层 (共6层),108.97㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-10,商品房,2013-01-23,普通住宅,满两年,非共有,暂无数据,已上传房本照片,1,null
顺义,天竺,23,8,1200,59341元/平米,万通天竺新新家园,4室2厅1厨2卫,中楼层 (共14层),202.22㎡,暂无数据,170.51㎡,板塔结合,南 北,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-06-13,商品房,2015-08-03,普通住宅,满两年,非共有,有抵押 200万元 建设银行 客户偿还,已上传房本照片,2,null
顺义,天竺,33,9,2400,61638元/平米,万通天竺新新家园,5室6厅1厨5卫, (共3层),389.37㎡,371.55㎡,南 北,钢混结构,精装,暂无数据,暂无数据,70年,null,null,null,null,null,null,2016-10-11,商品房,2013-10-15,别墅,满两年,非共有,有抵押 300万元 汇丰银行 客户偿还,已上传房本照片,0,null
顺义,天竺,66,19,450,41296元/平米,天竺花园,3室2厅1厨1卫,低楼层 (共6层),108.97㎡,平层,100.15㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-25,商品房,2013-03-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
顺义,天竺,13,6,480,44049元/平米,天竺花园,3室2厅1厨1卫,低楼层 (共6层),108.97㎡,暂无数据,70.38㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-30,商品房,2015-09-12,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
顺义,天竺,19,6,359.5,35954元/平米,希望家园,2室2厅1厨1卫,顶层 (共6层),99.99㎡,暂无数据,87.81㎡,暂无数据,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-03-18,商品房,2015-02-15,普通住宅,满两年,非共有,有抵押 88万元 交通银行 客户偿还,已上传房本照片,1,null
顺义,天竺,11,7,820,70278元/平米,万通天竺新新家园,3室1厅1厨1卫,低楼层 (共15层),116.68㎡,暂无数据,94.68㎡,板楼,南 北,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-08-01,商品房,2015-04-22,普通住宅,满两年,共有,无抵押,已上传房本照片,1,null
顺义,天竺,11,5,950,69684元/平米,万通天竺新新家园,3室2厅1厨2卫,低楼层 (共15层),136.33㎡,暂无数据,106.81㎡,板塔结合,南 北,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-06-10,商品房,2015-04-01,普通住宅,满两年,非共有,有抵押 90万元 客户偿还,已上传房本照片,2,null
顺义,天竺,15,0,480,31486元/平米,希望家园,3室2厅1厨2卫,中楼层 (共6层),152.45㎡,暂无数据,132.36㎡,板楼,南 北,混合结构,简装,一梯一户,自供暖,无,70年,null,null,null,2017-08-01,商品房,2013-11-19,普通住宅,满两年,非共有,有抵押 60万元 建行 客户偿还,已上传房本照片,0,null
顺义,天竺,39,66,575,42952元/平米,天竺花园,3室2厅1厨2卫,中楼层 (共14层),133.87㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-03-06,商品房,2016-05-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
顺义,天竺,7,0,2400,61940元/平米,万通天竺新新家园,4室2厅1厨4卫, (共3层),387.47㎡,370.36㎡,南 北,钢混结构,精装,暂无数据,暂无数据,70年,null,null,null,null,null,null,2017-09-01,商品房,2013-08-02,别墅,满两年,非共有,有抵押 400万元 汇丰银行 客户偿还,已上传房本照片,0,null
顺义,天竺,56,23,2350,58675元/平米,万通天竺新新家园,5室3厅1厨5卫,底层 (共3层),400.51㎡,暂无数据,384.19㎡,暂无数据,南 北,钢混结构,精装,一梯八户,自供暖,无,70年,null,null,null,2015-12-09,商品房,2013-06-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
顺义,天竺,19,5,400,43942元/平米,天竺花园,2室2厅1厨1卫,低楼层 (共6层),91.03㎡,暂无数据,81.07㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-09,商品房,2016-01-11,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,0,null
