城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
顺义,李桥,76,60,320,32300元/平米,樱花园三区,2室1厅1厨1卫,底层 (共6层),99.07㎡,平层,85.65㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-09,私产,2006-02-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
顺义,李桥,15,26,280,27251元/平米,樱花园三区,2室1厅1厨1卫,高楼层 (共6层),102.75㎡,暂无数据,93.62㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-01,商品房,2017-05-10,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,24,null
顺义,李桥,74,26,185,50685元/平米,樱花园二区,1室0厅1厨1卫,中楼层 (共6层),36.5㎡,平层,30.63㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-14,商品房,2013-09-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,12,null
顺义,李桥,26,0,463,31960元/平米,樱花园一区,3室1厅1厨2卫,中楼层 (共7层),144.87㎡,暂无数据,130.94㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-02-26,私产,2001-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
顺义,李桥,28,0,600,30514元/平米,樱花园一区,3室2厅1厨3卫,底层 (共6层),196.63㎡,暂无数据,178.13㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-04,私产,2007-09-05,普通住宅,满五年,非共有,有抵押 280万元 银行 业主自还,已上传房本照片,0,null
顺义,李桥,64,13,290,33322元/平米,樱花园三区,2室1厅1厨1卫,高楼层 (共6层),87.03㎡,暂无数据,77.02㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-12,私产,2001-10-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
顺义,李桥,55,9,300,29044元/平米,樱花园一区,2室1厅1厨1卫,中楼层 (共7层),103.29㎡,错层,93.36㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-06-26,私产,2004-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
顺义,李桥,87,10,295,30500元/平米,樱花园一区,2室1厅1厨1卫,中楼层 (共7层),96.72㎡,暂无数据,87.42㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-24,私产,2005-10-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
顺义,李桥,13,6,290,35670元/平米,樱花园三区,2室1厅1厨1卫,底层 (共6层),81.3㎡,暂无数据,70.28㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-30,私产,2001-07-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
顺义,李桥,12,7,420,26743元/平米,樱花园三区,3室1厅1厨2卫,中楼层 (共6层),157.05㎡,暂无数据,143.1㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-04,私产,2001-04-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
