城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
顺义,顺义其它,55,26,260,37813元/平米,馨港庄园三区,1室2厅1厨1卫,中楼层 (共6层),68.76㎡,暂无数据,59.46㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,商品房,2009-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,19,null
顺义,顺义其它,101,32,650,74610元/平米,顺鑫花语,3室2厅1厨2卫,底层 (共6层),87.12㎡,暂无数据,74.65㎡,板楼,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-07-24,商品房,2010-10-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
顺义,顺义其它,22,30,470,42642元/平米,东方太阳城,2室2厅1厨2卫,顶层 (共6层),110.22㎡,暂无数据,96.54㎡,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2010-02-25,普通住宅,满五年,非共有,暂无数据,已上传房本照片,16,null
顺义,顺义其它,33,48,341,37771元/平米,石园东苑,2室1厅1厨1卫,中楼层 (共6层),90.28㎡,平层,76.54㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-03,二类经济适用房,2005-03-19,普通住宅,满五年,非共有,暂无数据,已上传房本照片,9,null
顺义,顺义其它,39,53,270,40897元/平米,馨港庄园三区,1室1厅1厨1卫,底层 (共6层),66.02㎡,暂无数据,57.92㎡,板楼,南,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-11,商品房,2012-08-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
顺义,顺义其它,37,30,360,33911元/平米,馨港庄园三区,2室2厅1厨1卫,中楼层 (共6层),106.16㎡,暂无数据,95.17㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-11,商品房,2009-07-21,普通住宅,满五年,共有,无抵押,已上传房本照片,9,null
顺义,顺义其它,179,159,310,36821元/平米,馨港庄园二区,2室1厅1厨1卫,中楼层 (共6层),84.19㎡,暂无数据,72.6㎡,板楼,东 南,混合结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-04-15,商品房,2015-05-21,普通住宅,满两年,非共有,有抵押 客户偿还,已上传房本照片,0,null
顺义,顺义其它,1,1,480,30626元/平米,馨港庄园二区,3室2厅1厨2卫,顶层 (共6层),156.73㎡,暂无数据,137.25㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-01,商品房,2010-08-22,普通住宅,满五年,非共有,有抵押 60万元 建设 业主自还,已上传房本照片,0,null
顺义,顺义其它,108,32,300,29883元/平米,水色时光五区,2室2厅1厨1卫,中楼层 (共10层),100.39㎡,暂无数据,81.91㎡,暂无数据,南,钢混结构,精装,一梯三户,暂无数据,暂无数据,40年,null,null,null,2017-04-15,商品房,2010-08-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
顺义,顺义其它,39,52,340,32106元/平米,馨港庄园三区,2室2厅1厨1卫,中楼层 (共6层),105.9㎡,暂无数据,95.89㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-24,商品房,2013-10-08,普通住宅,满两年,共有,有抵押 100万元 建设银行 客户偿还,已上传房本照片,15,null
