城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
顺义,顺义城,32,3,260,35490元/平米,石园西区,2室1厅1厨1卫,顶层 (共6层),73.26㎡,暂无数据,66.48㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-06,私产,2005-10-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,距离15号线顺义站1107米
顺义,顺义城,79,38,250,37994元/平米,仓上小区,2室1厅1厨1卫,顶层 (共6层),65.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-27,商品房,2012-09-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
顺义,顺义城,24,24,266,39009元/平米,仓上小区,2室1厅1厨1卫,低楼层 (共6层),68.19㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-24,私产,2003-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
顺义,顺义城,23,27,428,44366元/平米,金汉绿港三区,2室2厅1厨1卫,中楼层 (共20层),96.47㎡,平层,78.03㎡,板楼,东南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-29,商品房,2010-07-13,普通住宅,满五年,非共有,有抵押 60万元 建行 客户偿还,已上传房本照片,0,null
顺义,顺义城,68,21,240,48338元/平米,西辛南区,1室1厅1厨1卫,低楼层 (共6层),49.65㎡,暂无数据,33.07㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-06,商品房,2012-03-21,普通住宅,满五年,共有,有抵押 32万元 建设银行 业主自还,已上传房本照片,21,null
顺义,顺义城,161,181,315,33344元/平米,石园东区,2室1厅1厨1卫,中楼层 (共6层),94.47㎡,暂无数据,82.83㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-30,私产,2003-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
顺义,顺义城,68,47,328,41299元/平米,东兴一区,2室1厅1厨1卫,中楼层 (共6层),79.42㎡,平层,60㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-29,商品房,2009-05-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
顺义,顺义城,49,21,303,40979元/平米,西辛南区,2室1厅1厨1卫,低楼层 (共6层),73.94㎡,暂无数据,49.15㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-15,商品房,2009-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
顺义,顺义城,122,52,248,42966元/平米,龙府花园,2室1厅1厨1卫,高楼层 (共6层),57.72㎡,平层,47.39㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-15,私产,2008-01-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
顺义,顺义城,113,57,495,49764元/平米,万科四季花城,2室1厅1厨1卫,低楼层 (共9层),99.47㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-07,商品房,2010-12-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
